Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.40700000      268.82000000      0.03822727      180.00000000      0.16996730      0.00000000      7.07197721      180.00000000
20160214000000      30.40700000      268.82000000      0.15937008      180.00000000      0.21777291      0.00000000      5.40972792      180.00000000
20160316000000      30.40700000      268.82000000      0.41820197      180.00000000      0.39662993      0.00000000      6.53842027      180.00000000
20160520000000      30.40700000      268.82000000      0.19432850      180.00000000      0.04073471      180.00000000      3.77584116      180.00000000
20160616000000      30.40700000      268.82000000      0.50201160      180.00000000      0.55340924      180.00000000      2.39372966      180.00000000
20160715000000      30.40700000      268.82000000      0.06384616      0.00000000      1.22080457      180.00000000      0.13228529      180.00000000
20160821000000      30.40700000      268.82000000      0.13627538      180.00000000      1.51320733      180.00000000      0.70249051      180.00000000
20161127000000      30.40700000      268.82000000      0.08183856      180.00000000      1.55221906      180.00000000      0.51596866      180.00000000
20161224000000      30.40700000      268.82000000      0.02927390      180.00000000      1.13959471      180.00000000      1.54115530      180.00000000
20170121000000      30.40700000      268.82000000      0.14069097      0.00000000      0.87915310      180.00000000      2.54208689      180.00000000
20170331000000      30.40700000      268.82000000      0.01264472      180.00000000      0.37253057      180.00000000      2.92235413      180.00000000
20170424000000      30.40700000      268.82000000      0.01347197      180.00000000      0.00136441      180.00000000      2.89730525      180.00000000
20170512000000      30.40700000      268.82000000      0.21116376      0.00000000      0.30844386      0.00000000      2.92705959      180.00000000
20170611000000      30.40700000      268.82000000      0.04301661      0.00000000      0.13745403      180.00000000      3.42627477      180.00000000
20180616000000      30.40700000      268.82000000      0.66393098      0.00000000      0.65447733      180.00000000      0.79080318      0.00000000
20180710000000      30.40700000      268.82000000      0.92720042      0.00000000      1.31510702      180.00000000      0.02743014      0.00000000
20181031000000      30.40700000      268.82000000      0.02697737      0.00000000      1.09916867      180.00000000      3.50564815      180.00000000
20181116000000      30.40700000      268.82000000      0.16756004      0.00000000      0.91980113      180.00000000      2.86029366      180.00000000
20181216000000      30.40700000      268.82000000      0.21200196      0.00000000      0.39149741      180.00000000      4.57724406      180.00000000
20190116000000      30.40700000      268.82000000      0.02010447      180.00000000      0.11603526      0.00000000      6.63061700      180.00000000
20190214000000      30.40700000      268.82000000      0.16625310      0.00000000      0.46629690      0.00000000      7.09005751      180.00000000
20190316000000      30.40700000      268.82000000      0.03826818      0.00000000      0.61956300      0.00000000      8.04788792      180.00000000
20190416000000      30.40700000      268.82000000      0.13749241      0.00000000      0.69541121      0.00000000      5.15098250      180.00000000
20190516000000      30.40700000      268.82000000      0.04906972      0.00000000      0.78847947      0.00000000      6.67558664      180.00000000
20190616000000      30.40700000      268.82000000      0.16731121      180.00000000      0.18945328      0.00000000      6.22180558      180.00000000
20190716000000      30.40700000      268.82000000      0.06672700      180.00000000      0.63897068      180.00000000      5.47034011      180.00000000
20190816000000      30.40700000      268.82000000      0.32793781      0.00000000      0.97667499      180.00000000      1.98596043      180.00000000
20190916000000      30.40700000      268.82000000      0.21456855      0.00000000      1.42951943      180.00000000      0.95132996      180.00000000
20191016000000      30.40700000      268.82000000      0.41085687      0.00000000      1.37305052      180.00000000      2.87753274      180.00000000
20191116000000      30.40700000      268.82000000      0.50830826      0.00000000      0.76997207      180.00000000      3.71419536      180.00000000
20191216000000      30.40700000      268.82000000      0.65184678      0.00000000      0.14618254      180.00000000      3.09503368      180.00000000
20200116000000      30.40700000      268.82000000      0.28937701      0.00000000      0.30041655      0.00000000      4.77698587      180.00000000
20200215000000      30.40700000      268.82000000      0.41571852      0.00000000      0.86466003      0.00000000      6.71968789      180.00000000
20200316000000      30.40700000      268.82000000      0.31313018      0.00000000      1.02015814      0.00000000      6.88637738      180.00000000
20200416000000      30.40700000      268.82000000      0.42980137      0.00000000      1.16158077      0.00000000      6.20159034      180.00000000
20200516000000      30.40700000      268.82000000      0.20251425      0.00000000      0.74830512      0.00000000      4.56576684      180.00000000
20200616000000      30.40700000      268.82000000      0.49650470      0.00000000      0.24440725      180.00000000      5.39015080      180.00000000
20200716000000      30.40700000      268.82000000      0.44023935      0.00000000      0.80177787      180.00000000      3.21894011      180.00000000
20200816000000      30.40700000      268.82000000      0.72691735      0.00000000      1.29272620      180.00000000      2.60889477      180.00000000
20200916000000      30.40700000      268.82000000      0.66118215      0.00000000      1.13368330      180.00000000      3.32243270      180.00000000
20201016000000      30.40700000      268.82000000      0.46584824      0.00000000      0.98899428      180.00000000      3.64084163      180.00000000
20201116000000      30.40700000      268.82000000      0.73416383      0.00000000      0.82452106      180.00000000      4.02918394      180.00000000
20201216000000      30.40700000      268.82000000      0.81565574      0.00000000      0.67072837      180.00000000      2.68845685      180.00000000
20210116000000      30.40700000      268.82000000      0.80332367      0.00000000      0.14010835      180.00000000      4.37219388      180.00000000
20210215000000      30.40700000      268.82000000      0.89335281      0.00000000      0.18049766      180.00000000      3.93700950      180.00000000
20210316000000      30.40700000      268.82000000      1.02263295      0.00000000      0.25558838      0.00000000      6.44144407      180.00000000
20210416000000      30.40700000      268.82000000      0.89793801      0.00000000      0.14240526      0.00000000      6.04960940      180.00000000
20210516000000      30.40700000      268.82000000      0.57780839      0.00000000      0.05705750      0.00000000      5.98679290      180.00000000
20210616000000      30.40700000      268.82000000      0.47296355      0.00000000      0.52202890      180.00000000      5.61514026      180.00000000
20210716000000      30.40700000      268.82000000      0.49987783      0.00000000      0.99232148      180.00000000      4.98978079      180.00000000
20210816000000      30.40700000      268.82000000      0.45540659      0.00000000      1.52568370      180.00000000      3.93712050      180.00000000
20210916000000      30.40700000      268.82000000      0.78528161      0.00000000      1.55185050      180.00000000      4.11230451      180.00000000
20211016000000      30.40700000      268.82000000      0.75928189      0.00000000      1.94434097      180.00000000      4.58583631      180.00000000
20211116000000      30.40700000      268.82000000      0.68654641      0.00000000      1.61649945      180.00000000      3.54557407      180.00000000
20211216000000      30.40700000      268.82000000      0.78290394      0.00000000      1.27758282      180.00000000      2.90954506      180.00000000
20220116000000      30.40700000      268.82000000      0.91555838      0.00000000      0.68135469      180.00000000      3.86209111      180.00000000
20220215000000      30.40700000      268.82000000      0.78610881      0.00000000      0.60349746      180.00000000      4.25445748      180.00000000
20220316000000      30.40700000      268.82000000      0.80768835      0.00000000      0.24117639      180.00000000      4.68080556      180.00000000
20220416000000      30.40700000      268.82000000      0.81887237      0.00000000      0.11909800      180.00000000      4.42093895      180.00000000
20220516000000      30.40700000      268.82000000      0.81689269      0.00000000      0.23010200      180.00000000      3.34617293      180.00000000
20220616000000      30.40700000      268.82000000      1.06278147      0.00000000      0.83253799      180.00000000      2.15012539      180.00000000
20220716000000      30.40700000      268.82000000      1.06065108      0.00000000      1.74768178      180.00000000      1.19035916      180.00000000
20220816000000      30.40700000      268.82000000      0.76563307      0.00000000      1.98329459      180.00000000      0.63533730      0.00000000
20220916000000      30.40700000      268.82000000      0.62780053      0.00000000      2.24209495      180.00000000      2.32922066      180.00000000
20221016000000      30.40700000      268.82000000      0.88769066      0.00000000      2.68086866      180.00000000      0.72089702      0.00000000
20221116000000      30.40700000      268.82000000      1.09517855      0.00000000      2.20564629      180.00000000      0.33842592      180.00000000
20221216000000      30.40700000      268.82000000      0.90040670      0.00000000      1.60683201      180.00000000      2.42124387      180.00000000
