Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20191016000000      58.75900000      265.91100000      0.08715573      180.00000000      2.27398753      180.00000000      4.68361245      0.00000000
20191116000000      58.75900000      265.91100000      0.07158850      180.00000000      2.50557120      180.00000000      4.72195952      0.00000000
20191216000000      58.75900000      265.91100000      0.05147233      180.00000000      2.72091138      180.00000000      3.99294827      0.00000000
20200116000000      58.75900000      265.91100000      0.48697915      180.00000000      2.76108044      180.00000000      3.89061711      0.00000000
20200215000000      58.75900000      265.91100000      0.51606343      180.00000000      2.70940643      180.00000000      3.11846799      0.00000000
20200316000000      58.75900000      265.91100000      0.43205169      180.00000000      2.53502997      180.00000000      3.34852528      0.00000000
20200416000000      58.75900000      265.91100000      0.26433736      180.00000000      2.56125517      180.00000000      0.67967076      0.00000000
20200516000000      58.75900000      265.91100000      0.52906577      180.00000000      2.50524900      180.00000000      0.87946238      0.00000000
20200616000000      58.75900000      265.91100000      0.60288013      180.00000000      2.48127122      180.00000000      0.84144120      0.00000000
20200716000000      58.75900000      265.91100000      0.89184424      180.00000000      2.76219757      180.00000000      3.34124285      0.00000000
20200816000000      58.75900000      265.91100000      0.59778377      180.00000000      2.53432324      180.00000000      3.86815735      0.00000000
20200916000000      58.75900000      265.91100000      0.43181351      180.00000000      2.37681848      180.00000000      4.87520631      0.00000000
20201016000000      58.75900000      265.91100000      0.54327826      180.00000000      2.34676975      180.00000000      4.83288725      0.00000000
20201116000000      58.75900000      265.91100000      0.49540102      180.00000000      2.29002314      180.00000000      2.80222599      0.00000000
20201216000000      58.75900000      265.91100000      0.41438961      180.00000000      2.40153208      180.00000000      2.89244225      0.00000000
20210116000000      58.75900000      265.91100000      0.39844543      180.00000000      2.34543119      180.00000000      2.06698551      0.00000000
20210215000000      58.75900000      265.91100000      0.53010054      180.00000000      2.25196816      180.00000000      2.19400620      0.00000000
20210316000000      58.75900000      265.91100000      0.37918360      180.00000000      2.45853408      180.00000000      1.59251735      0.00000000
20210416000000      58.75900000      265.91100000      0.48565853      180.00000000      2.50589971      180.00000000      1.86392247      0.00000000
20210516000000      58.75900000      265.91100000      0.55772433      180.00000000      2.18415106      180.00000000      1.82982611      0.00000000
20210616000000      58.75900000      265.91100000      0.72208765      180.00000000      2.10638716      180.00000000      2.91705391      0.00000000
20210716000000      58.75900000      265.91100000      0.51476482      180.00000000      2.08677777      180.00000000      5.60353362      0.00000000
20210816000000      58.75900000      265.91100000      0.51052280      180.00000000      2.07338262      180.00000000      7.51862253      0.00000000
20210916000000      58.75900000      265.91100000      0.08989119      180.00000000      1.82931272      180.00000000      5.75508364      0.00000000
