Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.31400000      269.09600000      0.06194184      180.00000000      0.16487035      0.00000000      6.96280621      180.00000000
20160214000000      30.31400000      269.09600000      0.17338531      180.00000000      0.21838834      0.00000000      5.39058031      180.00000000
20160316000000      30.31400000      269.09600000      0.44905265      180.00000000      0.39252137      0.00000000      6.26680041      180.00000000
20160520000000      30.31400000      269.09600000      0.21059202      180.00000000      0.04649223      180.00000000      3.65406704      180.00000000
20160616000000      30.31400000      269.09600000      0.49123278      180.00000000      0.57362407      180.00000000      2.32409900      180.00000000
20160715000000      30.31400000      269.09600000      0.07381661      0.00000000      1.23278634      180.00000000      0.30118394      180.00000000
20160821000000      30.31400000      269.09600000      0.12484921      180.00000000      1.49838898      180.00000000      0.85037718      180.00000000
20161127000000      30.31400000      269.09600000      0.06538771      180.00000000      1.53722035      180.00000000      0.66609916      180.00000000
20161224000000      30.31400000      269.09600000      0.01689633      180.00000000      1.12641271      180.00000000      1.68307847      180.00000000
20170121000000      30.31400000      269.09600000      0.14803355      0.00000000      0.88544711      180.00000000      2.57892857      180.00000000
20170331000000      30.31400000      269.09600000      0.02030481      180.00000000      0.37300848      180.00000000      2.80291315      180.00000000
20170424000000      30.31400000      269.09600000      0.01819721      180.00000000      0.03116496      180.00000000      2.82164816      180.00000000
20170512000000      30.31400000      269.09600000      0.19773352      0.00000000      0.27081946      0.00000000      2.85888672      180.00000000
20170611000000      30.31400000      269.09600000      0.02361219      0.00000000      0.15987052      180.00000000      3.31181064      180.00000000
20180616000000      30.31400000      269.09600000      0.65875334      0.00000000      0.68276270      180.00000000      0.68016043      0.00000000
20180710000000      30.31400000      269.09600000      0.92641072      0.00000000      1.30769663      180.00000000      0.28886944      180.00000000
20181031000000      30.31400000      269.09600000      0.04001678      0.00000000      1.10227966      180.00000000      3.53209091      180.00000000
20181116000000      30.31400000      269.09600000      0.18435776      0.00000000      0.92174571      180.00000000      2.92416269      180.00000000
20181216000000      30.31400000      269.09600000      0.20969041      0.00000000      0.37837503      180.00000000      4.60106984      180.00000000
20190116000000      30.31400000      269.09600000      0.03965613      180.00000000      0.11467390      0.00000000      6.49430286      180.00000000
20190214000000      30.31400000      269.09600000      0.13955948      0.00000000      0.46039639      0.00000000      6.94354750      180.00000000
20190316000000      30.31400000      269.09600000      0.00472873      180.00000000      0.61589610      0.00000000      7.82410162      180.00000000
20190416000000      30.31400000      269.09600000      0.11543714      0.00000000      0.67426295      0.00000000      5.00887864      180.00000000
20190516000000      30.31400000      269.09600000      0.02103610      0.00000000      0.75041770      0.00000000      6.40482376      180.00000000
20190616000000      30.31400000      269.09600000      0.19085203      180.00000000      0.13607758      0.00000000      6.02095283      180.00000000
20190716000000      30.31400000      269.09600000      0.08998776      180.00000000      0.66447271      180.00000000      5.47558582      180.00000000
20190816000000      30.31400000      269.09600000      0.32474059      0.00000000      1.00066006      180.00000000      2.16394604      180.00000000
20190916000000      30.31400000      269.09600000      0.21825235      0.00000000      1.43875157      180.00000000      1.13643220      180.00000000
20191016000000      30.31400000      269.09600000      0.38884542      0.00000000      1.37652122      180.00000000      3.04530355      180.00000000
20191116000000      30.31400000      269.09600000      0.48099096      0.00000000      0.78016325      180.00000000      3.85002834      180.00000000
20191216000000      30.31400000      269.09600000      0.63318077      0.00000000      0.16211041      180.00000000      3.18756856      180.00000000
20200116000000      30.31400000      269.09600000      0.25650952      0.00000000      0.28072640      0.00000000      4.72537539      180.00000000
20200215000000      30.31400000      269.09600000      0.37105311      0.00000000      0.84155430      0.00000000      6.58574060      180.00000000
20200316000000      30.31400000      269.09600000      0.26380515      0.00000000      0.98775766      0.00000000      6.63598032      180.00000000
20200416000000      30.31400000      269.09600000      0.39055367      0.00000000      1.12026914      0.00000000      5.98934180      180.00000000
20200516000000      30.31400000      269.09600000      0.16175023      0.00000000      0.71241568      0.00000000      4.39259933      180.00000000
20200616000000      30.31400000      269.09600000      0.46256011      0.00000000      0.26637323      180.00000000      5.41316371      180.00000000
20200716000000      30.31400000      269.09600000      0.42082684      0.00000000      0.81576255      180.00000000      3.37922562      180.00000000
20200816000000      30.31400000      269.09600000      0.70490547      0.00000000      1.29696883      180.00000000      2.84181101      180.00000000
20200916000000      30.31400000      269.09600000      0.63683448      0.00000000      1.11943437      180.00000000      3.47532310      180.00000000
20201016000000      30.31400000      269.09600000      0.44324375      0.00000000      0.98372293      180.00000000      3.75669925      180.00000000
20201116000000      30.31400000      269.09600000      0.69919398      0.00000000      0.81887322      180.00000000      4.16790186      180.00000000
20201216000000      30.31400000      269.09600000      0.79587954      0.00000000      0.68840215      180.00000000      2.85098759      180.00000000
20210116000000      30.31400000      269.09600000      0.77781972      0.00000000      0.16550264      180.00000000      4.41204896      180.00000000
20210215000000      30.31400000      269.09600000      0.86284081      0.00000000      0.20049506      180.00000000      3.99658330      180.00000000
