Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.46900000      268.81000000      0.03807806      180.00000000      0.17182442      0.00000000      7.11446603      180.00000000
20160214000000      30.46900000      268.81000000      0.15902788      180.00000000      0.21795426      0.00000000      5.43602882      180.00000000
20160316000000      30.46900000      268.81000000      0.41678784      180.00000000      0.39934151      0.00000000      6.59504893      180.00000000
20160520000000      30.46900000      268.81000000      0.19547447      180.00000000      0.04193938      180.00000000      3.80146344      180.00000000
20160616000000      30.46900000      268.81000000      0.50770985      180.00000000      0.55243675      180.00000000      2.40380421      180.00000000
20160715000000      30.46900000      268.81000000      0.05968346      0.00000000      1.22112244      180.00000000      0.10417589      180.00000000
20160821000000      30.46900000      268.81000000      0.13830840      180.00000000      1.52611318      180.00000000      0.65884422      180.00000000
20161127000000      30.46900000      268.81000000      0.08579539      180.00000000      1.56947473      180.00000000      0.45414598      180.00000000
20161224000000      30.46900000      268.81000000      0.03174645      180.00000000      1.15211875      180.00000000      1.50013728      180.00000000
20170121000000      30.46900000      268.81000000      0.13710625      0.00000000      0.88283850      180.00000000      2.52567400      180.00000000
20170331000000      30.46900000      268.81000000      0.01254879      180.00000000      0.37346557      180.00000000      2.92983580      180.00000000
20170424000000      30.46900000      268.81000000      0.01728031      180.00000000      0.00865019      0.00000000      2.92285038      180.00000000
20170512000000      30.46900000      268.81000000      0.20815822      0.00000000      0.32423987      0.00000000      2.96697567      180.00000000
20170611000000      30.46900000      268.81000000      0.04150362      0.00000000      0.12898445      180.00000000      3.46295353      180.00000000
20180616000000      30.46900000      268.81000000      0.66331799      0.00000000      0.63811773      180.00000000      0.78162988      0.00000000
20180710000000      30.46900000      268.81000000      0.92964701      0.00000000      1.31384883      180.00000000      0.06098093      0.00000000
20181031000000      30.46900000      268.81000000      0.02293765      0.00000000      1.10545606      180.00000000      3.48674716      180.00000000
20181116000000      30.46900000      268.81000000      0.16491625      0.00000000      0.92273996      180.00000000      2.84981369      180.00000000
20181216000000      30.46900000      268.81000000      0.21257102      0.00000000      0.39852877      180.00000000      4.58559869      180.00000000
20190116000000      30.46900000      268.81000000      0.01928312      180.00000000      0.11701493      0.00000000      6.67558392      180.00000000
20190214000000      30.46900000      268.81000000      0.16800694      0.00000000      0.47175788      0.00000000      7.14876128      180.00000000
20190316000000      30.46900000      268.81000000      0.04189757      0.00000000      0.62590898      0.00000000      8.11834693      180.00000000
20190416000000      30.46900000      268.81000000      0.13761432      0.00000000      0.70749496      0.00000000      5.21976151      180.00000000
20190516000000      30.46900000      268.81000000      0.04609027      0.00000000      0.80240073      0.00000000      6.75906193      180.00000000
20190616000000      30.46900000      268.81000000      0.17387707      180.00000000      0.20606649      0.00000000      6.29081266      180.00000000
20190716000000      30.46900000      268.81000000      0.07057381      180.00000000      0.63294842      180.00000000      5.50000135      180.00000000
20190816000000      30.46900000      268.81000000      0.32371896      0.00000000      0.97013469      180.00000000      1.98619702      180.00000000
20190916000000      30.46900000      268.81000000      0.21063684      0.00000000      1.43153417      180.00000000      0.92311929      180.00000000
20191016000000      30.46900000      268.81000000      0.40758700      0.00000000      1.38047961      180.00000000      2.84221938      180.00000000
20191116000000      30.46900000      268.81000000      0.50691247      0.00000000      0.76890691      180.00000000      3.71021519      180.00000000
20191216000000      30.46900000      268.81000000      0.65244467      0.00000000      0.13589409      180.00000000      3.11841468      180.00000000
20200116000000      30.46900000      268.81000000      0.28976549      0.00000000      0.31119023      0.00000000      4.82527986      180.00000000
20200215000000      30.46900000      268.81000000      0.41811600      0.00000000      0.88099409      0.00000000      6.79888400      180.00000000
20200316000000      30.46900000      268.81000000      0.31423219      0.00000000      1.03817307      0.00000000      6.97704746      180.00000000
20200416000000      30.46900000      268.81000000      0.42925174      0.00000000      1.18284062      0.00000000      6.29699878      180.00000000
20200516000000      30.46900000      268.81000000      0.20267362      0.00000000      0.76783723      0.00000000      4.64339256      180.00000000
20200616000000      30.46900000      268.81000000      0.49628968      0.00000000      0.23351813      180.00000000      5.42593000      180.00000000
20200716000000      30.46900000      268.81000000      0.44045342      0.00000000      0.79284763      180.00000000      3.22814500      180.00000000
20200816000000      30.46900000      268.81000000      0.72724760      0.00000000      1.29031083      180.00000000      2.59328087      180.00000000
20200916000000      30.46900000      268.81000000      0.66358650      0.00000000      1.13956546      180.00000000      3.30614879      180.00000000
20201016000000      30.46900000      268.81000000      0.46681149      0.00000000      0.99206438      180.00000000      3.62954565      180.00000000
20201116000000      30.46900000      268.81000000      0.73694794      0.00000000      0.82479611      180.00000000      4.02021046      180.00000000
20201216000000      30.46900000      268.81000000      0.81552713      0.00000000      0.66055692      180.00000000      2.69679780      180.00000000
20210116000000      30.46900000      268.81000000      0.80283790      0.00000000      0.12714152      180.00000000      4.40421172      180.00000000
20210215000000      30.46900000      268.81000000      0.89403835      0.00000000      0.16873253      180.00000000      3.97035410      180.00000000
20210316000000      30.46900000      268.81000000      1.02560034      0.00000000      0.26743701      0.00000000      6.49488033      180.00000000
20210416000000      30.46900000      268.81000000      0.89958217      0.00000000      0.15177838      0.00000000      6.09714685      180.00000000
20210516000000      30.46900000      268.81000000      0.57661796      0.00000000      0.06925755      0.00000000      6.04590779      180.00000000
20210616000000      30.46900000      268.81000000      0.47180435      0.00000000      0.51170683      180.00000000      5.65969634      180.00000000
20210716000000      30.46900000      268.81000000      0.49901991      0.00000000      0.98880026      180.00000000      5.00723143      180.00000000
20210816000000      30.46900000      268.81000000      0.45505005      0.00000000      1.53174858      180.00000000      3.92225459      180.00000000
20210916000000      30.46900000      268.81000000      0.78926849      0.00000000      1.56069141      180.00000000      4.08706457      180.00000000
20211016000000      30.46900000      268.81000000      0.76324959      0.00000000      1.96048043      180.00000000      4.54584894      180.00000000
20211116000000      30.46900000      268.81000000      0.68824711      0.00000000      1.62584954      180.00000000      3.51089784      180.00000000
20211216000000      30.46900000      268.81000000      0.78598971      0.00000000      1.28465258      180.00000000      2.88441303      180.00000000
20220116000000      30.46900000      268.81000000      0.91994686      0.00000000      0.68252955      180.00000000      3.86410068      180.00000000
20220215000000      30.46900000      268.81000000      0.79139991      0.00000000      0.60909621      180.00000000      4.24877522      180.00000000
20220316000000      30.46900000      268.81000000      0.81241252      0.00000000      0.23675161      180.00000000      4.70973490      180.00000000
20220416000000      30.46900000      268.81000000      0.82296799      0.00000000      0.11327385      180.00000000      4.46126975      180.00000000
20220516000000      30.46900000      268.81000000      0.81650717      0.00000000      0.21713966      180.00000000      3.37772787      180.00000000
20220616000000      30.46900000      268.81000000      1.06315526      0.00000000      0.81391374      180.00000000      2.17051438      180.00000000
20220716000000      30.46900000      268.81000000      1.06301262      0.00000000      1.74884093      180.00000000      1.14936195      180.00000000
20220816000000      30.46900000      268.81000000      0.76431575      0.00000000      1.98519755      180.00000000      0.68344994      0.00000000
20220916000000      30.46900000      268.81000000      0.63024835      0.00000000      2.25379233      180.00000000      2.27889204      180.00000000
20221016000000      30.46900000      268.81000000      0.89037654      0.00000000      2.69753407      180.00000000      0.81155315      0.00000000
20221116000000      30.46900000      268.81000000      1.09561520      0.00000000      2.21287073      180.00000000      0.27892832      180.00000000
20221216000000      30.46900000      268.81000000      0.90008445      0.00000000      1.61820035      180.00000000      2.37764634      180.00000000
