Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.49900000      269.06700000      0.06322367      180.00000000      0.16565852      0.00000000      7.08445794      180.00000000
20160214000000      30.49900000      269.06700000      0.17235447      180.00000000      0.21470389      0.00000000      5.46419161      180.00000000
20160316000000      30.49900000      269.06700000      0.44947523      180.00000000      0.39739860      0.00000000      6.43140623      180.00000000
20160520000000      30.49900000      269.06700000      0.21635094      180.00000000      0.05304818      180.00000000      3.72551910      180.00000000
20160616000000      30.49900000      269.06700000      0.50897199      180.00000000      0.57500341      180.00000000      2.34485729      180.00000000
20160715000000      30.49900000      269.06700000      0.06316304      0.00000000      1.23886770      180.00000000      0.21003715      180.00000000
20160821000000      30.49900000      269.06700000      0.12938226      180.00000000      1.54121270      180.00000000      0.71749805      180.00000000
20161127000000      30.49900000      269.06700000      0.07526889      180.00000000      1.59359831      180.00000000      0.47850459      180.00000000
20161224000000      30.49900000      269.06700000      0.02222032      180.00000000      1.16867575      180.00000000      1.55754864      180.00000000
20170121000000      30.49900000      269.06700000      0.13768220      0.00000000      0.90113211      180.00000000      2.52558453      180.00000000
20170331000000      30.49900000      269.06700000      0.02190519      180.00000000      0.37891526      180.00000000      2.82316993      180.00000000
20170424000000      30.49900000      269.06700000      0.03096236      180.00000000      0.00626048      180.00000000      2.88976497      180.00000000
20170512000000      30.49900000      269.06700000      0.18676464      0.00000000      0.31332719      0.00000000      2.96981634      180.00000000
20170611000000      30.49900000      269.06700000      0.01626839      0.00000000      0.13867592      180.00000000      3.41650429      180.00000000
20180616000000      30.49900000      269.06700000      0.65674664      0.00000000      0.63867869      180.00000000      0.65889567      0.00000000
20180710000000      30.49900000      269.06700000      0.93698782      0.00000000      1.30779717      180.00000000      0.18825789      180.00000000
20181031000000      30.49900000      269.06700000      0.02828546      0.00000000      1.12655749      180.00000000      3.46986298      180.00000000
20181116000000      30.49900000      269.06700000      0.17776704      0.00000000      0.93591458      180.00000000      2.88746213      180.00000000
20181216000000      30.49900000      269.06700000      0.21211961      0.00000000      0.40397009      180.00000000      4.62454659      180.00000000
20190116000000      30.49900000      269.06700000      0.03936452      180.00000000      0.11306254      0.00000000      6.62515615      180.00000000
20190214000000      30.49900000      269.06700000      0.14205462      0.00000000      0.47211715      0.00000000      7.11538163      180.00000000
20190316000000      30.49900000      269.06700000      0.00137131      0.00000000      0.63097369      0.00000000      8.03280547      180.00000000
20190416000000      30.49900000      269.06700000      0.11308552      0.00000000      0.70546156      0.00000000      5.20792421      180.00000000
20190516000000      30.49900000      269.06700000      0.00653657      0.00000000      0.78665813      0.00000000      6.64478996      180.00000000
20190616000000      30.49900000      269.06700000      0.21512917      180.00000000      0.17898947      0.00000000      6.21443051      180.00000000
20190716000000      30.49900000      269.06700000      0.10334738      180.00000000      0.65343221      180.00000000      5.55574601      180.00000000
20190816000000      30.49900000      269.06700000      0.31296721      0.00000000      0.98891428      180.00000000      2.15673800      180.00000000
20190916000000      30.49900000      269.06700000      0.20754386      0.00000000      1.45202773      180.00000000      1.04599277      180.00000000
20191016000000      30.49900000      269.06700000      0.37857329      0.00000000      1.40636238      180.00000000      2.93590270      180.00000000
20191116000000      30.49900000      269.06700000      0.47607008      0.00000000      0.78425748      180.00000000      3.83350697      180.00000000
20191216000000      30.49900000      269.06700000      0.63448658      0.00000000      0.13749820      180.00000000      3.25321393      180.00000000
20200116000000      30.49900000      269.06700000      0.25493386      0.00000000      0.30670134      0.00000000      4.86450243      180.00000000
20200215000000      30.49900000      269.06700000      0.37425549      0.00000000      0.88472782      0.00000000      6.81785534      180.00000000
