Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.28700000      268.76300000      0.03072747      180.00000000      0.16993479      0.00000000      7.00376879      180.00000000
20160214000000      30.28700000      268.76300000      0.15660468      180.00000000      0.21987407      0.00000000      5.35467254      180.00000000
20160316000000      30.28700000      268.76300000      0.40730226      180.00000000      0.39502274      0.00000000      6.48056839      180.00000000
20160520000000      30.28700000      268.76300000      0.18436897      180.00000000      0.03349781      180.00000000      3.74872909      180.00000000
20160616000000      30.28700000      268.76300000      0.49163553      180.00000000      0.54747353      180.00000000      2.39169160      180.00000000
20160715000000      30.28700000      268.76300000      0.06699571      0.00000000      1.21471027      180.00000000      0.15362552      180.00000000
20160821000000      30.28700000      268.76300000      0.13704971      180.00000000      1.48532881      180.00000000      0.76037456      180.00000000
20161127000000      30.28700000      268.76300000      0.08004482      180.00000000      1.51457088      180.00000000      0.61408371      180.00000000
20161224000000      30.28700000      268.76300000      0.02995409      180.00000000      1.11211624      180.00000000      1.59458474      180.00000000
20170121000000      30.28700000      268.76300000      0.14587595      0.00000000      0.86632081      180.00000000      2.56947017      180.00000000
20170331000000      30.28700000      268.76300000      0.00769920      180.00000000      0.36755193      180.00000000      2.93568546      180.00000000
20170424000000      30.28700000      268.76300000      0.00284254      180.00000000      0.01341292      180.00000000      2.86231557      180.00000000
20170512000000      30.28700000      268.76300000      0.22243307      0.00000000      0.28509508      0.00000000      2.85794957      180.00000000
20170611000000      30.28700000      268.76300000      0.05460551      0.00000000      0.14779233      180.00000000      3.37344216      180.00000000
20180616000000      30.28700000      268.76300000      0.66493725      0.00000000      0.68207647      180.00000000      0.83688090      0.00000000
20180710000000      30.28700000      268.76300000      0.91655987      0.00000000      1.31817770      180.00000000      0.03430172      0.00000000
20181031000000      30.28700000      268.76300000      0.03137274      0.00000000      1.08092031      180.00000000      3.54141273      180.00000000
20181116000000      30.28700000      268.76300000      0.16644234      0.00000000      0.90961117      180.00000000      2.86822884      180.00000000
20181216000000      30.28700000      268.76300000      0.21031992      0.00000000      0.37560931      180.00000000      4.54946220      180.00000000
20190116000000      30.28700000      268.76300000      0.01444550      180.00000000      0.11781431      0.00000000      6.56319636      180.00000000
20190214000000      30.28700000      268.76300000      0.17196944      0.00000000      0.45918537      0.00000000      6.99496040      180.00000000
20190316000000      30.28700000      268.76300000      0.04670910      0.00000000      0.61000244      0.00000000      7.94472195      180.00000000
20190416000000      30.28700000      268.76300000      0.14504502      0.00000000      0.67740631      0.00000000      5.03423390      180.00000000
20190516000000      30.28700000      268.76300000      0.06842201      0.00000000      0.77110898      0.00000000      6.55915956      180.00000000
20190616000000      30.28700000      268.76300000      0.14310546      180.00000000      0.16992085      0.00000000      6.12187360      180.00000000
20190716000000      30.28700000      268.76300000      0.05213338      180.00000000      0.64184871      180.00000000      5.40276813      180.00000000
20190816000000      30.28700000      268.76300000      0.33408549      0.00000000      0.98199646      180.00000000      1.94114359      180.00000000
20190916000000      30.28700000      268.76300000      0.21866005      0.00000000      1.41937244      180.00000000      0.96734226      180.00000000
20191016000000      30.28700000      268.76300000      0.42205717      0.00000000      1.35188114      180.00000000      2.91054999      180.00000000
20191116000000      30.28700000      268.76300000      0.51655367      0.00000000      0.76647795      180.00000000      3.68613508      180.00000000
20191216000000      30.28700000      268.76300000      0.65328098      0.00000000      0.16256814      180.00000000      3.01847209      180.00000000
20200116000000      30.28700000      268.76300000      0.29829913      0.00000000      0.28469170      0.00000000      4.68094508      180.00000000
20200215000000      30.28700000      268.76300000      0.42496390      0.00000000      0.83743367      0.00000000      6.57523888      180.00000000
20200316000000      30.28700000      268.76300000      0.32949947      0.00000000      0.99187660      0.00000000      6.74686888      180.00000000
20200416000000      30.28700000      268.76300000      0.44523527      0.00000000      1.12837448      0.00000000      6.04328692      180.00000000
20200516000000      30.28700000      268.76300000      0.21661243      0.00000000      0.71714446      0.00000000      4.43670051      180.00000000
20200616000000      30.28700000      268.76300000      0.50611281      0.00000000      0.25976699      180.00000000      5.30317280      180.00000000
20200716000000      30.28700000      268.76300000      0.44197371      0.00000000      0.81525940      180.00000000      3.15719290      180.00000000
20200816000000      30.28700000      268.76300000      0.72830445      0.00000000      1.29392427      180.00000000      2.58151600      180.00000000
20200916000000      30.28700000      268.76300000      0.66097037      0.00000000      1.12067401      180.00000000      3.31474510      180.00000000
20201016000000      30.28700000      268.76300000      0.46875302      0.00000000      0.97990693      180.00000000      3.63392209      180.00000000
20201116000000      30.28700000      268.76300000      0.73639479      0.00000000      0.82230139      180.00000000      4.00879603      180.00000000
20201216000000      30.28700000      268.76300000      0.81806024      0.00000000      0.68602814      180.00000000      2.62659290      180.00000000
20210116000000      30.28700000      268.76300000      0.81066458      0.00000000      0.15955647      180.00000000      4.28895162      180.00000000
20210215000000      30.28700000      268.76300000      0.89944555      0.00000000      0.19851056      180.00000000      3.84499335      180.00000000
20210316000000      30.28700000      268.76300000      1.03261268      0.00000000      0.23706120      0.00000000      6.32392512      180.00000000
20210416000000      30.28700000      268.76300000      0.90805382      0.00000000      0.12947361      0.00000000      5.94264620      180.00000000
20210516000000      30.28700000      268.76300000      0.59735733      0.00000000      0.04211777      0.00000000      5.90928001      180.00000000
20210616000000      30.28700000      268.76300000      0.48864951      0.00000000      0.53429068      180.00000000      5.53966132      180.00000000
20210716000000      30.28700000      268.76300000      0.50904644      0.00000000      0.99296136      180.00000000      4.94774832      180.00000000
