Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.47000000      268.74700000      0.03112326      180.00000000      0.17313032      0.00000000      7.12544160      180.00000000
20160214000000      30.47000000      268.74700000      0.15613139      180.00000000      0.21855670      0.00000000      5.43334614      180.00000000
20160316000000      30.47000000      268.74700000      0.40477589      180.00000000      0.39992485      0.00000000      6.63506999      180.00000000
20160520000000      30.47000000      268.74700000      0.18889824      180.00000000      0.03964011      180.00000000      3.82003066      180.00000000
20160616000000      30.47000000      268.74700000      0.50807737      180.00000000      0.54716322      180.00000000      2.41930040      180.00000000
20160715000000      30.47000000      268.74700000      0.05544520      0.00000000      1.21720305      180.00000000      0.07998617      180.00000000
20160821000000      30.47000000      268.74700000      0.14254405      180.00000000      1.52435396      180.00000000      0.64226247      180.00000000
20161127000000      30.47000000      268.74700000      0.09089278      180.00000000      1.56622781      180.00000000      0.44354825      180.00000000
20161224000000      30.47000000      268.74700000      0.03649881      180.00000000      1.15005412      180.00000000      1.48446791      180.00000000
20170121000000      30.47000000      268.74700000      0.13559204      0.00000000      0.87924161      180.00000000      2.52494417      180.00000000
20170331000000      30.47000000      268.74700000      0.00815551      180.00000000      0.37250026      180.00000000      2.95292099      180.00000000
20170424000000      30.47000000      268.74700000      0.01432765      180.00000000      0.01315503      0.00000000      2.93406003      180.00000000
20170512000000      30.47000000      268.74700000      0.21294964      0.00000000      0.32852529      0.00000000      2.97160046      180.00000000
20170611000000      30.47000000      268.74700000      0.04899174      0.00000000      0.12591212      180.00000000      3.47623383      180.00000000
20180616000000      30.47000000      268.74700000      0.66308671      0.00000000      0.63620718      180.00000000      0.80666172      0.00000000
20180710000000      30.47000000      268.74700000      0.92391991      0.00000000      1.31529410      180.00000000      0.11770622      0.00000000
20181031000000      30.47000000      268.74700000      0.02000064      0.00000000      1.10162726      180.00000000      3.49016333      180.00000000
20181116000000      30.47000000      268.74700000      0.15952350      0.00000000      0.92027882      180.00000000      2.84284901      180.00000000
20181216000000      30.47000000      268.74700000      0.21187281      0.00000000      0.39840255      180.00000000      4.57885991      180.00000000
20190116000000      30.47000000      268.74700000      0.01313118      180.00000000      0.11767763      0.00000000      6.69133250      180.00000000
