Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20191016000000      47.76600000      235.69400000      0.81653512      180.00000000      2.47196724      180.00000000      8.19864412      0.00000000
20191116000000      47.76600000      235.69400000      0.48665419      180.00000000      2.18838445      180.00000000      7.33825574      0.00000000
20191216000000      47.76600000      235.69400000      0.04297873      0.00000000      2.13780017      180.00000000      4.74439074      0.00000000
20200116000000      47.76600000      235.69400000      0.09906238      0.00000000      2.00276147      180.00000000      1.49348883      0.00000000
20200215000000      47.76600000      235.69400000      0.48764961      0.00000000      1.56006774      180.00000000      0.27849440      0.00000000
20200316000000      47.76600000      235.69400000      0.34210353      0.00000000      1.25703227      180.00000000      0.81875206      0.00000000
20200416000000      47.76600000      235.69400000      0.65398612      0.00000000      1.10297649      180.00000000      0.49248896      0.00000000
20200516000000      47.76600000      235.69400000      0.31540678      0.00000000      1.37817098      180.00000000      1.50643181      0.00000000
20200616000000      47.76600000      235.69400000      0.01015486      180.00000000      1.87022212      180.00000000      2.14636823      0.00000000
20200716000000      47.76600000      235.69400000      0.56176782      180.00000000      2.21476089      180.00000000      3.99788676      0.00000000
20200816000000      47.76600000      235.69400000      1.02217061      180.00000000      2.36002839      180.00000000      7.40622541      0.00000000
20200916000000      47.76600000      235.69400000      1.13668216      180.00000000      2.19849922      180.00000000      9.73244275      0.00000000
20201016000000      47.76600000      235.69400000      1.07970889      180.00000000      2.11452902      180.00000000      6.78418106      0.00000000
20201116000000      47.76600000      235.69400000      0.59894148      180.00000000      1.79338082      180.00000000      5.34736279      0.00000000
20201216000000      47.76600000      235.69400000      0.54918857      180.00000000      1.78116367      180.00000000      3.16552984      0.00000000
20210116000000      47.76600000      235.69400000      0.08539742      180.00000000      1.35982120      180.00000000      1.95555738      0.00000000
20210215000000      47.76600000      235.69400000      0.09665447      0.00000000      1.38122605      180.00000000      1.52651571      0.00000000
20210316000000      47.76600000      235.69400000      0.33159281      0.00000000      1.09164603      180.00000000      0.82980651      180.00000000
20210416000000      47.76600000      235.69400000      0.09973454      0.00000000      1.10223483      180.00000000      0.62296649      180.00000000
20210516000000      47.76600000      235.69400000      0.00313563      0.00000000      1.15961915      180.00000000      1.46295851      0.00000000
20210616000000      47.76600000      235.69400000      0.48464941      180.00000000      1.68882015      180.00000000      3.61949027      0.00000000
20210716000000      47.76600000      235.69400000      1.05763312      180.00000000      2.26467948      180.00000000      6.92324599      0.00000000
20210816000000      47.76600000      235.69400000      1.60927962      180.00000000      2.68521639      180.00000000      9.39311054      0.00000000
20210916000000      47.76600000      235.69400000      1.63487953      180.00000000      2.51556967      180.00000000      8.65594926      0.00000000
