Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.30400000      269.04600000      0.05781034      180.00000000      0.16562681      0.00000000      6.96565804      180.00000000
20160214000000      30.30400000      269.04600000      0.17068936      180.00000000      0.21857388      0.00000000      5.38264350      180.00000000
20160316000000      30.30400000      269.04600000      0.44544582      180.00000000      0.39276787      0.00000000      6.29590194      180.00000000
20160520000000      30.30400000      269.04600000      0.20761071      180.00000000      0.04441113      180.00000000      3.66696211      180.00000000
20160616000000      30.30400000      269.04600000      0.49088535      180.00000000      0.56967475      180.00000000      2.33367167      180.00000000
20160715000000      30.30400000      269.04600000      0.07484448      0.00000000      1.22997355      180.00000000      0.28052847      180.00000000
20160821000000      30.30400000      269.04600000      0.12547689      180.00000000      1.49528668      180.00000000      0.83963439      180.00000000
20161127000000      30.30400000      269.04600000      0.06619365      180.00000000      1.53226703      180.00000000      0.66244869      180.00000000
20161224000000      30.30400000      269.04600000      0.01746570      180.00000000      1.12319016      180.00000000      1.67204695      180.00000000
20170121000000      30.30400000      269.04600000      0.14844806      0.00000000      0.88225169      180.00000000      2.57839203      180.00000000
20170331000000      30.30400000      269.04600000      0.01984227      180.00000000      0.37222075      180.00000000      2.82316448      180.00000000
20170424000000      30.30400000      269.04600000      0.01578205      180.00000000      0.02925669      180.00000000      2.82614976      180.00000000
20170512000000      30.30400000      269.04600000      0.20161191      0.00000000      0.27173311      0.00000000      2.85595936      180.00000000
20170611000000      30.30400000      269.04600000      0.02742169      0.00000000      0.15871213      180.00000000      3.31895186      180.00000000
20180616000000      30.30400000      269.04600000      0.66074981      0.00000000      0.68418528      180.00000000      0.70498331      0.00000000
20180710000000      30.30400000      269.04600000      0.92727008      0.00000000      1.30965023      180.00000000      0.24130249      180.00000000
20181031000000      30.30400000      269.04600000      0.03966372      0.00000000      1.09854107      180.00000000      3.53459212      180.00000000
20181116000000      30.30400000      269.04600000      0.18295361      0.00000000      0.91971186      180.00000000      2.91555839      180.00000000
20181216000000      30.30400000      269.04600000      0.21027528      0.00000000      0.37745741      180.00000000      4.59162477      180.00000000
20190116000000      30.30400000      269.04600000      0.03667768      180.00000000      0.11508973      0.00000000      6.50109318      180.00000000
20190214000000      30.30400000      269.04600000      0.14339888      0.00000000      0.45980063      0.00000000      6.94681079      180.00000000
20190316000000      30.30400000      269.04600000      0.00083386      0.00000000      0.61454485      0.00000000      7.83764811      180.00000000
20190416000000      30.30400000      269.04600000      0.11928643      0.00000000      0.67378650      0.00000000      5.00726462      180.00000000
20190516000000      30.30400000      269.04600000      0.02661685      0.00000000      0.75261280      0.00000000      6.42255538      180.00000000
20190616000000      30.30400000      269.04600000      0.18390907      180.00000000      0.14015807      0.00000000      6.03172484      180.00000000
20190716000000      30.30400000      269.04600000      0.08333681      180.00000000      0.66125367      180.00000000      5.46233158      180.00000000
20190816000000      30.30400000      269.04600000      0.32873011      0.00000000      0.99815649      180.00000000      2.12936436      180.00000000
20190916000000      30.30400000      269.04600000      0.22043835      0.00000000      1.43541088      180.00000000      1.11238806      180.00000000
20191016000000      30.30400000      269.04600000      0.39535803      0.00000000      1.37175627      180.00000000      3.02782503      180.00000000
20191116000000      30.30400000      269.04600000      0.48786180      0.00000000      0.77785651      180.00000000      3.82528310      180.00000000
20191216000000      30.30400000      269.04600000      0.63748991      0.00000000      0.16294954      180.00000000      3.15922408      180.00000000
20200116000000      30.30400000      269.04600000      0.26278832      0.00000000      0.28065937      0.00000000      4.71493991      180.00000000
20200215000000      30.30400000      269.04600000      0.37830534      0.00000000      0.83975623      0.00000000      6.57803275      180.00000000
20200316000000      30.30400000      269.04600000      0.27171325      0.00000000      0.98716095      0.00000000      6.64661425      180.00000000
20200416000000      30.30400000      269.04600000      0.39776269      0.00000000      1.11995622      0.00000000      5.99040050      180.00000000
20200516000000      30.30400000      269.04600000      0.16898424      0.00000000      0.71167403      0.00000000      4.39373402      180.00000000
20200616000000      30.30400000      269.04600000      0.46964250      0.00000000      0.26615877      180.00000000      5.39356996      180.00000000
20200716000000      30.30400000      269.04600000      0.42571541      0.00000000      0.81639178      180.00000000      3.34407328      180.00000000
20200816000000      30.30400000      269.04600000      0.71042920      0.00000000      1.29652663      180.00000000      2.80301034      180.00000000
20200916000000      30.30400000      269.04600000      0.64117423      0.00000000      1.11896402      180.00000000      3.45191481      180.00000000
20201016000000      30.30400000      269.04600000      0.44767419      0.00000000      0.98267340      180.00000000      3.73874723      180.00000000
20201116000000      30.30400000      269.04600000      0.70529939      0.00000000      0.81934061      180.00000000      4.14431487      180.00000000
20201216000000      30.30400000      269.04600000      0.80094600      0.00000000      0.68889734      180.00000000      2.81556449      180.00000000
20210116000000      30.30400000      269.04600000      0.78355820      0.00000000      0.16567079      180.00000000      4.39054139      180.00000000
20210215000000      30.30400000      269.04600000      0.86904028      0.00000000      0.20113678      180.00000000      3.97054800      180.00000000
20210316000000      30.30400000      269.04600000      0.97748993      0.00000000      0.23788849      0.00000000      6.39790328      180.00000000
20210416000000      30.30400000      269.04600000      0.86059898      0.00000000      0.12644760      0.00000000      6.01735608      180.00000000
20210516000000      30.30400000      269.04600000      0.54436053      0.00000000      0.02692006      0.00000000      5.78375157      180.00000000
20210616000000      30.30400000      269.04600000      0.44375163      0.00000000      0.54745052      180.00000000      5.51318481      180.00000000
20210716000000      30.30400000      269.04600000      0.48215005      0.00000000      1.00321415      180.00000000      4.98304767      180.00000000
20210816000000      30.30400000      269.04600000      0.44558201      0.00000000      1.51703044      180.00000000      4.04609130      180.00000000
20210916000000      30.30400000      269.04600000      0.76719182      0.00000000      1.52733417      180.00000000      4.25688331      180.00000000
20211016000000      30.30400000      269.04600000      0.74328566      0.00000000      1.90785897      180.00000000      4.73927339      180.00000000
20211116000000      30.30400000      269.04600000      0.67168677      0.00000000      1.59798723      180.00000000      3.67377321      180.00000000
20211216000000      30.30400000      269.04600000      0.76224419      0.00000000      1.25920773      180.00000000      3.04993751      180.00000000
20220116000000      30.30400000      269.04600000      0.88688563      0.00000000      0.67086512      180.00000000      3.89607526      180.00000000
20220215000000      30.30400000      269.04600000      0.76512900      0.00000000      0.58064053      180.00000000      4.37028831      180.00000000
20220316000000      30.30400000      269.04600000      0.76481766      0.00000000      0.24042389      180.00000000      4.67158734      180.00000000
20220416000000      30.30400000      269.04600000      0.77732712      0.00000000      0.12310824      180.00000000      4.32742161      180.00000000
20220516000000      30.30400000      269.04600000      0.79427259      0.00000000      0.25562522      180.00000000      3.37183645      180.00000000
20220616000000      30.30400000      269.04600000      1.02806665      0.00000000      0.86809134      180.00000000      2.19222477      180.00000000
20220716000000      30.30400000      269.04600000      1.04709199      0.00000000      1.73983697      180.00000000      1.45222487      180.00000000
20220816000000      30.30400000      269.04600000      0.77885229      0.00000000      1.98112739      180.00000000      0.40729699      0.00000000
20220916000000      30.30400000      269.04600000      0.60869946      0.00000000      2.21850082      180.00000000      2.46806780      180.00000000
20221016000000      30.30400000      269.04600000      0.88838094      0.00000000      2.64336761      180.00000000      0.30837731      0.00000000
20221116000000      30.30400000      269.04600000      1.09401031      0.00000000      2.19255391      180.00000000      0.60720213      180.00000000
20221216000000      30.30400000      269.04600000      0.90075307      0.00000000      1.58830184      180.00000000      2.63484443      180.00000000
