Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.39600000      268.89300000      0.04550277      180.00000000      0.16877196      0.00000000      7.05212572      180.00000000
20160214000000      30.39600000      268.89300000      0.16295013      180.00000000      0.21775211      0.00000000      5.41001578      180.00000000
20160316000000      30.39600000      268.89300000      0.42935915      180.00000000      0.39590238      0.00000000      6.47869054      180.00000000
20160520000000      30.39600000      268.89300000      0.20048144      180.00000000      0.04272729      180.00000000      3.74888429      180.00000000
20160616000000      30.39600000      268.89300000      0.50069346      180.00000000      0.55898969      180.00000000      2.37596822      180.00000000
20160715000000      30.39600000      268.89300000      0.06739288      0.00000000      1.22451922      180.00000000      0.16984940      180.00000000
20160821000000      30.39600000      268.89300000      0.13248404      180.00000000      1.51240565      180.00000000      0.73187224      180.00000000
20161127000000      30.39600000      268.89300000      0.07708289      180.00000000      1.55235626      180.00000000      0.54165451      180.00000000
20161224000000      30.39600000      268.89300000      0.02509637      180.00000000      1.13925897      180.00000000      1.56937954      180.00000000
20170121000000      30.39600000      268.89300000      0.14223574      0.00000000      0.88195362      180.00000000      2.54751324      180.00000000
20170331000000      30.39600000      268.89300000      0.01640401      180.00000000      0.37305396      180.00000000      2.89228644      180.00000000
20170424000000      30.39600000      268.89300000      0.01609425      180.00000000      0.00753945      180.00000000      2.88149119      180.00000000
20170512000000      30.39600000      268.89300000      0.20631476      0.00000000      0.30153475      0.00000000      2.91650444      180.00000000
20170611000000      30.39600000      268.89300000      0.03584542      0.00000000      0.14183131      180.00000000      3.40371573      180.00000000
20180616000000      30.39600000      268.89300000      0.66324138      0.00000000      0.65870146      180.00000000      0.76010983      0.00000000
20180710000000      30.39600000      268.89300000      0.93038135      0.00000000      1.31303424      180.00000000      0.04923145      180.00000000
20181031000000      30.39600000      268.89300000      0.03000001      0.00000000      1.10172887      180.00000000      3.50762674      180.00000000
20181116000000      30.39600000      268.89300000      0.17257352      0.00000000      0.92130494      180.00000000      2.87391945      180.00000000
20181216000000      30.39600000      268.89300000      0.21193869      0.00000000      0.38979891      180.00000000      4.58553564      180.00000000
20190116000000      30.39600000      268.89300000      0.02648387      180.00000000      0.11572938      0.00000000      6.60437445      180.00000000
20190214000000      30.39600000      268.89300000      0.15803342      0.00000000      0.46572983      0.00000000      7.06432366      180.00000000
20190316000000      30.39600000      268.89300000      0.02477447      0.00000000      0.61993124      0.00000000      8.00485232      180.00000000
20190416000000      30.39600000      268.89300000      0.13047793      0.00000000      0.69214111      0.00000000      5.12778499      180.00000000
20190516000000      30.39600000      268.89300000      0.03797871      0.00000000      0.78107337      0.00000000      6.62140613      180.00000000
20190616000000      30.39600000      268.89300000      0.17695078      180.00000000      0.17837891      0.00000000      6.18231340      180.00000000
20190716000000      30.39600000      268.89300000      0.07382644      180.00000000      0.64498168      180.00000000      5.47765423      180.00000000
20190816000000      30.39600000      268.89300000      0.32815061      0.00000000      0.98221109      180.00000000      2.03235665      180.00000000
20190916000000      30.39600000      268.89300000      0.21641892      0.00000000      1.43289815      180.00000000      0.99367523      180.00000000
20191016000000      30.39600000      268.89300000      0.40503459      0.00000000      1.37603841      180.00000000      2.91479868      180.00000000
20191116000000      30.39600000      268.89300000      0.50155431      0.00000000      0.77282678      180.00000000      3.74959476      180.00000000
20191216000000      30.39600000      268.89300000      0.64788767      0.00000000      0.14836824      180.00000000      3.12466611      180.00000000
20200116000000      30.39600000      268.89300000      0.27997090      0.00000000      0.29732869      0.00000000      4.77406548      180.00000000
20200215000000      30.39600000      268.89300000      0.40271647      0.00000000      0.86199118      0.00000000      6.70215290      180.00000000
20200316000000      30.39600000      268.89300000      0.29708039      0.00000000      1.01527407      0.00000000      6.84022887      180.00000000
20200416000000      30.39600000      268.89300000      0.41704453      0.00000000      1.15491052      0.00000000      6.16587954      180.00000000
20200516000000      30.39600000      268.89300000      0.18959546      0.00000000      0.74268084      0.00000000      4.53684088      180.00000000
20200616000000      30.39600000      268.89300000      0.48727382      0.00000000      0.24836083      180.00000000      5.40429827      180.00000000
20200716000000      30.39600000      268.89300000      0.43660309      0.00000000      0.80402425      180.00000000      3.26333374      180.00000000
20200816000000      30.39600000      268.89300000      0.72297763      0.00000000      1.29381706      180.00000000      2.66784372      180.00000000
20200916000000      30.39600000      268.89300000      0.65575641      0.00000000      1.13147128      180.00000000      3.36064693      180.00000000
20201016000000      30.39600000      268.89300000      0.46025771      0.00000000      0.98871734      180.00000000      3.66968516      180.00000000
20201116000000      30.39600000      268.89300000      0.72567743      0.00000000      0.82338708      180.00000000      4.06539355      180.00000000
20201216000000      30.39600000      268.89300000      0.81181016      0.00000000      0.67366452      180.00000000      2.73359681      180.00000000
20210116000000      30.39600000      268.89300000      0.79656090      0.00000000      0.14442263      180.00000000      4.38996585      180.00000000
20210215000000      30.39600000      268.89300000      0.88552097      0.00000000      0.18366749      180.00000000      3.96057985      180.00000000
20210316000000      30.39600000      268.89300000      1.00752636      0.00000000      0.25343908      0.00000000      6.44765830      180.00000000
20210416000000      30.39600000      268.89300000      0.88520405      0.00000000      0.13984299      0.00000000      6.05715984      180.00000000
20210516000000      30.39600000      268.89300000      0.56332721      0.00000000      0.05085198      0.00000000      5.94178119      180.00000000
20210616000000      30.39600000      268.89300000      0.46112501      0.00000000      0.52736237      180.00000000      5.59822519      180.00000000
20210716000000      30.39600000      268.89300000      0.49294971      0.00000000      0.99536276      180.00000000      4.99453079      180.00000000
20210816000000      30.39600000      268.89300000      0.45236743      0.00000000      1.52572450      180.00000000      3.96870595      180.00000000
20210916000000      30.39600000      268.89300000      0.78095507      0.00000000      1.54748545      180.00000000      4.15275099      180.00000000
20211016000000      30.39600000      268.89300000      0.75552709      0.00000000      1.93859340      180.00000000      4.62431057      180.00000000
20211116000000      30.39600000      268.89300000      0.68206356      0.00000000      1.61422154      180.00000000      3.57731982      180.00000000
20211216000000      30.39600000      268.89300000      0.77733815      0.00000000      1.27445994      180.00000000      2.94924314      180.00000000
20220116000000      30.39600000      268.89300000      0.90673081      0.00000000      0.67858407      180.00000000      3.87639637      180.00000000
20220215000000      30.39600000      268.89300000      0.78147259      0.00000000      0.59825760      180.00000000      4.29315030      180.00000000
20220316000000      30.39600000      268.89300000      0.79405962      0.00000000      0.23973035      180.00000000      4.69042043      180.00000000
20220416000000      30.39600000      268.89300000      0.80454272      0.00000000      0.11876421      180.00000000      4.40666434      180.00000000
20220516000000      30.39600000      268.89300000      0.80890807      0.00000000      0.23456882      180.00000000      3.36650996      180.00000000
20220616000000      30.39600000      268.89300000      1.05052011      0.00000000      0.83813136      180.00000000      2.17187073      180.00000000
20220716000000      30.39600000      268.89300000      1.05849116      0.00000000      1.74607769      180.00000000      1.26335726      180.00000000
20220816000000      30.39600000      268.89300000      0.77106244      0.00000000      1.98384134      180.00000000      0.57698865      0.00000000
20220916000000      30.39600000      268.89300000      0.62174756      0.00000000      2.23895039      180.00000000      2.35893970      180.00000000
20221016000000      30.39600000      268.89300000      0.89187259      0.00000000      2.67499233      180.00000000      0.61567601      0.00000000
20221116000000      30.39600000      268.89300000      1.09634301      0.00000000      2.20445775      180.00000000      0.40683071      180.00000000
20221216000000      30.39600000      268.89300000      0.90178197      0.00000000      1.60528465      180.00000000      2.47759809      180.00000000
