Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.40700000      268.82000000      0.12297722      180.00000000      0.75387154      0.00000000      5.36613419      180.00000000
20160214000000      30.40700000      268.82000000      0.09267620      180.00000000      0.72719312      0.00000000      4.02119297      180.00000000
20160316000000      30.40700000      268.82000000      0.21185496      180.00000000      1.00047494      0.00000000      5.23048504      180.00000000
20160520000000      30.40700000      268.82000000      0.02643210      0.00000000      0.48489232      0.00000000      3.37189749      180.00000000
20160616000000      30.40700000      268.82000000      0.13851919      180.00000000      0.01515903      0.00000000      2.02894680      180.00000000
20160715000000      30.40700000      268.82000000      0.18270703      0.00000000      0.67002498      180.00000000      0.43023948      0.00000000
20160821000000      30.40700000      268.82000000      0.14840872      0.00000000      0.90475059      180.00000000      0.18249147      180.00000000
20161127000000      30.40700000      268.82000000      0.11313452      180.00000000      1.02249480      180.00000000      0.42203310      0.00000000
20161224000000      30.40700000      268.82000000      0.03587390      180.00000000      0.64006743      180.00000000      0.63840324      180.00000000
20170121000000      30.40700000      268.82000000      0.03169024      180.00000000      0.35706629      180.00000000      1.29862411      180.00000000
20170331000000      30.40700000      268.82000000      0.05785140      0.00000000      0.08897000      0.00000000      2.05469043      180.00000000
20170424000000      30.40700000      268.82000000      0.01548326      0.00000000      0.36896088      0.00000000      2.16251076      180.00000000
20170512000000      30.40700000      268.82000000      0.12709443      0.00000000      0.56677514      0.00000000      2.34309751      180.00000000
20170611000000      30.40700000      268.82000000      0.13402936      0.00000000      0.31449490      0.00000000      2.68773952      180.00000000
20180616000000      30.40700000      268.82000000      0.71016532      0.00000000      0.33903512      180.00000000      0.94789481      0.00000000
20180710000000      30.40700000      268.82000000      0.84722587      0.00000000      0.79813042      180.00000000      0.72034154      0.00000000
20181031000000      30.40700000      268.82000000      0.04960774      180.00000000      0.51078677      180.00000000      2.07619804      180.00000000
20181116000000      30.40700000      268.82000000      0.06908714      0.00000000      0.41596469      180.00000000      1.79620385      180.00000000
20181216000000      30.40700000      268.82000000      0.20318486      0.00000000      0.06026953      0.00000000      3.59436605      180.00000000
20190116000000      30.40700000      268.82000000      0.05226616      0.00000000      0.72053382      0.00000000      5.40480458      180.00000000
20190214000000      30.40700000      268.82000000      0.13676174      0.00000000      1.03297142      0.00000000      5.84765020      180.00000000
20190316000000      30.40700000      268.82000000      0.13047958      0.00000000      1.25845535      0.00000000      6.56954861      180.00000000
20190416000000      30.40700000      268.82000000      0.16180079      0.00000000      1.08941325      0.00000000      4.59287875      180.00000000
20190516000000      30.40700000      268.82000000      0.05652336      0.00000000      1.28235427      0.00000000      5.69510168      180.00000000
20190616000000      30.40700000      268.82000000      0.04805820      180.00000000      0.86294190      0.00000000      5.06282767      180.00000000
20190716000000      30.40700000      268.82000000      0.19172211      0.00000000      0.22079026      0.00000000      4.19941163      180.00000000
20190816000000      30.40700000      268.82000000      0.39329447      0.00000000      0.32907362      180.00000000      0.96348225      180.00000000
20190916000000      30.40700000      268.82000000      0.28694907      0.00000000      0.68699692      180.00000000      0.02751736      0.00000000
20191016000000      30.40700000      268.82000000      0.28676501      0.00000000      0.59202389      180.00000000      1.25994324      180.00000000
20191116000000      30.40700000      268.82000000      0.35394531      0.00000000      0.10215528      180.00000000      2.34634627      180.00000000
20191216000000      30.40700000      268.82000000      0.48293155      0.00000000      0.32806550      0.00000000      2.27866107      180.00000000
20200116000000      30.40700000      268.82000000      0.35367037      0.00000000      0.81528437      0.00000000      4.17030481      180.00000000
20200215000000      30.40700000      268.82000000      0.41167457      0.00000000      1.38177303      0.00000000      5.69775019      180.00000000
20200316000000      30.40700000      268.82000000      0.28088114      0.00000000      1.52949581      0.00000000      5.78206375      180.00000000
20200416000000      30.40700000      268.82000000      0.37061020      0.00000000      1.57078769      0.00000000      5.28122002      180.00000000
20200516000000      30.40700000      268.82000000      0.45951600      0.00000000      1.21504664      0.00000000      4.31388361      180.00000000
20200616000000      30.40700000      268.82000000      0.54450475      0.00000000      0.49889366      0.00000000      4.05735197      180.00000000
20200716000000      30.40700000      268.82000000      0.63579974      0.00000000      0.07861361      180.00000000      2.05691558      180.00000000
20200816000000      30.40700000      268.82000000      0.74850011      0.00000000      0.45387920      180.00000000      1.22439126      180.00000000
20200916000000      30.40700000      268.82000000      0.70118615      0.00000000      0.40297857      180.00000000      1.93745988      180.00000000
20201016000000      30.40700000      268.82000000      0.54053689      0.00000000      0.32660073      180.00000000      2.05352317      180.00000000
20201116000000      30.40700000      268.82000000      0.66936153      0.00000000      0.17571011      180.00000000      2.52387312      180.00000000
20201216000000      30.40700000      268.82000000      0.75812564      0.00000000      0.14200452      180.00000000      1.50779489      180.00000000
20210116000000      30.40700000      268.82000000      0.70583951      0.00000000      0.33751697      0.00000000      2.88612929      180.00000000
20210215000000      30.40700000      268.82000000      0.84927403      0.00000000      0.32782167      0.00000000      2.83035017      180.00000000
