Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      29.45000000      268.66200000      0.04181636      180.00000000      0.82101184      0.00000000      3.98540431      180.00000000
20160214000000      29.45000000      268.66200000      0.05450080      180.00000000      0.79297122      0.00000000      2.95784805      180.00000000
20160316000000      29.45000000      268.66200000      0.07728915      180.00000000      1.06985256      0.00000000      3.65860553      180.00000000
20160520000000      29.45000000      268.66200000      0.13044380      0.00000000      0.58661076      0.00000000      2.33581583      180.00000000
20160616000000      29.45000000      268.66200000      0.04277300      180.00000000      0.07029784      0.00000000      1.61327100      180.00000000
20160715000000      29.45000000      268.66200000      0.17164141      0.00000000      0.64227117      180.00000000      0.09907155      0.00000000
20160821000000      29.45000000      268.66200000      0.14369742      0.00000000      0.71575230      180.00000000      0.36762516      180.00000000
20161127000000      29.45000000      268.66200000      0.09189239      180.00000000      0.77188324      180.00000000      0.02694553      0.00000000
20161224000000      29.45000000      268.66200000      0.03395233      180.00000000      0.45376486      180.00000000      0.76333688      180.00000000
20170121000000      29.45000000      268.66200000      0.00803072      0.00000000      0.26699755      180.00000000      1.21573454      180.00000000
20170331000000      29.45000000      268.66200000      0.13209414      0.00000000      0.16289109      0.00000000      1.58031849      180.00000000
20170424000000      29.45000000      268.66200000      0.09060575      0.00000000      0.30078947      0.00000000      1.71232829      180.00000000
20170512000000      29.45000000      268.66200000      0.18468064      0.00000000      0.41343442      0.00000000      1.83825031      180.00000000
20170611000000      29.45000000      268.66200000      0.21908856      0.00000000      0.26967834      0.00000000      1.91938201      180.00000000
20180616000000      29.45000000      268.66200000      0.65167326      0.00000000      0.56015019      180.00000000      0.57298457      0.00000000
20180710000000      29.45000000      268.66200000      0.71673306      0.00000000      0.82198270      180.00000000      0.34051715      0.00000000
20181031000000      29.45000000      268.66200000      0.00083835      180.00000000      0.36769782      180.00000000      1.90980427      180.00000000
20181116000000      29.45000000      268.66200000      0.07428454      0.00000000      0.34236704      180.00000000      1.70089219      180.00000000
20181216000000      29.45000000      268.66200000      0.22600671      0.00000000      0.20654527      0.00000000      2.74148468      180.00000000
20190116000000      29.45000000      268.66200000      0.13966161      0.00000000      0.80171344      0.00000000      3.95119830      180.00000000
20190214000000      29.45000000      268.66200000      0.21551000      0.00000000      1.05949746      0.00000000      4.23095764      180.00000000
20190316000000      29.45000000      268.66200000      0.24027901      0.00000000      1.29640654      0.00000000      4.61316611      180.00000000
20190416000000      29.45000000      268.66200000      0.23580505      0.00000000      1.01050886      0.00000000      3.21610652      180.00000000
20190516000000      29.45000000      268.66200000      0.22293792      0.00000000      1.21980480      0.00000000      3.97929070      180.00000000
20190616000000      29.45000000      268.66200000      0.12485593      0.00000000      0.77369253      0.00000000      3.67793456      180.00000000
20190716000000      29.45000000      268.66200000      0.28326807      0.00000000      0.25002469      0.00000000      3.07262815      180.00000000
20190816000000      29.45000000      268.66200000      0.38255027      0.00000000      0.37630070      180.00000000      0.85244792      180.00000000
20190916000000      29.45000000      268.66200000      0.27749918      0.00000000      0.62847127      180.00000000      0.19794818      180.00000000
20191016000000      29.45000000      268.66200000      0.32964556      0.00000000      0.41260704      180.00000000      1.02052462      180.00000000
20191116000000      29.45000000      268.66200000      0.37174549      0.00000000      0.05030662      180.00000000      1.83029070      180.00000000
20191216000000      29.45000000      268.66200000      0.44996661      0.00000000      0.20862362      0.00000000      1.90196805      180.00000000
20200116000000      29.45000000      268.66200000      0.39901511      0.00000000      0.73567781      0.00000000      3.10876896      180.00000000
20200215000000      29.45000000      268.66200000      0.46933351      0.00000000      1.24908417      0.00000000      4.09148705      180.00000000
20200316000000      29.45000000      268.66200000      0.40199837      0.00000000      1.40306801      0.00000000      3.99745479      180.00000000
20200416000000      29.45000000      268.66200000      0.47535409      0.00000000      1.38530858      0.00000000      3.63771472      180.00000000
20200516000000      29.45000000      268.66200000      0.54560353      0.00000000      1.04332940      0.00000000      2.98712255      180.00000000
20200616000000      29.45000000      268.66200000      0.58812444      0.00000000      0.44896895      0.00000000      2.96242926      180.00000000
20200716000000      29.45000000      268.66200000      0.60271829      0.00000000      0.15196067      180.00000000      1.66556814      180.00000000
20200816000000      29.45000000      268.66200000      0.70152233      0.00000000      0.44182400      180.00000000      1.03124822      180.00000000
20200916000000      29.45000000      268.66200000      0.67992142      0.00000000      0.27991306      180.00000000      1.49168398      180.00000000
20201016000000      29.45000000      268.66200000      0.54261655      0.00000000      0.23076080      180.00000000      1.61623932      180.00000000
20201116000000      29.45000000      268.66200000      0.65677267      0.00000000      0.10806221      180.00000000      1.94850264      180.00000000
20201216000000      29.45000000      268.66200000      0.71616344      0.00000000      0.25089712      180.00000000      1.30633904      180.00000000
20210116000000      29.45000000      268.66200000      0.72128176      0.00000000      0.22195504      0.00000000      2.20366233      180.00000000
20210215000000      29.45000000      268.66200000      0.85249245      0.00000000      0.22834002      0.00000000      2.03374983      180.00000000
20210316000000      29.45000000      268.66200000      0.92197925      0.00000000      0.80481676      0.00000000      3.24133695      180.00000000
20210416000000      29.45000000      268.66200000      0.93309831      0.00000000      0.68056207      0.00000000      3.21576201      180.00000000
20210516000000      29.45000000      268.66200000      0.73940151      0.00000000      0.57264322      0.00000000      3.13609131      180.00000000
20210616000000      29.45000000      268.66200000      0.70198356      0.00000000      0.23325910      0.00000000      2.98402180      180.00000000
20210716000000      29.45000000      268.66200000      0.69186774      0.00000000      0.16543945      180.00000000      2.58885310      180.00000000
20210816000000      29.45000000      268.66200000      0.68218185      0.00000000      0.53856463      180.00000000      1.94065634      180.00000000
20210916000000      29.45000000      268.66200000      0.78060280      0.00000000      0.61415762      180.00000000      1.65980515      180.00000000
20211016000000      29.45000000      268.66200000      0.64434425      0.00000000      0.69322600      180.00000000      1.91881962      180.00000000
20211116000000      29.45000000      268.66200000      0.59269915      0.00000000      0.58365467      180.00000000      1.26079904      180.00000000
20211216000000      29.45000000      268.66200000      0.68528304      0.00000000      0.50200214      180.00000000      1.07055527      180.00000000
20220116000000      29.45000000      268.66200000      0.71335492      0.00000000      0.04541080      180.00000000      1.48930118      180.00000000
20220215000000      29.45000000      268.66200000      0.74199932      0.00000000      0.06398294      0.00000000      1.75543811      180.00000000
20220316000000      29.45000000      268.66200000      0.85349204      0.00000000      0.36901888      0.00000000      2.21979022      180.00000000
20220416000000      29.45000000      268.66200000      0.95728538      0.00000000      0.41440286      0.00000000      2.15196226      180.00000000
20220516000000      29.45000000      268.66200000      0.88616836      0.00000000      0.13904922      0.00000000      1.59928525      180.00000000
20220616000000      29.45000000      268.66200000      0.93967633      0.00000000      0.45675792      180.00000000      0.52905170      180.00000000
20220716000000      29.45000000      268.66200000      0.97214414      0.00000000      1.02575973      180.00000000      0.10374019      0.00000000
20220816000000      29.45000000      268.66200000      0.75731243      0.00000000      1.38501733      180.00000000      0.96876478      0.00000000
20220916000000      29.45000000      268.66200000      0.75214739      0.00000000      1.21631602      180.00000000      0.29527868      180.00000000
20221016000000      29.45000000      268.66200000      0.83358614      0.00000000      1.75987977      180.00000000      1.38364476      0.00000000
20221116000000      29.45000000      268.66200000      0.77631492      0.00000000      1.46161665      180.00000000      0.83900425      0.00000000
20221216000000      29.45000000      268.66200000      0.74110574      0.00000000      0.86288169      180.00000000      0.46693693      180.00000000
