Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.10000000      269.01700000      0.13759233      180.00000000      0.75196857      0.00000000      5.00577443      180.00000000
20160214000000      30.10000000      269.01700000      0.10588836      180.00000000      0.73261397      0.00000000      3.78520527      180.00000000
20160316000000      30.10000000      269.01700000      0.22418423      180.00000000      0.98870105      0.00000000      4.73095703      180.00000000
20160520000000      30.10000000      269.01700000      0.02532998      0.00000000      0.48792562      0.00000000      3.09158014      180.00000000
20160616000000      30.10000000      269.01700000      0.11064227      180.00000000      0.00039385      180.00000000      1.88902075      180.00000000
20160715000000      30.10000000      269.01700000      0.19342641      0.00000000      0.67337084      180.00000000      0.25663296      0.00000000
20160821000000      30.10000000      269.01700000      0.15188405      0.00000000      0.84755659      180.00000000      0.35789578      180.00000000
20161127000000      30.10000000      269.01700000      0.09747075      180.00000000      0.94744904      180.00000000      0.18343553      0.00000000
20161224000000      30.10000000      269.01700000      0.03034355      180.00000000      0.58484678      180.00000000      0.79464973      180.00000000
20170121000000      30.10000000      269.01700000      0.02156392      180.00000000      0.34497499      180.00000000      1.31224872      180.00000000
20170331000000      30.10000000      269.01700000      0.05888583      0.00000000      0.08880450      0.00000000      1.89552390      180.00000000
20170424000000      30.10000000      269.01700000      0.02736929      0.00000000      0.31223654      0.00000000      1.99258034      180.00000000
20170512000000      30.10000000      269.01700000      0.12853975      0.00000000      0.48287234      0.00000000      2.14417471      180.00000000
20170611000000      30.10000000      269.01700000      0.12894621      0.00000000      0.26834160      0.00000000      2.43605628      180.00000000
20180616000000      30.10000000      269.01700000      0.69992624      0.00000000      0.42593752      180.00000000      0.86272734      0.00000000
20180710000000      30.10000000      269.01700000      0.81757661      0.00000000      0.79544429      180.00000000      0.44922566      0.00000000
20181031000000      30.10000000      269.01700000      0.03368345      180.00000000      0.48262582      180.00000000      2.07194173      180.00000000
20181116000000      30.10000000      269.01700000      0.07973332      0.00000000      0.40526601      180.00000000      1.80873385      180.00000000
20181216000000      30.10000000      269.01700000      0.19281356      0.00000000      0.09653111      0.00000000      3.44926578      180.00000000
20190116000000      30.10000000      269.01700000      0.03968113      0.00000000      0.71981238      0.00000000      5.01228868      180.00000000
20190214000000      30.10000000      269.01700000      0.11536404      0.00000000      1.01340491      0.00000000      5.39979458      180.00000000
20190316000000      30.10000000      269.01700000      0.09853951      0.00000000      1.23765354      0.00000000      6.01214530      180.00000000
20190416000000      30.10000000      269.01700000      0.14954799      0.00000000      1.02877166      0.00000000      4.17185500      180.00000000
20190516000000      30.10000000      269.01700000      0.05713373      0.00000000      1.20847563      0.00000000      5.11961302      180.00000000
20190616000000      30.10000000      269.01700000      0.03446820      180.00000000      0.77718366      0.00000000      4.59406371      180.00000000
20190716000000      30.10000000      269.01700000      0.18537161      0.00000000      0.19698933      0.00000000      3.95494186      180.00000000
20190816000000      30.10000000      269.01700000      0.39028694      0.00000000      0.36303695      180.00000000      1.02682992      180.00000000
20190916000000      30.10000000      269.01700000      0.28903249      0.00000000      0.68072855      180.00000000      0.14308091      180.00000000
20191016000000      30.10000000      269.01700000      0.27546946      0.00000000      0.54826591      180.00000000      1.36098069      180.00000000
20191116000000      30.10000000      269.01700000      0.33284159      0.00000000      0.10098823      180.00000000      2.32822501      180.00000000
20191216000000      30.10000000      269.01700000      0.45894688      0.00000000      0.27477652      0.00000000      2.21377592      180.00000000
20200116000000      30.10000000      269.01700000      0.32994084      0.00000000      0.76224642      0.00000000      3.88510075      180.00000000
20200215000000      30.10000000      269.01700000      0.37656230      0.00000000      1.30790896      0.00000000      5.22420560      180.00000000
20200316000000      30.10000000      269.01700000      0.25522700      0.00000000      1.44471113      0.00000000      5.19745461      180.00000000
20200416000000      30.10000000      269.01700000      0.35317017      0.00000000      1.46380664      0.00000000      4.73344502      180.00000000
20200516000000      30.10000000      269.01700000      0.44055743      0.00000000      1.11672523      0.00000000      3.86777793      180.00000000
20200616000000      30.10000000      269.01700000      0.51989594      0.00000000      0.45684258      0.00000000      3.81307034      180.00000000
20200716000000      30.10000000      269.01700000      0.61219208      0.00000000      0.11403698      180.00000000      2.04582749      180.00000000
20200816000000      30.10000000      269.01700000      0.71994863      0.00000000      0.45387742      180.00000000      1.32926721      180.00000000
20200916000000      30.10000000      269.01700000      0.66756963      0.00000000      0.36486608      180.00000000      1.96860155      180.00000000
20201016000000      30.10000000      269.01700000      0.51494661      0.00000000      0.30405986      180.00000000      2.05230878      180.00000000
20201116000000      30.10000000      269.01700000      0.63026058      0.00000000      0.15907722      180.00000000      2.50338839      180.00000000
20201216000000      30.10000000      269.01700000      0.73376444      0.00000000      0.18854534      180.00000000      1.52870076      180.00000000
20210116000000      30.10000000      269.01700000      0.68603486      0.00000000      0.27598636      0.00000000      2.72166023      180.00000000
20210215000000      30.10000000      269.01700000      0.82027502      0.00000000      0.27457241      0.00000000      2.66452142      180.00000000
20210316000000      30.10000000      269.01700000      0.82506473      0.00000000      0.81505830      0.00000000      4.42224243      180.00000000
20210416000000      30.10000000      269.01700000      0.83634553      0.00000000      0.66982227      0.00000000      4.36806616      180.00000000
20210516000000      30.10000000      269.01700000      0.57318915      0.00000000      0.54774095      0.00000000      4.10698543      180.00000000
20210616000000      30.10000000      269.01700000      0.57251390      0.00000000      0.20800466      0.00000000      3.91178144      180.00000000
20210716000000      30.10000000      269.01700000      0.61324962      0.00000000      0.22051774      180.00000000      3.28551838      180.00000000
20210816000000      30.10000000      269.01700000      0.64613028      0.00000000      0.65359608      180.00000000      2.50565864      180.00000000
20210916000000      30.10000000      269.01700000      0.77612510      0.00000000      0.72474587      180.00000000      2.15496674      180.00000000
20211016000000      30.10000000      269.01700000      0.62580722      0.00000000      0.87048212      180.00000000      2.47878052      180.00000000
20211116000000      30.10000000      269.01700000      0.56434246      0.00000000      0.71618294      180.00000000      1.64241936      180.00000000
20211216000000      30.10000000      269.01700000      0.66931608      0.00000000      0.60071172      180.00000000      1.52476198      180.00000000
20220116000000      30.10000000      269.01700000      0.67001018      0.00000000      0.10868660      180.00000000      2.10326145      180.00000000
20220215000000      30.10000000      269.01700000      0.74063207      0.00000000      0.01032615      180.00000000      2.44573792      180.00000000
20220316000000      30.10000000      269.01700000      0.77546593      0.00000000      0.33052940      0.00000000      3.21381590      180.00000000
20220416000000      30.10000000      269.01700000      0.85357455      0.00000000      0.38099714      0.00000000      3.09568480      180.00000000
20220516000000      30.10000000      269.01700000      0.83874203      0.00000000      0.18658572      0.00000000      2.16828572      180.00000000
20220616000000      30.10000000      269.01700000      0.89591973      0.00000000      0.36206584      180.00000000      0.77657966      180.00000000
20220716000000      30.10000000      269.01700000      1.02057068      0.00000000      1.04821483      180.00000000      0.05966918      0.00000000
20220816000000      30.10000000      269.01700000      0.82891644      0.00000000      1.39857995      180.00000000      1.43338187      0.00000000
20220916000000      30.10000000      269.01700000      0.72617785      0.00000000      1.36768870      180.00000000      0.45480923      180.00000000
20221016000000      30.10000000      269.01700000      0.94424219      0.00000000      1.87605672      180.00000000      1.63703324      0.00000000
20221116000000      30.10000000      269.01700000      0.82930863      0.00000000      1.53510664      180.00000000      1.04344214      0.00000000
20221216000000      30.10000000      269.01700000      0.75589768      0.00000000      0.99325545      180.00000000      0.70229192      180.00000000
