Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.47600000      269.90400000      0.24043676      180.00000000      0.72598860      0.00000000      5.17333603      180.00000000
20160214000000      30.47600000      269.90400000      0.18517866      180.00000000      0.72368671      0.00000000      4.00276289      180.00000000
20160316000000      30.47600000      269.90400000      0.30233540      180.00000000      0.95586812      0.00000000      4.72925674      180.00000000
20160520000000      30.47600000      269.90400000      0.04619455      180.00000000      0.43089149      0.00000000      3.10455981      180.00000000
20160616000000      30.47600000      269.90400000      0.14527046      180.00000000      0.08911641      180.00000000      1.78859359      180.00000000
20160715000000      30.47600000      269.90400000      0.14859055      0.00000000      0.72198608      180.00000000      0.21686792      0.00000000
20160821000000      30.47600000      269.90400000      0.13207811      0.00000000      0.92920247      180.00000000      0.28726113      180.00000000
20161127000000      30.47600000      269.90400000      0.11619988      180.00000000      1.08119597      180.00000000      0.42570979      0.00000000
20161224000000      30.47600000      269.90400000      0.05407445      180.00000000      0.66836454      180.00000000      0.71936620      180.00000000
20170121000000      30.47600000      269.90400000      0.04872162      180.00000000      0.41219756      180.00000000      1.23273620      180.00000000
20170331000000      30.47600000      269.90400000      0.05402323      0.00000000      0.04952579      0.00000000      1.78677883      180.00000000
20170424000000      30.47600000      269.90400000      0.02749674      180.00000000      0.28434706      0.00000000      2.02242154      180.00000000
20170512000000      30.47600000      269.90400000      0.05323989      0.00000000      0.49696201      0.00000000      2.29555265      180.00000000
20170611000000      30.47600000      269.90400000      0.05489574      0.00000000      0.25504638      0.00000000      2.52376048      180.00000000
20180616000000      30.47600000      269.90400000      0.67567726      0.00000000      0.35291057      180.00000000      0.59888445      0.00000000
20180710000000      30.47600000      269.90400000      0.78768723      0.00000000      0.72666823      180.00000000      0.04282894      0.00000000
20181031000000      30.47600000      269.90400000      0.06295366      180.00000000      0.58206660      180.00000000      1.93226541      180.00000000
20181116000000      30.47600000      269.90400000      0.07194479      0.00000000      0.45148772      180.00000000      1.81883052      180.00000000
20181216000000      30.47600000      269.90400000      0.14702985      0.00000000      0.06771095      0.00000000      3.62096899      180.00000000
20190116000000      30.47600000      269.90400000      0.04228847      180.00000000      0.69857568      0.00000000      5.17723948      180.00000000
20190214000000      30.47600000      269.90400000      0.02128697      0.00000000      1.02444762      0.00000000      5.66964248      180.00000000
20190316000000      30.47600000      269.90400000      0.02020350      180.00000000      1.25141767      0.00000000      6.27073481      180.00000000
20190416000000      30.47600000      269.90400000      0.05553423      0.00000000      1.05774251      0.00000000      4.47577806      180.00000000
20190516000000      30.47600000      269.90400000      0.06686145      180.00000000      1.17440330      0.00000000      5.26808267      180.00000000
20190616000000      30.47600000      269.90400000      0.19174414      180.00000000      0.70836953      0.00000000      4.69043188      180.00000000
20190716000000      30.47600000      269.90400000      0.02040219      0.00000000      0.13530909      0.00000000      4.18888281      180.00000000
20190816000000      30.47600000      269.90400000      0.27947329      0.00000000      0.38663117      180.00000000      1.30426985      180.00000000
20190916000000      30.47600000      269.90400000      0.21516690      0.00000000      0.74710562      180.00000000      0.21020323      180.00000000
20191016000000      30.47600000      269.90400000      0.12296433      0.00000000      0.66936109      180.00000000      1.36542366      180.00000000
20191116000000      30.47600000      269.90400000      0.17595804      0.00000000      0.14643314      180.00000000      2.53321331      180.00000000
20191216000000      30.47600000      269.90400000      0.36113085      0.00000000      0.32992277      0.00000000      2.56668452      180.00000000
20200116000000      30.47600000      269.90400000      0.19829347      0.00000000      0.78493035      0.00000000      4.18798014      180.00000000
20200215000000      30.47600000      269.90400000      0.23273270      0.00000000      1.37426672      0.00000000      5.66024570      180.00000000
20200316000000      30.47600000      269.90400000      0.10677583      0.00000000      1.47421149      0.00000000      5.48536294      180.00000000
20200416000000      30.47600000      269.90400000      0.20756776      0.00000000      1.50584572      0.00000000      5.09242979      180.00000000
20200516000000      30.47600000      269.90400000      0.30905010      0.00000000      1.15665451      0.00000000      4.17595448      180.00000000
20200616000000      30.47600000      269.90400000      0.36958110      0.00000000      0.46835862      0.00000000      4.19406642      180.00000000
20200716000000      30.47600000      269.90400000      0.50226654      0.00000000      0.07611576      180.00000000      2.45568071      180.00000000
20200816000000      30.47600000      269.90400000      0.59912902      0.00000000      0.45132884      180.00000000      1.67599019      180.00000000
20200916000000      30.47600000      269.90400000      0.56768798      0.00000000      0.38371044      180.00000000      2.19543278      180.00000000
20201016000000      30.47600000      269.90400000      0.41090794      0.00000000      0.34073678      180.00000000      2.21793810      180.00000000
20201116000000      30.47600000      269.90400000      0.50842286      0.00000000      0.15958052      180.00000000      2.78273898      180.00000000
