Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.31400000      269.09600000      0.15712376      180.00000000      0.74465110      0.00000000      5.21739202      180.00000000
20160214000000      30.31400000      269.09600000      0.11653082      180.00000000      0.72489321      0.00000000      3.96217698      180.00000000
20160316000000      30.31400000      269.09600000      0.24930715      180.00000000      0.98401381      0.00000000      4.93445985      180.00000000
20160520000000      30.31400000      269.09600000      0.00436860      0.00000000      0.47290655      0.00000000      3.22125256      180.00000000
20160616000000      30.31400000      269.09600000      0.13265053      180.00000000      0.01016675      180.00000000      1.94205202      180.00000000
20160715000000      30.31400000      269.09600000      0.18738394      0.00000000      0.67955372      180.00000000      0.28398631      0.00000000
20160821000000      30.31400000      269.09600000      0.15018037      0.00000000      0.89030852      180.00000000      0.29951496      180.00000000
20161127000000      30.31400000      269.09600000      0.10512078      180.00000000      1.00846960      180.00000000      0.30009182      0.00000000
20161224000000      30.31400000      269.09600000      0.03361884      180.00000000      0.62721939      180.00000000      0.75038422      180.00000000
20170121000000      30.31400000      269.09600000      0.03294559      180.00000000      0.36389394      180.00000000      1.30994568      180.00000000
20170331000000      30.31400000      269.09600000      0.04729747      0.00000000      0.07976775      0.00000000      1.93371667      180.00000000
20170424000000      30.31400000      269.09600000      0.00759815      0.00000000      0.33471127      0.00000000      2.08464435      180.00000000
20170512000000      30.31400000      269.09600000      0.11051218      0.00000000      0.52681083      0.00000000      2.27384674      180.00000000
20170611000000      30.31400000      269.09600000      0.10904030      0.00000000      0.28690793      0.00000000      2.56373057      180.00000000
20180616000000      30.31400000      269.09600000      0.70360052      0.00000000      0.36718388      180.00000000      0.83009482      0.00000000
20180710000000      30.31400000      269.09600000      0.83761357      0.00000000      0.78177043      180.00000000      0.43675995      0.00000000
20181031000000      30.31400000      269.09600000      0.04604381      180.00000000      0.51341131      180.00000000      2.07321295      180.00000000
20181116000000      30.31400000      269.09600000      0.07666650      0.00000000      0.41811807      180.00000000      1.83470293      180.00000000
20181216000000      30.31400000      269.09600000      0.18904354      0.00000000      0.07202218      0.00000000      3.57683857      180.00000000
20190116000000      30.31400000      269.09600000      0.02233876      0.00000000      0.71375949      0.00000000      5.22954826      180.00000000
20190214000000      30.31400000      269.09600000      0.09915434      0.00000000      1.02238703      0.00000000      5.66262444      180.00000000
20190316000000      30.31400000      269.09600000      0.07753690      0.00000000      1.24742915      0.00000000      6.30817424      180.00000000
20190416000000      30.31400000      269.09600000      0.13172840      0.00000000      1.06223728      0.00000000      4.43011314      180.00000000
20190516000000      30.31400000      269.09600000      0.01984031      0.00000000      1.23736552      0.00000000      5.39707015      180.00000000
20190616000000      30.31400000      269.09600000      0.07900709      180.00000000      0.80594401      0.00000000      4.83297148      180.00000000
20190716000000      30.31400000      269.09600000      0.15642759      0.00000000      0.19710643      0.00000000      4.15082527      180.00000000
20190816000000      30.31400000      269.09600000      0.37902897      0.00000000      0.34786890      180.00000000      1.11228649      180.00000000
20190916000000      30.31400000      269.09600000      0.28056777      0.00000000      0.69263500      180.00000000      0.13225449      180.00000000
20191016000000      30.31400000      269.09600000      0.25393956      0.00000000      0.58934938      180.00000000      1.37436521      180.00000000
20191116000000      30.31400000      269.09600000      0.31581003      0.00000000      0.10793381      180.00000000      2.43215011      180.00000000
20191216000000      30.31400000      269.09600000      0.45461115      0.00000000      0.31245271      0.00000000      2.35225844      180.00000000
20200116000000      30.31400000      269.09600000      0.31196243      0.00000000      0.79205583      0.00000000      4.09836865      180.00000000
20200215000000      30.31400000      269.09600000      0.35751952      0.00000000      1.35434543      0.00000000      5.53528817      180.00000000
20200316000000      30.31400000      269.09600000      0.22426143      0.00000000      1.48925154      0.00000000      5.51031245      180.00000000
20200416000000      30.31400000      269.09600000      0.32386222      0.00000000      1.52264154      0.00000000      5.05461343      180.00000000
20200516000000      30.31400000      269.09600000      0.41548095      0.00000000      1.17152149      0.00000000      4.13262183      180.00000000
20200616000000      30.31400000      269.09600000      0.50132307      0.00000000      0.47889026      0.00000000      4.03490952      180.00000000
20200716000000      30.31400000      269.09600000      0.60816191      0.00000000      0.08852856      180.00000000      2.18250930      180.00000000
20200816000000      30.31400000      269.09600000      0.71702577      0.00000000      0.45136491      180.00000000      1.41291139      180.00000000
20200916000000      30.31400000      269.09600000      0.66585618      0.00000000      0.38607367      180.00000000      2.04442268      180.00000000
20201016000000      30.31400000      269.09600000      0.50677729      0.00000000      0.32057863      180.00000000      2.12807660      180.00000000
20201116000000      30.31400000      269.09600000      0.62515408      0.00000000      0.16644995      180.00000000      2.61358622      180.00000000
20201216000000      30.31400000      269.09600000      0.73031904      0.00000000      0.15666373      180.00000000      1.64693672      180.00000000
20210116000000      30.31400000      269.09600000      0.67287456      0.00000000      0.31214572      0.00000000      2.89844045      180.00000000
20210215000000      30.31400000      269.09600000      0.80986852      0.00000000      0.30820639      0.00000000      2.86150606      180.00000000
20210316000000      30.31400000      269.09600000      0.80597919      0.00000000      0.84374324      0.00000000      4.70975478      180.00000000
20210416000000      30.31400000      269.09600000      0.81684138      0.00000000      0.69142798      0.00000000      4.63982200      180.00000000
20210516000000      30.31400000      269.09600000      0.53717042      0.00000000      0.57031927      0.00000000      4.32520651      180.00000000
20210616000000      30.31400000      269.09600000      0.54297668      0.00000000      0.22525411      0.00000000      4.12441121      180.00000000
20210716000000      30.31400000      269.09600000      0.59467661      0.00000000      0.22007771      180.00000000      3.43157226      180.00000000
20210816000000      30.31400000      269.09600000      0.63718843      0.00000000      0.68102991      180.00000000      2.59204276      180.00000000
20210916000000      30.31400000      269.09600000      0.78094892      0.00000000      0.75186492      180.00000000      2.21809871      180.00000000
20211016000000      30.31400000      269.09600000      0.62981220      0.00000000      0.92296455      180.00000000      2.51269876      180.00000000
20211116000000      30.31400000      269.09600000      0.56044217      0.00000000      0.75055378      180.00000000      1.66356959      180.00000000
20211216000000      30.31400000      269.09600000      0.66859500      0.00000000      0.62292084      180.00000000      1.58283959      180.00000000
20220116000000      30.31400000      269.09600000      0.66656158      0.00000000      0.11199862      180.00000000      2.21371357      180.00000000
20220215000000      30.31400000      269.09600000      0.74748293      0.00000000      0.02001306      180.00000000      2.57459588      180.00000000
20220316000000      30.31400000      269.09600000      0.76412646      0.00000000      0.34162461      0.00000000      3.42248248      180.00000000
20220416000000      30.31400000      269.09600000      0.83814186      0.00000000      0.39765246      0.00000000      3.29412248      180.00000000
20220516000000      30.31400000      269.09600000      0.82446963      0.00000000      0.22670027      0.00000000      2.34688456      180.00000000
20220616000000      30.31400000      269.09600000      0.87938714      0.00000000      0.30802201      180.00000000      0.89373464      180.00000000
20220716000000      30.31400000      269.09600000      1.02961466      0.00000000      1.04664048      180.00000000      0.04773180      0.00000000
20220816000000      30.31400000      269.09600000      0.83836446      0.00000000      1.39489557      180.00000000      1.51690095      0.00000000
20220916000000      30.31400000      269.09600000      0.72241171      0.00000000      1.40845691      180.00000000      0.40846284      180.00000000
20221016000000      30.31400000      269.09600000      0.96618156      0.00000000      1.91990383      180.00000000      1.73921515      0.00000000
20221116000000      30.31400000      269.09600000      0.83585564      0.00000000      1.55516227      180.00000000      1.10768838      0.00000000
20221216000000      30.31400000      269.09600000      0.75678543      0.00000000      1.02984610      180.00000000      0.71450470      180.00000000
