Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.51300000      269.53200000      0.20690390      180.00000000      0.73605589      0.00000000      5.30227208      180.00000000
20160214000000      30.51300000      269.53200000      0.15450014      180.00000000      0.72286924      0.00000000      4.07718481      180.00000000
20160316000000      30.51300000      269.53200000      0.28251405      180.00000000      0.97417378      0.00000000      4.91660123      180.00000000
20160520000000      30.51300000      269.53200000      0.02861059      180.00000000      0.44844259      0.00000000      3.21782461      180.00000000
20160616000000      30.51300000      269.53200000      0.15232966      180.00000000      0.05068290      180.00000000      1.88432981      180.00000000
20160715000000      30.51300000      269.53200000      0.15929142      0.00000000      0.70138307      180.00000000      0.25558790      0.00000000
20160821000000      30.51300000      269.53200000      0.13879102      0.00000000      0.93270866      180.00000000      0.25648780      180.00000000
20161127000000      30.51300000      269.53200000      0.11662043      180.00000000      1.07827216      180.00000000      0.44089126      0.00000000
20161224000000      30.51300000      269.53200000      0.04759623      180.00000000      0.67070392      180.00000000      0.70195715      180.00000000
20170121000000      30.51300000      269.53200000      0.04819378      180.00000000      0.39376073      180.00000000      1.26148266      180.00000000
20170331000000      30.51300000      269.53200000      0.04662151      0.00000000      0.06561847      0.00000000      1.85341703      180.00000000
20170424000000      30.51300000      269.53200000      0.02411681      180.00000000      0.32795639      0.00000000      2.09820489      180.00000000
20170512000000      30.51300000      269.53200000      0.06775648      0.00000000      0.54392770      0.00000000      2.35508706      180.00000000
20170611000000      30.51300000      269.53200000      0.07089531      0.00000000      0.28987644      0.00000000      2.60382500      180.00000000
20180616000000      30.51300000      269.53200000      0.68388654      0.00000000      0.31876152      180.00000000      0.68430383      0.00000000
20180710000000      30.51300000      269.53200000      0.81913148      0.00000000      0.74406443      180.00000000      0.21063719      0.00000000
20181031000000      30.51300000      269.53200000      0.06399622      180.00000000      0.56213844      180.00000000      1.99207782      180.00000000
20181116000000      30.51300000      269.53200000      0.06932604      0.00000000      0.43929467      180.00000000      1.83692266      180.00000000
20181216000000      30.51300000      269.53200000      0.16775919      0.00000000      0.05778875      0.00000000      3.66174609      180.00000000
20190116000000      30.51300000      269.53200000      0.01507598      180.00000000      0.70751223      0.00000000      5.31092808      180.00000000
20190214000000      30.51300000      269.53200000      0.05591972      0.00000000      1.03381164      0.00000000      5.80101204      180.00000000
20190316000000      30.51300000      269.53200000      0.02433515      0.00000000      1.26101911      0.00000000      6.43503955      180.00000000
