Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      29.93700000      269.88100000      0.23835817      180.00000000      0.74201206      0.00000000      4.63921312      180.00000000
20160214000000      29.93700000      269.88100000      0.19816388      180.00000000      0.74830670      0.00000000      3.57295817      180.00000000
20160316000000      29.93700000      269.88100000      0.28360719      180.00000000      0.95075065      0.00000000      4.13678196      180.00000000
20160520000000      29.93700000      269.88100000      0.02898757      180.00000000      0.46215919      0.00000000      2.75108225      180.00000000
20160616000000      29.93700000      269.88100000      0.10161122      180.00000000      0.04914734      180.00000000      1.68102788      180.00000000
20160715000000      29.93700000      269.88100000      0.16361609      0.00000000      0.66835189      180.00000000      0.04035103      0.00000000
20160821000000      29.93700000      269.88100000      0.12080536      0.00000000      0.80108436      180.00000000      0.49120668      180.00000000
20161127000000      29.93700000      269.88100000      0.11368698      180.00000000      0.90753078      180.00000000      0.06607238      0.00000000
20161224000000      29.93700000      269.88100000      0.06361482      180.00000000      0.54002217      180.00000000      0.89858717      180.00000000
20170121000000      29.93700000      269.88100000      0.03383996      180.00000000      0.34892951      180.00000000      1.27754356      180.00000000
20170331000000      29.93700000      269.88100000      0.06553776      0.00000000      0.07342554      0.00000000      1.66562109      180.00000000
20170424000000      29.93700000      269.88100000      0.01592961      0.00000000      0.25333453      0.00000000      1.83115811      180.00000000
20170512000000      29.93700000      269.88100000      0.09621419      0.00000000      0.41640806      0.00000000      2.02481928      180.00000000
20170611000000      29.93700000      269.88100000      0.08634122      0.00000000      0.21610802      0.00000000      2.21000735      180.00000000
20180616000000      29.93700000      269.88100000      0.68658613      0.00000000      0.44430717      180.00000000      0.56713314      0.00000000
20180710000000      29.93700000      269.88100000      0.73572301      0.00000000      0.71541866      180.00000000      0.04969523      180.00000000
20181031000000      29.93700000      269.88100000      0.04763892      180.00000000      0.48180618      180.00000000      1.97746023      180.00000000
20181116000000      29.93700000      269.88100000      0.07013568      0.00000000      0.38909363      180.00000000      1.82079291      180.00000000
20181216000000      29.93700000      269.88100000      0.11859135      0.00000000      0.13633784      0.00000000      3.32273004      180.00000000
20190116000000      29.93700000      269.88100000      0.04391936      180.00000000      0.71014071      0.00000000      4.60803916      180.00000000
20190214000000      29.93700000      269.88100000      0.01740911      0.00000000      0.99941974      0.00000000      4.98899300      180.00000000
20190316000000      29.93700000      269.88100000      0.02047413      180.00000000      1.21384706      0.00000000      5.46404025      180.00000000
20190416000000      29.93700000      269.88100000      0.07226247      0.00000000      0.98627911      0.00000000      3.83470172      180.00000000
20190516000000      29.93700000      269.88100000      0.00786764      180.00000000      1.10684834      0.00000000      4.54877561      180.00000000
20190616000000      29.93700000      269.88100000      0.10642576      180.00000000      0.65122152      0.00000000      4.12105582      180.00000000
20190716000000      29.93700000      269.88100000      0.05732085      0.00000000      0.15134329      0.00000000      3.76122868      180.00000000
20190816000000      29.93700000      269.88100000      0.30116772      0.00000000      0.37475228      180.00000000      1.23499642      180.00000000
20190916000000      29.93700000      269.88100000      0.23102359      0.00000000      0.67085356      180.00000000      0.36255606      180.00000000
20191016000000      29.93700000      269.88100000      0.14231660      0.00000000      0.53695894      180.00000000      1.43400875      180.00000000
20191116000000      29.93700000      269.88100000      0.18582768      0.00000000      0.09505892      180.00000000      2.37695856      180.00000000
20191216000000      29.93700000      269.88100000      0.35857333      0.00000000      0.27834456      0.00000000      2.32217430      180.00000000
20200116000000      29.93700000      269.88100000      0.21245611      0.00000000      0.73419533      0.00000000      3.70150634      180.00000000
20200215000000      29.93700000      269.88100000      0.23977018      0.00000000      1.27104112      0.00000000      4.89571893      180.00000000
20200316000000      29.93700000      269.88100000      0.14260048      0.00000000      1.36803542      0.00000000      4.68620839      180.00000000
20200416000000      29.93700000      269.88100000      0.24998068      0.00000000      1.37723440      0.00000000      4.30388049      180.00000000
20200516000000      29.93700000      269.88100000      0.34742347      0.00000000      1.04153571      0.00000000      3.53863195      180.00000000
20200616000000      29.93700000      269.88100000      0.38021518      0.00000000      0.43314501      0.00000000      3.71198853      180.00000000
20200716000000      29.93700000      269.88100000      0.49392396      0.00000000      0.10240008      180.00000000      2.23171456      180.00000000
20200816000000      29.93700000      269.88100000      0.58257842      0.00000000      0.41670862      180.00000000      1.60463377      180.00000000
20200916000000      29.93700000      269.88100000      0.53592077      0.00000000      0.30902707      180.00000000      2.08441623      180.00000000
20201016000000      29.93700000      269.88100000      0.39794332      0.00000000      0.27146001      180.00000000      2.11562304      180.00000000
20201116000000      29.93700000      269.88100000      0.48132110      0.00000000      0.11634901      180.00000000      2.59925982      180.00000000
20201216000000      29.93700000      269.88100000      0.62264054      0.00000000      0.17801416      180.00000000      1.76558471      180.00000000
20210116000000      29.93700000      269.88100000      0.58138920      0.00000000      0.25442494      0.00000000      2.72822332      180.00000000
20210215000000      29.93700000      269.88100000      0.70060236      0.00000000      0.26836084      0.00000000      2.70460158      180.00000000
20210316000000      29.93700000      269.88100000      0.64537010      0.00000000      0.80007519      0.00000000      4.23741428      180.00000000
20210416000000      29.93700000      269.88100000      0.67248970      0.00000000      0.65399833      0.00000000      4.19578196      180.00000000
20210516000000      29.93700000      269.88100000      0.49293294      0.00000000      0.45781555      0.00000000      3.65838558      180.00000000
20210616000000      29.93700000      269.88100000      0.46300023      0.00000000      0.14477655      0.00000000      3.61678231      180.00000000
20210716000000      29.93700000      269.88100000      0.51595872      0.00000000      0.23918344      180.00000000      3.16172739      180.00000000
20210816000000      29.93700000      269.88100000      0.53658475      0.00000000      0.62025696      180.00000000      2.55520446      180.00000000
20210916000000      29.93700000      269.88100000      0.65217027      0.00000000      0.64415260      180.00000000      2.29707363      180.00000000
20211016000000      29.93700000      269.88100000      0.50398752      0.00000000      0.77412128      180.00000000      2.57476484      180.00000000
20211116000000      29.93700000      269.88100000      0.46566687      0.00000000      0.66030534      180.00000000      1.73189074      180.00000000
20211216000000      29.93700000      269.88100000      0.54404156      0.00000000      0.53815361      180.00000000      1.66603982      180.00000000
20220116000000      29.93700000      269.88100000      0.55749982      0.00000000      0.06924404      180.00000000      2.08634986      180.00000000
20220215000000      29.93700000      269.88100000      0.60807469      0.00000000      0.07207230      0.00000000      2.55686473      180.00000000
20220316000000      29.93700000      269.88100000      0.60931124      0.00000000      0.34681383      0.00000000      3.08805586      180.00000000
20220416000000      29.93700000      269.88100000      0.73127507      0.00000000      0.37091583      0.00000000      2.88030920      180.00000000
20220516000000      29.93700000      269.88100000      0.72743560      0.00000000      0.15681416      0.00000000      2.20669283      180.00000000
20220616000000      29.93700000      269.88100000      0.78710338      0.00000000      0.41008126      180.00000000      0.90222567      180.00000000
20220716000000      29.93700000      269.88100000      0.90237941      0.00000000      0.97901981      180.00000000      0.39265580      180.00000000
20220816000000      29.93700000      269.88100000      0.81768357      0.00000000      1.35322516      180.00000000      0.96974357      0.00000000
20220916000000      29.93700000      269.88100000      0.63540235      0.00000000      1.30951640      180.00000000      0.59411048      180.00000000
20221016000000      29.93700000      269.88100000      0.82411488      0.00000000      1.73356092      180.00000000      0.96800838      0.00000000
20221116000000      29.93700000      269.88100000      0.75000490      0.00000000      1.46348129      180.00000000      0.60115466      0.00000000
20221216000000      29.93700000      269.88100000      0.65949432      0.00000000      0.92161027      180.00000000      0.96866576      180.00000000
