Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      29.97800000      267.89300000      0.00892603      180.00000000      0.79733073      0.00000000      4.91756790      180.00000000
20160214000000      29.97800000      267.89300000      0.03514531      180.00000000      0.75272111      0.00000000      3.63068472      180.00000000
20160316000000      29.97800000      267.89300000      0.03660089      180.00000000      1.06233016      0.00000000      4.85278318      180.00000000
20160520000000      29.97800000      267.89300000      0.13457800      0.00000000      0.56503974      0.00000000      3.11245646      180.00000000
20160616000000      29.97800000      267.89300000      0.10103710      180.00000000      0.09143482      0.00000000      2.04369586      180.00000000
20160715000000      29.97800000      267.89300000      0.15412581      0.00000000      0.66696557      180.00000000      0.39975121      0.00000000
20160821000000      29.97800000      267.89300000      0.11751238      0.00000000      0.82319406      180.00000000      0.26755740      180.00000000
20161127000000      29.97800000      267.89300000      0.14371994      180.00000000      0.88723946      180.00000000      0.15838263      0.00000000
20161224000000      29.97800000      267.89300000      0.06809585      180.00000000      0.55511547      180.00000000      0.72786784      180.00000000
20170121000000      29.97800000      267.89300000      0.02339297      180.00000000      0.30113121      180.00000000      1.34626859      180.00000000
20170331000000      29.97800000      267.89300000      0.12807017      0.00000000      0.14069581      0.00000000      2.01727146      180.00000000
20170424000000      29.97800000      267.89300000      0.08475366      0.00000000      0.35850107      0.00000000      2.03522852      180.00000000
20170512000000      29.97800000      267.89300000      0.21252922      0.00000000      0.49732085      0.00000000      2.09326154      180.00000000
20170611000000      29.97800000      267.89300000      0.25328038      0.00000000      0.30721493      0.00000000      2.40400453      180.00000000
20180616000000      29.97800000      267.89300000      0.70294360      0.00000000      0.50541858      180.00000000      1.09933212      0.00000000
20180710000000      29.97800000      267.89300000      0.75642445      0.00000000      0.90355507      180.00000000      0.95772955      0.00000000
20181031000000      29.97800000      267.89300000      0.05329722      180.00000000      0.42144351      180.00000000      2.17749593      180.00000000
20181116000000      29.97800000      267.89300000      0.02273972      0.00000000      0.38416962      180.00000000      1.82790433      180.00000000
20181216000000      29.97800000      267.89300000      0.20616680      0.00000000      0.12142845      0.00000000      3.31221931      180.00000000
20190116000000      29.97800000      267.89300000      0.14651650      0.00000000      0.76958338      0.00000000      4.97211878      180.00000000
20190214000000      29.97800000      267.89300000      0.24591336      0.00000000      1.04166604      0.00000000      5.28815322      180.00000000
20190316000000      29.97800000      267.89300000      0.30447610      0.00000000      1.27528591      0.00000000      5.90485708      180.00000000
20190416000000      29.97800000      267.89300000      0.26316885      0.00000000      1.04992317      0.00000000      4.06723004      180.00000000
20190516000000      29.97800000      267.89300000      0.25217163      0.00000000      1.29961113      0.00000000      5.16753618      180.00000000
20190616000000      29.97800000      267.89300000      0.14056341      0.00000000      0.88179967      0.00000000      4.64063818      180.00000000
20190716000000      29.97800000      267.89300000      0.31378455      0.00000000      0.25189034      0.00000000      3.71204757      180.00000000
20190816000000      29.97800000      267.89300000      0.40696515      0.00000000      0.37956444      180.00000000      0.68524904      180.00000000
20190916000000      29.97800000      267.89300000      0.28390019      0.00000000      0.67989067      180.00000000      0.07147652      0.00000000
20191016000000      29.97800000      267.89300000      0.38221799      0.00000000      0.51094931      180.00000000      1.08205192      180.00000000
20191116000000      29.97800000      267.89300000      0.44181294      0.00000000      0.10455667      180.00000000      1.98911664      180.00000000
20191216000000      29.97800000      267.89300000      0.52173329      0.00000000      0.21351872      0.00000000      1.89828997      180.00000000
