Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      31.25000000      267.56600000      0.01967563      0.00000000      0.75780933      0.00000000      6.45766378      180.00000000
20160214000000      31.25000000      267.56600000      0.01640831      180.00000000      0.69503716      0.00000000      4.72525366      180.00000000
20160316000000      31.25000000      267.56600000      0.01261832      0.00000000      0.98892962      0.00000000      6.65211625      180.00000000
20160520000000      31.25000000      267.56600000      0.11840786      0.00000000      0.45118803      0.00000000      4.12673484      180.00000000
20160616000000      31.25000000      267.56600000      0.23066678      180.00000000      0.09742765      0.00000000      2.74961497      180.00000000
20160715000000      31.25000000      267.56600000      0.09748564      0.00000000      0.63382954      180.00000000      0.80442805      0.00000000
20160821000000      31.25000000      267.56600000      0.06767961      0.00000000      1.08225982      180.00000000      0.51955526      0.00000000
20161127000000      31.25000000      267.56600000      0.25655376      180.00000000      1.23400759      180.00000000      1.33622811      0.00000000
20161224000000      31.25000000      267.56600000      0.13184205      180.00000000      0.81166147      180.00000000      0.01711332      180.00000000
20170121000000      31.25000000      267.56600000      0.08573198      180.00000000      0.39181410      180.00000000      1.28880622      180.00000000
20170331000000      31.25000000      267.56600000      0.11655339      0.00000000      0.03150259      0.00000000      2.38013230      180.00000000
20170424000000      31.25000000      267.56600000      0.03825200      0.00000000      0.55041597      0.00000000      2.94159585      180.00000000
20170512000000      31.25000000      267.56600000      0.22121740      0.00000000      0.82056776      0.00000000      3.22476702      180.00000000
20170611000000      31.25000000      267.56600000      0.27870470      0.00000000      0.43371683      0.00000000      3.47804112      180.00000000
20180616000000      31.25000000      267.56600000      0.78575806      0.00000000      0.10819439      180.00000000      0.95317977      0.00000000
20180710000000      31.25000000      267.56600000      0.86480597      0.00000000      0.87487355      180.00000000      1.71039245      0.00000000
20181031000000      31.25000000      267.56600000      0.14873451      180.00000000      0.57226572      180.00000000      2.22873312      180.00000000
20181116000000      31.25000000      267.56600000      0.04875985      180.00000000      0.44322209      180.00000000      1.96775378      180.00000000
20181216000000      31.25000000      267.56600000      0.20567193      0.00000000      0.08705210      180.00000000      3.92538205      180.00000000
20190116000000      31.25000000      267.56600000      0.18110481      0.00000000      0.68106191      0.00000000      6.56855909      180.00000000
20190214000000      31.25000000      267.56600000      0.33097485      0.00000000      1.03350340      0.00000000      7.17786743      180.00000000
20190316000000      31.25000000      267.56600000      0.44174472      0.00000000      1.23707303      0.00000000      8.06061128      180.00000000
20190416000000      31.25000000      267.56600000      0.32588527      0.00000000      1.23090239      0.00000000      6.06602345      180.00000000
20190516000000      31.25000000      267.56600000      0.27302622      0.00000000      1.50704043      0.00000000      7.67998027      180.00000000
20190616000000      31.25000000      267.56600000      0.10454814      0.00000000      1.18315645      0.00000000      6.92558578      180.00000000
20190716000000      31.25000000      267.56600000      0.33548025      0.00000000      0.32751726      0.00000000      5.04844710      180.00000000
20190816000000      31.25000000      267.56600000      0.42780052      0.00000000      0.18402733      180.00000000      1.01280875      180.00000000
20190916000000      31.25000000      267.56600000      0.27162234      0.00000000      0.66955021      180.00000000      0.46605788      0.00000000
20191016000000      31.25000000      267.56600000      0.41643752      0.00000000      0.68226263      180.00000000      0.68851948      180.00000000
20191116000000      31.25000000      267.56600000      0.52646193      0.00000000      0.08756451      180.00000000      2.31542491      180.00000000
20191216000000      31.25000000      267.56600000      0.63373581      0.00000000      0.46481557      0.00000000      2.59426383      180.00000000
20200116000000      31.25000000      267.56600000      0.59406225      0.00000000      0.95828098      0.00000000      5.10654424      180.00000000
20200215000000      31.25000000      267.56600000      0.74362739      0.00000000      1.56165247      0.00000000      7.20561917      180.00000000
20200316000000      31.25000000      267.56600000      0.65835134      0.00000000      1.75565251      0.00000000      7.64494896      180.00000000
20200416000000      31.25000000      267.56600000      0.67473722      0.00000000      1.87934042      0.00000000      7.25713245      180.00000000
20200516000000      31.25000000      267.56600000      0.75899146      0.00000000      1.48409388      0.00000000      5.86262993      180.00000000
20200616000000      31.25000000      267.56600000      0.77021776      0.00000000      0.61277318      0.00000000      4.78406907      180.00000000
20200716000000      31.25000000      267.56600000      0.76641325      0.00000000      0.01129632      0.00000000      2.12006520      180.00000000
20200816000000      31.25000000      267.56600000      0.89561440      0.00000000      0.45809498      180.00000000      0.76341804      180.00000000
20200916000000      31.25000000      267.56600000      0.87314023      0.00000000      0.55481388      180.00000000      1.48402688      180.00000000
20201016000000      31.25000000      267.56600000      0.71246393      0.00000000      0.40734104      180.00000000      1.83145754      180.00000000
20201116000000      31.25000000      267.56600000      0.89503787      0.00000000      0.26034234      180.00000000      2.24188421      180.00000000
20201216000000      31.25000000      267.56600000      0.89636397      0.00000000      0.00274017      180.00000000      1.54073501      180.00000000
20210116000000      31.25000000      267.56600000      0.88602133      0.00000000      0.51465418      0.00000000      3.52642085      180.00000000
20210215000000      31.25000000      267.56600000      1.07624978      0.00000000      0.46469250      0.00000000      3.33625977      180.00000000
20210316000000      31.25000000      267.56600000      1.26455889      0.00000000      0.94285368      0.00000000      5.62773171      180.00000000
20210416000000      31.25000000      267.56600000      1.19310108      0.00000000      0.78071275      0.00000000      5.50394973      180.00000000
20210516000000      31.25000000      267.56600000      0.88430927      0.00000000      0.78317067      0.00000000      5.93643631      180.00000000
20210616000000      31.25000000      267.56600000      0.84567912      0.00000000      0.38652897      0.00000000      5.31026697      180.00000000
20210716000000      31.25000000      267.56600000      0.79258358      0.00000000      0.17405616      180.00000000      3.95355993      180.00000000
20210816000000      31.25000000      267.56600000      0.75742825      0.00000000      0.80959260      180.00000000      2.30040811      180.00000000
20210916000000      31.25000000      267.56600000      0.99641613      0.00000000      1.01810976      180.00000000      1.42641423      180.00000000
20211016000000      31.25000000      267.56600000      0.80240505      0.00000000      1.30852275      180.00000000      1.52758956      180.00000000
20211116000000      31.25000000      267.56600000      0.73758826      0.00000000      0.98072617      180.00000000      0.90311809      180.00000000
20211216000000      31.25000000      267.56600000      0.89116102      0.00000000      0.83712012      180.00000000      0.77933199      180.00000000
20220116000000      31.25000000      267.56600000      0.96254680      0.00000000      0.24984971      180.00000000      2.04355458      180.00000000
20220215000000      31.25000000      267.56600000      0.96503832      0.00000000      0.25441369      180.00000000      2.03905746      180.00000000
20220316000000      31.25000000      267.56600000      1.17264558      0.00000000      0.28490684      0.00000000      3.75793101      180.00000000
