Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.46900000      268.81000000      0.12731289      180.00000000      0.74984049      0.00000000      5.42423697      180.00000000
20160214000000      30.46900000      268.81000000      0.09514382      180.00000000      0.72056325      0.00000000      4.06209393      180.00000000
20160316000000      30.46900000      268.81000000      0.21577262      180.00000000      0.99585774      0.00000000      5.30657071      180.00000000
20160520000000      30.46900000      268.81000000      0.02158677      0.00000000      0.47786403      0.00000000      3.41253585      180.00000000
20160616000000      30.46900000      268.81000000      0.14622605      180.00000000      0.01151627      0.00000000      2.04814796      180.00000000
20160715000000      30.46900000      268.81000000      0.17957773      0.00000000      0.67520089      180.00000000      0.45673461      0.00000000
20160821000000      30.46900000      268.81000000      0.14477869      0.00000000      0.92158067      180.00000000      0.14567675      180.00000000
20161127000000      30.46900000      268.81000000      0.11871449      180.00000000      1.04398184      180.00000000      0.48046138      0.00000000
20161224000000      30.46900000      268.81000000      0.03927415      180.00000000      0.65735367      180.00000000      0.60164760      180.00000000
20170121000000      30.46900000      268.81000000      0.03684614      180.00000000      0.36609639      180.00000000      1.28877308      180.00000000
20170331000000      30.46900000      268.81000000      0.05496775      0.00000000      0.08149609      0.00000000      2.07137215      180.00000000
20170424000000      30.46900000      268.81000000      0.01027168      0.00000000      0.37318742      0.00000000      2.19400793      180.00000000
20170512000000      30.46900000      268.81000000      0.12364541      0.00000000      0.57774721      0.00000000      2.38409831      180.00000000
20170611000000      30.46900000      268.81000000      0.13030387      0.00000000      0.31836250      0.00000000      2.72971138      180.00000000
20180616000000      30.46900000      268.81000000      0.71189533      0.00000000      0.32583610      180.00000000      0.94828701      0.00000000
20180710000000      30.46900000      268.81000000      0.85133987      0.00000000      0.80120576      180.00000000      0.75385634      0.00000000
20181031000000      30.46900000      268.81000000      0.05669224      180.00000000      0.52169892      180.00000000      2.06557649      180.00000000
20181116000000      30.46900000      268.81000000      0.06438149      0.00000000      0.42281421      180.00000000      1.78945727      180.00000000
20181216000000      30.46900000      268.81000000      0.19987915      0.00000000      0.04870110      0.00000000      3.61326290      180.00000000
20190116000000      30.46900000      268.81000000      0.04791068      0.00000000      0.71556635      0.00000000      5.46657986      180.00000000
20190214000000      30.46900000      268.81000000      0.13354066      0.00000000      1.03201182      0.00000000      5.92495209      180.00000000
20190316000000      30.46900000      268.81000000      0.12746604      0.00000000      1.25775580      0.00000000      6.66368901      180.00000000
20190416000000      30.46900000      268.81000000      0.15851355      0.00000000      1.09617891      0.00000000      4.67267510      180.00000000
20190516000000      30.46900000      268.81000000      0.04851754      0.00000000      1.29126210      0.00000000      5.79280142      180.00000000
20190616000000      30.46900000      268.81000000      0.05898813      180.00000000      0.87411085      0.00000000      5.14479347      180.00000000
20190716000000      30.46900000      268.81000000      0.18418925      0.00000000      0.22105898      0.00000000      4.24464176      180.00000000
20190816000000      30.46900000      268.81000000      0.38909309      0.00000000      0.32603586      180.00000000      0.96476658      180.00000000
20190916000000      30.46900000      268.81000000      0.28269249      0.00000000      0.69302641      180.00000000      0.05522791      0.00000000
20191016000000      30.46900000      268.81000000      0.28093579      0.00000000      0.60496715      180.00000000      1.23551787      180.00000000
20191116000000      30.46900000      268.81000000      0.35043065      0.00000000      0.10600315      180.00000000      2.35015052      180.00000000
20191216000000      30.46900000      268.81000000      0.48312421      0.00000000      0.33537958      0.00000000      2.30026733      180.00000000
20200116000000      30.46900000      268.81000000      0.35128445      0.00000000      0.82124087      0.00000000      4.22657432      180.00000000
20200215000000      30.46900000      268.81000000      0.41066878      0.00000000      1.39195889      0.00000000      5.78895933      180.00000000
20200316000000      30.46900000      268.81000000      0.27776879      0.00000000      1.54078584      0.00000000      5.88739892      180.00000000
20200416000000      30.46900000      268.81000000      0.36719175      0.00000000      1.58610020      0.00000000      5.38639871      180.00000000
20200516000000      30.46900000      268.81000000      0.45728404      0.00000000      1.22911991      0.00000000      4.39961138      180.00000000
20200616000000      30.46900000      268.81000000      0.54240765      0.00000000      0.50369396      0.00000000      4.10613014      180.00000000
20200716000000      30.46900000      268.81000000      0.63625328      0.00000000      0.07510541      180.00000000      2.07007830      180.00000000
20200816000000      30.46900000      268.81000000      0.74862953      0.00000000      0.45685631      180.00000000      1.21358183      180.00000000
20200916000000      30.46900000      268.81000000      0.70118731      0.00000000      0.41370803      180.00000000      1.92925785      180.00000000
20201016000000      30.46900000      268.81000000      0.53946620      0.00000000      0.33520715      180.00000000      2.04815239      180.00000000
20201116000000      30.46900000      268.81000000      0.67013319      0.00000000      0.18217676      180.00000000      2.52447213      180.00000000
20201216000000      30.46900000      268.81000000      0.75911127      0.00000000      0.13600731      180.00000000      1.51108776      180.00000000
20210116000000      30.46900000      268.81000000      0.70535881      0.00000000      0.34472606      0.00000000      2.91908239      180.00000000
20210215000000      30.46900000      268.81000000      0.84979303      0.00000000      0.33364066      0.00000000      2.86644931      180.00000000
20210316000000      30.46900000      268.81000000      0.87187447      0.00000000      0.86542412      0.00000000      4.84968752      180.00000000
20210416000000      30.46900000      268.81000000      0.87270913      0.00000000      0.71105341      0.00000000      4.76705515      180.00000000
20210516000000      30.46900000      268.81000000      0.57795005      0.00000000      0.61752853      0.00000000      4.64083475      180.00000000
20210616000000      30.46900000      268.81000000      0.58296035      0.00000000      0.26065528      0.00000000      4.32610037      180.00000000
20210716000000      30.46900000      268.81000000      0.62332604      0.00000000      0.20829231      180.00000000      3.50316916      180.00000000
20210816000000      30.46900000      268.81000000      0.65989898      0.00000000      0.70052984      180.00000000      2.51253381      180.00000000
20210916000000      30.46900000      268.81000000      0.81778113      0.00000000      0.79317373      180.00000000      2.09041044      180.00000000
20211016000000      30.46900000      268.81000000      0.66389856      0.00000000      0.98298919      180.00000000      2.38211526      180.00000000
20211116000000      30.46900000      268.81000000      0.59049660      0.00000000      0.78529642      180.00000000      1.55394569      180.00000000
20211216000000      30.46900000      268.81000000      0.70661903      0.00000000      0.65511991      180.00000000      1.44963814      180.00000000
20220116000000      30.46900000      268.81000000      0.71066334      0.00000000      0.12871331      180.00000000      2.21442997      180.00000000
20220215000000      30.46900000      268.81000000      0.78852537      0.00000000      0.05580865      180.00000000      2.47824128      180.00000000
20220316000000      30.46900000      268.81000000      0.82460406      0.00000000      0.34081624      0.00000000      3.49641109      180.00000000
20220416000000      30.46900000      268.81000000      0.89354015      0.00000000      0.40880063      0.00000000      3.45573013      180.00000000
20220516000000      30.46900000      268.81000000      0.86190755      0.00000000      0.26166914      0.00000000      2.35787936      180.00000000
20220616000000      30.46900000      268.81000000      0.92685353      0.00000000      0.25938978      180.00000000      0.87075766      180.00000000
20220716000000      30.46900000      268.81000000      1.06013660      0.00000000      1.06798026      180.00000000      0.34927257      0.00000000
20220816000000      30.46900000      268.81000000      0.83339123      0.00000000      1.40331992      180.00000000      1.81541346      0.00000000
20220916000000      30.46900000      268.81000000      0.75552677      0.00000000      1.44780003      180.00000000      0.26159418      180.00000000
20221016000000      30.46900000      268.81000000      0.98331514      0.00000000      1.98633923      180.00000000      2.24709745      0.00000000
20221116000000      30.46900000      268.81000000      0.85164963      0.00000000      1.58332769      180.00000000      1.43215976      0.00000000
20221216000000      30.46900000      268.81000000      0.77082768      0.00000000      1.06537395      180.00000000      0.47879054      180.00000000
