Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      29.33700000      270.59400000      0.23896726      180.00000000      0.75201149      0.00000000      3.75010328      180.00000000
20160214000000      29.33700000      270.59400000      0.21352843      180.00000000      0.77996233      0.00000000      2.85883133      180.00000000
20160316000000      29.33700000      270.59400000      0.25494183      180.00000000      0.91905421      0.00000000      3.18915104      180.00000000
20160520000000      29.33700000      270.59400000      0.00032020      180.00000000      0.46480439      0.00000000      2.10867162      180.00000000
20160616000000      29.33700000      270.59400000      0.04095790      180.00000000      0.04372109      180.00000000      1.40690241      180.00000000
20160715000000      29.33700000      270.59400000      0.16440776      0.00000000      0.61134791      180.00000000      0.13985961      180.00000000
20160821000000      29.33700000      270.59400000      0.12239387      0.00000000      0.66661509      180.00000000      0.54131193      180.00000000
20161127000000      29.33700000      270.59400000      0.09297407      180.00000000      0.74515650      180.00000000      0.06384978      180.00000000
20161224000000      29.33700000      270.59400000      0.06219069      180.00000000      0.40940659      180.00000000      0.88264028      180.00000000
20170121000000      29.33700000      270.59400000      0.01079247      180.00000000      0.29732098      180.00000000      1.19359600      180.00000000
20170331000000      29.33700000      270.59400000      0.09442768      0.00000000      0.08032068      0.00000000      1.42856181      180.00000000
20170424000000      29.33700000      270.59400000      0.04931136      0.00000000      0.19849020      0.00000000      1.60060107      180.00000000
20170512000000      29.33700000      270.59400000      0.10908412      0.00000000      0.32057797      0.00000000      1.79987324      180.00000000
20170611000000      29.33700000      270.59400000      0.10369936      0.00000000      0.15475840      0.00000000      1.82660984      180.00000000
20180616000000      29.33700000      270.59400000      0.65418233      0.00000000      0.50474036      180.00000000      0.17123373      0.00000000
20180710000000      29.33700000      270.59400000      0.65406412      0.00000000      0.64676070      180.00000000      0.31776314      180.00000000
20181031000000      29.33700000      270.59400000      0.01538189      180.00000000      0.39507654      180.00000000      1.80084084      180.00000000
20181116000000      29.33700000      270.59400000      0.08161803      0.00000000      0.31822896      180.00000000      1.71826268      180.00000000
20181216000000      29.33700000      270.59400000      0.10706848      0.00000000      0.21384942      0.00000000      2.74464790      180.00000000
20190116000000      29.33700000      270.59400000      0.03557003      180.00000000      0.70994896      0.00000000      3.69654722      180.00000000
20190214000000      29.33700000      270.59400000      0.01566236      0.00000000      0.96945715      0.00000000      4.00804334      180.00000000
20190316000000      29.33700000      270.59400000      0.02286616      180.00000000      1.16122891      0.00000000      4.29580746      180.00000000
20190416000000      29.33700000      270.59400000      0.07668795      0.00000000      0.90648341      0.00000000      3.03904690      180.00000000
20190516000000      29.33700000      270.59400000      0.04538611      0.00000000      0.99195953      0.00000000      3.58268878      180.00000000
20190616000000      29.33700000      270.59400000      0.04374210      180.00000000      0.53343844      0.00000000      3.31892953      180.00000000
20190716000000      29.33700000      270.59400000      0.06932082      0.00000000      0.13766032      0.00000000      3.05192739      180.00000000
20190816000000      29.33700000      270.59400000      0.28656860      0.00000000      0.35364539      180.00000000      1.17109077      180.00000000
20190916000000      29.33700000      270.59400000      0.22721441      0.00000000      0.58919214      180.00000000      0.47470611      180.00000000
20191016000000      29.33700000      270.59400000      0.13283415      0.00000000      0.42402456      180.00000000      1.20499333      180.00000000
20191116000000      29.33700000      270.59400000      0.15266679      0.00000000      0.04409834      180.00000000      2.01318421      180.00000000
20191216000000      29.33700000      270.59400000      0.30654535      0.00000000      0.25647813      0.00000000      2.12813348      180.00000000
20200116000000      29.33700000      270.59400000      0.18766274      0.00000000      0.68559724      0.00000000      3.08964236      180.00000000
20200215000000      29.33700000      270.59400000      0.20571274      0.00000000      1.17408789      0.00000000      3.98911763      180.00000000
20200316000000      29.33700000      270.59400000      0.14493203      0.00000000      1.24256334      0.00000000      3.71046359      180.00000000
20200416000000      29.33700000      270.59400000      0.25522701      0.00000000      1.23231216      0.00000000      3.40738440      180.00000000
20200516000000      29.33700000      270.59400000      0.34621922      0.00000000      0.91452575      0.00000000      2.85272064      180.00000000
20200616000000      29.33700000      270.59400000      0.35208732      0.00000000      0.39509109      0.00000000      3.08382938      180.00000000
20200716000000      29.33700000      270.59400000      0.44230962      0.00000000      0.10377488      180.00000000      2.02995878      180.00000000
20200816000000      29.33700000      270.59400000      0.52254035      0.00000000      0.35455995      180.00000000      1.49970643      180.00000000
20200916000000      29.33700000      270.59400000      0.48237612      0.00000000      0.21031403      180.00000000      1.80944404      180.00000000
20201016000000      29.33700000      270.59400000      0.36194067      0.00000000      0.18671517      180.00000000      1.85505504      180.00000000
20201116000000      29.33700000      270.59400000      0.41659017      0.00000000      0.04887345      180.00000000      2.27106728      180.00000000
20201216000000      29.33700000      270.59400000      0.56047945      0.00000000      0.17686636      180.00000000      1.71309085      180.00000000
20210116000000      29.33700000      270.59400000      0.54560160      0.00000000      0.21279278      0.00000000      2.39975101      180.00000000
20210215000000      29.33700000      270.59400000      0.65392657      0.00000000      0.23950389      0.00000000      2.32855482      180.00000000
20210316000000      29.33700000      270.59400000      0.59472026      0.00000000      0.74760805      0.00000000      3.39479263      180.00000000
20210416000000      29.33700000      270.59400000      0.63443620      0.00000000      0.61070319      0.00000000      3.37614080      180.00000000
20210516000000      29.33700000      270.59400000      0.52884497      0.00000000      0.36290147      0.00000000      2.92257938      180.00000000
20210616000000      29.33700000      270.59400000      0.47527236      0.00000000      0.07856069      0.00000000      2.92792644      180.00000000
20210716000000      29.33700000      270.59400000      0.51521316      0.00000000      0.23394652      180.00000000      2.68258499      180.00000000
20210816000000      29.33700000      270.59400000      0.51838639      0.00000000      0.52495060      180.00000000      2.20287870      180.00000000
20210916000000      29.33700000      270.59400000      0.59291974      0.00000000      0.51974887      180.00000000      2.04955340      180.00000000
20211016000000      29.33700000      270.59400000      0.45295795      0.00000000      0.60363499      180.00000000      2.25456620      180.00000000
20211116000000      29.33700000      270.59400000      0.43577617      0.00000000      0.53389291      180.00000000      1.55339963      180.00000000
20211216000000      29.33700000      270.59400000      0.49021790      0.00000000      0.43553499      180.00000000      1.44879113      180.00000000
20220116000000      29.33700000      270.59400000      0.51157021      0.00000000      0.02115571      180.00000000      1.72381142      180.00000000
20220215000000      29.33700000      270.59400000      0.53487554      0.00000000      0.15681998      0.00000000      2.14357567      180.00000000
20220316000000      29.33700000      270.59400000      0.55553234      0.00000000      0.34071798      0.00000000      2.39397075      180.00000000
20220416000000      29.33700000      270.59400000      0.70344483      0.00000000      0.33953001      0.00000000      2.25578875      180.00000000
20220516000000      29.33700000      270.59400000      0.69959915      0.00000000      0.10259217      0.00000000      1.89888777      180.00000000
20220616000000      29.33700000      270.59400000      0.75169503      0.00000000      0.49107083      180.00000000      0.90456940      180.00000000
20220716000000      29.33700000      270.59400000      0.82322623      0.00000000      0.89452005      180.00000000      0.59346899      180.00000000
20220816000000      29.33700000      270.59400000      0.78869559      0.00000000      1.26158586      180.00000000      0.39249598      0.00000000
20220916000000      29.33700000      270.59400000      0.60988357      0.00000000      1.16329700      180.00000000      0.62890584      180.00000000
20221016000000      29.33700000      270.59400000      0.72876298      0.00000000      1.50919928      180.00000000      0.53135202      0.00000000
20221116000000      29.33700000      270.59400000      0.70061029      0.00000000      1.32008454      180.00000000      0.23435183      0.00000000
20221216000000      29.33700000      270.59400000      0.62284696      0.00000000      0.76697817      180.00000000      0.92201097      180.00000000
