Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.28700000      268.76300000      0.11418113      180.00000000      0.75228622      0.00000000      5.25195799      180.00000000
20160214000000      30.28700000      268.76300000      0.09005150      180.00000000      0.72595400      0.00000000      3.92685102      180.00000000
20160316000000      30.28700000      268.76300000      0.19697979      180.00000000      0.99803649      0.00000000      5.12173985      180.00000000
20160520000000      30.28700000      268.76300000      0.03685264      0.00000000      0.48884320      0.00000000      3.30218708      180.00000000
20160616000000      30.28700000      268.76300000      0.12939339      180.00000000      0.01493767      0.00000000      2.00204867      180.00000000
20160715000000      30.28700000      268.76300000      0.18019118      0.00000000      0.67339955      180.00000000      0.41514758      0.00000000
20160821000000      30.28700000      268.76300000      0.14318821      0.00000000      0.88646934      180.00000000      0.22329958      180.00000000
20161127000000      30.28700000      268.76300000      0.11529075      180.00000000      0.99412872      180.00000000      0.34487643      0.00000000
20161224000000      30.28700000      268.76300000      0.04019408      180.00000000      0.62190119      180.00000000      0.67291867      180.00000000
20170121000000      30.28700000      268.76300000      0.03040879      180.00000000      0.35314048      180.00000000      1.30307186      180.00000000
20170331000000      30.28700000      268.76300000      0.06424000      0.00000000      0.08829310      0.00000000      2.03960017      180.00000000
20170424000000      30.28700000      268.76300000      0.02492688      0.00000000      0.34971506      0.00000000      2.10835247      180.00000000
20170512000000      30.28700000      268.76300000      0.13602056      0.00000000      0.53513948      0.00000000      2.26281267      180.00000000
20170611000000      30.28700000      268.76300000      0.14455862      0.00000000      0.29760263      0.00000000      2.61319003      180.00000000
20180616000000      30.28700000      268.76300000      0.70533801      0.00000000      0.38191763      180.00000000      0.97741320      0.00000000
20180710000000      30.28700000      268.76300000      0.82853813      0.00000000      0.81314459      180.00000000      0.73130059      0.00000000
20181031000000      30.28700000      268.76300000      0.04841954      180.00000000      0.49949875      180.00000000      2.08358545      180.00000000
20181116000000      30.28700000      268.76300000      0.06474821      0.00000000      0.41545050      180.00000000      1.78548453      180.00000000
20181216000000      30.28700000      268.76300000      0.20006705      0.00000000      0.06920030      0.00000000      3.52946117      180.00000000
20190116000000      30.28700000      268.76300000      0.05908137      0.00000000      0.71859733      0.00000000      5.28746595      180.00000000
20190214000000      30.28700000      268.76300000      0.14329236      0.00000000      1.02242156      0.00000000      5.70299880      180.00000000
20190316000000      30.28700000      268.76300000      0.14163502      0.00000000      1.24826389      0.00000000      6.40671792      180.00000000
20190416000000      30.28700000      268.76300000      0.16941354      0.00000000      1.06464910      0.00000000      4.44468614      180.00000000
20190516000000      30.28700000      268.76300000      0.07746932      0.00000000      1.26117990      0.00000000      5.53293919      180.00000000
20190616000000      30.28700000      268.76300000      0.02481417      180.00000000      0.83930772      0.00000000      4.92181821      180.00000000
20190716000000      30.28700000      268.76300000      0.20270455      0.00000000      0.21397782      0.00000000      4.08443820      180.00000000
20190816000000      30.28700000      268.76300000      0.39304892      0.00000000      0.34570749      180.00000000      0.90840089      180.00000000
20190916000000      30.28700000      268.76300000      0.28502634      0.00000000      0.68755627      180.00000000      0.02303639      0.00000000
20191016000000      30.28700000      268.76300000      0.29298904      0.00000000      0.57558960      180.00000000      1.25426031      180.00000000
20191116000000      30.28700000      268.76300000      0.35712242      0.00000000      0.10606685      180.00000000      2.28565370      180.00000000
20191216000000      30.28700000      268.76300000      0.47985609      0.00000000      0.29798316      0.00000000      2.19417114      180.00000000
20200116000000      30.28700000      268.76300000      0.36091945      0.00000000      0.79005370      0.00000000      4.04627290      180.00000000
20200215000000      30.28700000      268.76300000      0.42051864      0.00000000      1.34699995      0.00000000      5.51584940      180.00000000
20200316000000      30.28700000      268.76300000      0.29900689      0.00000000      1.49578579      0.00000000      5.60059548      180.00000000
20200416000000      30.28700000      268.76300000      0.38686763      0.00000000      1.52931886      0.00000000      5.09140645      180.00000000
20200516000000      30.28700000      268.76300000      0.47316743      0.00000000      1.17587956      0.00000000      4.15687366      180.00000000
20200616000000      30.28700000      268.76300000      0.55058401      0.00000000      0.47890480      0.00000000      3.92668223      180.00000000
20200716000000      30.28700000      268.76300000      0.63141546      0.00000000      0.10089513      180.00000000      1.97455899      180.00000000
20200816000000      30.28700000      268.76300000      0.74331583      0.00000000      0.46331797      180.00000000      1.17284086      180.00000000
20200916000000      30.28700000      268.76300000      0.69674994      0.00000000      0.39795627      180.00000000      1.89670856      180.00000000
20201016000000      30.28700000      268.76300000      0.54026270      0.00000000      0.32511408      180.00000000      2.01359644      180.00000000
20201116000000      30.28700000      268.76300000      0.66724273      0.00000000      0.17915305      180.00000000      2.46448001      180.00000000
20201216000000      30.28700000      268.76300000      0.75478253      0.00000000      0.16996851      180.00000000      1.43536776      180.00000000
20210116000000      30.28700000      268.76300000      0.70983959      0.00000000      0.30770679      0.00000000      2.78072642      180.00000000
20210215000000      30.28700000      268.76300000      0.85237013      0.00000000      0.29931387      0.00000000      2.71353001      180.00000000
20210316000000      30.28700000      268.76300000      0.88051506      0.00000000      0.83629776      0.00000000      4.61564742      180.00000000
20210416000000      30.28700000      268.76300000      0.88233127      0.00000000      0.68829537      0.00000000      4.54731601      180.00000000
20210516000000      30.28700000      268.76300000      0.60460586      0.00000000      0.59076890      0.00000000      4.44236253      180.00000000
20210616000000      30.28700000      268.76300000      0.60219840      0.00000000      0.23790716      0.00000000      4.14424481      180.00000000
20210716000000      30.28700000      268.76300000      0.63379955      0.00000000      0.21486899      180.00000000      3.39077851      180.00000000
20210816000000      30.28700000      268.76300000      0.66211006      0.00000000      0.68253805      180.00000000      2.47152244      180.00000000
20210916000000      30.28700000      268.76300000      0.80740162      0.00000000      0.77201827      180.00000000      2.07638272      180.00000000
20211016000000      30.28700000      268.76300000      0.65474990      0.00000000      0.93874189      180.00000000      2.39853892      180.00000000
20211116000000      30.28700000      268.76300000      0.58766353      0.00000000      0.75822611      180.00000000      1.57230801      180.00000000
20211216000000      30.28700000      268.76300000      0.69963202      0.00000000      0.63792529      180.00000000      1.44024713      180.00000000
20220116000000      30.28700000      268.76300000      0.70769608      0.00000000      0.12781497      180.00000000      2.14452167      180.00000000
20220215000000      30.28700000      268.76300000      0.77538753      0.00000000      0.04671059      180.00000000      2.40803050      180.00000000
20220316000000      30.28700000      268.76300000      0.82692784      0.00000000      0.32782251      0.00000000      3.33653000      180.00000000
20220416000000      30.28700000      268.76300000      0.90161668      0.00000000      0.39081030      0.00000000      3.29333765      180.00000000
