Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.21900000      267.94900000      0.01718457      180.00000000      0.78528809      0.00000000      5.22290308      180.00000000
20160214000000      30.21900000      267.94900000      0.03736099      180.00000000      0.74345006      0.00000000      3.85725622      180.00000000
20160316000000      30.21900000      267.94900000      0.05094575      180.00000000      1.04252739      0.00000000      5.20521177      180.00000000
20160520000000      30.21900000      267.94900000      0.12091094      0.00000000      0.54256524      0.00000000      3.33491963      180.00000000
20160616000000      30.21900000      267.94900000      0.11983165      180.00000000      0.09073439      0.00000000      2.14328104      180.00000000
20160715000000      30.21900000      267.94900000      0.15394066      0.00000000      0.64970524      180.00000000      0.47970535      0.00000000
20160821000000      30.21900000      267.94900000      0.11873391      0.00000000      0.85519326      180.00000000      0.19272773      180.00000000
20161127000000      30.21900000      267.94900000      0.15010028      180.00000000      0.93662635      180.00000000      0.28743518      0.00000000
20161224000000      30.21900000      267.94900000      0.06847730      180.00000000      0.58809376      180.00000000      0.66617737      180.00000000
20170121000000      30.21900000      267.94900000      0.03012412      180.00000000      0.31066260      180.00000000      1.35155604      180.00000000
20170331000000      30.21900000      267.94900000      0.11953913      0.00000000      0.12707238      0.00000000      2.11725579      180.00000000
20170424000000      30.21900000      267.94900000      0.07235177      0.00000000      0.39310354      0.00000000      2.15435589      180.00000000
20170512000000      30.21900000      267.94900000      0.20503981      0.00000000      0.55544564      0.00000000      2.23530773      180.00000000
20170611000000      30.21900000      267.94900000      0.24359968      0.00000000      0.32904345      0.00000000      2.58745811      180.00000000
20180616000000      30.21900000      267.94900000      0.71743491      0.00000000      0.41886670      180.00000000      1.15275401      0.00000000
20180710000000      30.21900000      267.94900000      0.78477050      0.00000000      0.87273390      180.00000000      1.06295271      0.00000000
20181031000000      30.21900000      267.94900000      0.06134332      180.00000000      0.44244019      180.00000000      2.19937643      180.00000000
20181116000000      30.21900000      267.94900000      0.02319098      0.00000000      0.38535140      180.00000000      1.84134313      180.00000000
