Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.70400000      268.52400000      0.09530389      180.00000000      0.74506487      0.00000000      5.71477319      180.00000000
20160214000000      30.70400000      268.52400000      0.07697941      180.00000000      0.70524929      0.00000000      4.24819720      180.00000000
20160316000000      30.70400000      268.52400000      0.16266256      180.00000000      0.99421722      0.00000000      5.71743694      180.00000000
20160520000000      30.70400000      268.52400000      0.04356317      0.00000000      0.46476719      0.00000000      3.63465533      180.00000000
20160616000000      30.70400000      268.52400000      0.16908232      180.00000000      0.02276000      0.00000000      2.20101588      180.00000000
20160715000000      30.70400000      268.52400000      0.15179328      0.00000000      0.67780927      180.00000000      0.58533921      0.00000000
20160821000000      30.70400000      268.52400000      0.12617952      0.00000000      0.98002699      180.00000000      0.02452129      0.00000000
20161127000000      30.70400000      268.52400000      0.14988873      180.00000000      1.11403094      180.00000000      0.70131182      0.00000000
20161224000000      30.70400000      268.52400000      0.06003067      180.00000000      0.71425804      180.00000000      0.45182141      180.00000000
20170121000000      30.70400000      268.52400000      0.05018173      180.00000000      0.38308477      180.00000000      1.28095258      180.00000000
20170331000000      30.70400000      268.52400000      0.07170687      0.00000000      0.06549167      0.00000000      2.19511933      180.00000000
20170424000000      30.70400000      268.52400000      0.00971907      0.00000000      0.41411495      0.00000000      2.37118408      180.00000000
20170512000000      30.70400000      268.52400000      0.13543008      0.00000000      0.63989169      0.00000000      2.58586036      180.00000000
20170611000000      30.70400000      268.52400000      0.15736097      0.00000000      0.34682575      0.00000000      2.94724877      180.00000000
20180616000000      30.70400000      268.52400000      0.71489042      0.00000000      0.27099745      180.00000000      0.98521130      0.00000000
20180710000000      30.70400000      268.52400000      0.84898942      0.00000000      0.82885482      180.00000000      1.01220031      0.00000000
20181031000000      30.70400000      268.52400000      0.07830012      180.00000000      0.55103664      180.00000000      2.08488822      180.00000000
20181116000000      30.70400000      268.52400000      0.03925385      0.00000000      0.44223047      180.00000000      1.79709245      180.00000000
20181216000000      30.70400000      268.52400000      0.20653196      0.00000000      0.00153392      0.00000000      3.70504512      180.00000000
20190116000000      30.70400000      268.52400000      0.08096914      0.00000000      0.70099313      0.00000000      5.78151232      180.00000000
20190214000000      30.70400000      268.52400000      0.17923259      0.00000000      1.03031530      0.00000000      6.28439753      180.00000000
20190316000000      30.70400000      268.52400000      0.19938299      0.00000000      1.25418898      0.00000000      7.09804042      180.00000000
20190416000000      30.70400000      268.52400000      0.19225869      0.00000000      1.13060406      0.00000000      5.03864988      180.00000000
20190516000000      30.70400000      268.52400000      0.09100221      0.00000000      1.34666070      0.00000000      6.29904994      180.00000000
20190616000000      30.70400000      268.52400000      0.03652950      180.00000000      0.94924557      0.00000000      5.58727352      180.00000000
20190716000000      30.70400000      268.52400000      0.20543746      0.00000000      0.23904970      0.00000000      4.44993953      180.00000000
20190816000000      30.70400000      268.52400000      0.38057959      0.00000000      0.30196020      180.00000000      0.93052917      180.00000000
20190916000000      30.70400000      268.52400000      0.26694280      0.00000000      0.70280043      180.00000000      0.18931673      0.00000000
20191016000000      30.70400000      268.52400000      0.29702988      0.00000000      0.64298884      180.00000000      1.11801711      180.00000000
20191116000000      30.70400000      268.52400000      0.37605825      0.00000000      0.11312880      180.00000000      2.34752761      180.00000000
20191216000000      30.70400000      268.52400000      0.50618995      0.00000000      0.36414749      0.00000000      2.36146754      180.00000000
20200116000000      30.70400000      268.52400000      0.39591086      0.00000000      0.85321977      0.00000000      4.46857931      180.00000000
20200215000000      30.70400000      268.52400000      0.47745653      0.00000000      1.43920074      0.00000000      6.18375649      180.00000000
20200316000000      30.70400000      268.52400000      0.35351625      0.00000000      1.60130975      0.00000000      6.38637753      180.00000000
20200416000000      30.70400000      268.52400000      0.42411414      0.00000000      1.66655319      0.00000000      5.87717998      180.00000000
20200516000000      30.70400000      268.52400000      0.51213312      0.00000000      1.29846174      0.00000000      4.79398079      180.00000000
20200616000000      30.70400000      268.52400000      0.58141787      0.00000000      0.52727722      0.00000000      4.29550427      180.00000000
20200716000000      30.70400000      268.52400000      0.65320185      0.00000000      0.05983456      180.00000000      2.07195555      180.00000000
20200816000000      30.70400000      268.52400000      0.76810306      0.00000000      0.46847434      180.00000000      1.09854909      180.00000000
20200916000000      30.70400000      268.52400000      0.73428533      0.00000000      0.46113902      180.00000000      1.85160060      180.00000000
20201016000000      30.70400000      268.52400000      0.56930348      0.00000000      0.36515122      180.00000000      2.01810817      180.00000000
20201116000000      30.70400000      268.52400000      0.71368443      0.00000000      0.21243939      180.00000000      2.49165041      180.00000000
20201216000000      30.70400000      268.52400000      0.77714021      0.00000000      0.11022750      180.00000000      1.49531613      180.00000000
20210116000000      30.70400000      268.52400000      0.73501818      0.00000000      0.38352798      0.00000000      3.06729876      180.00000000
20210215000000      30.70400000      268.52400000      0.88928668      0.00000000      0.36316942      0.00000000      2.99515291      180.00000000
20210316000000      30.70400000      268.52400000      0.94918521      0.00000000      0.88512118      0.00000000      5.11034335      180.00000000
20210416000000      30.70400000      268.52400000      0.93612724      0.00000000      0.72500904      0.00000000      5.00925195      180.00000000
20210516000000      30.70400000      268.52400000      0.63700922      0.00000000      0.65845297      0.00000000      5.02698351      180.00000000
20210616000000      30.70400000      268.52400000      0.63133505      0.00000000      0.28899283      0.00000000      4.61464874      180.00000000
20210716000000      30.70400000      268.52400000      0.65407318      0.00000000      0.20954515      180.00000000      3.64344299      180.00000000
20210816000000      30.70400000      268.52400000      0.67682911      0.00000000      0.74519443      180.00000000      2.48051182      180.00000000
20210916000000      30.70400000      268.52400000      0.85620230      0.00000000      0.86424610      180.00000000      1.97554720      180.00000000
20211016000000      30.70400000      268.52400000      0.69794248      0.00000000      1.08420944      180.00000000      2.23414258      180.00000000
20211116000000      30.70400000      268.52400000      0.61945368      0.00000000      0.85044723      180.00000000      1.43928955      180.00000000
20211216000000      30.70400000      268.52400000      0.74404702      0.00000000      0.71448240      180.00000000      1.33400601      180.00000000
20220116000000      30.70400000      268.52400000      0.76492483      0.00000000      0.16702087      180.00000000      2.23942406      180.00000000
20220215000000      30.70400000      268.52400000      0.83062321      0.00000000      0.11751650      180.00000000      2.42812101      180.00000000
20220316000000      30.70400000      268.52400000      0.89754098      0.00000000      0.32263862      0.00000000      3.63954754      180.00000000
20220416000000      30.70400000      268.52400000      0.96961432      0.00000000      0.40300152      0.00000000      3.66508207      180.00000000
20220516000000      30.70400000      268.52400000      0.90057767      0.00000000      0.29792645      0.00000000      2.47929414      180.00000000
20220616000000      30.70400000      268.52400000      0.98066258      0.00000000      0.20314824      180.00000000      0.93241920      180.00000000
20220716000000      30.70400000      268.52400000      1.07975375      0.00000000      1.10811815      180.00000000      0.61593881      0.00000000
20220816000000      30.70400000      268.52400000      0.81390971      0.00000000      1.42572615      180.00000000      2.09537789      0.00000000
20220916000000      30.70400000      268.52400000      0.79490859      0.00000000      1.52524803      180.00000000      0.07029511      180.00000000
20221016000000      30.70400000      268.52400000      0.98115240      0.00000000      2.09098860      180.00000000      2.75774758      0.00000000
20221116000000      30.70400000      268.52400000      0.85609546      0.00000000      1.63724236      180.00000000      1.74742731      0.00000000
20221216000000      30.70400000      268.52400000      0.77078328      0.00000000      1.13429671      180.00000000      0.27469228      180.00000000
