Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.47000000      268.74700000      0.11566534      180.00000000      0.75065706      0.00000000      5.43974417      180.00000000
20160214000000      30.47000000      268.74700000      0.08803998      180.00000000      0.72002089      0.00000000      4.06514060      180.00000000
20160316000000      30.47000000      268.74700000      0.19919671      180.00000000      0.99743202      0.00000000      5.34679354      180.00000000
20160520000000      30.47000000      268.74700000      0.03104496      0.00000000      0.47921420      0.00000000      3.43413452      180.00000000
20160616000000      30.47000000      268.74700000      0.14540801      180.00000000      0.01515851      0.00000000      2.06540629      180.00000000
20160715000000      30.47000000      268.74700000      0.17506153      0.00000000      0.67489660      180.00000000      0.47538546      0.00000000
20160821000000      30.47000000      268.74700000      0.14219283      0.00000000      0.92268103      180.00000000      0.13325294      180.00000000
20161127000000      30.47000000      268.74700000      0.12192431      180.00000000      1.04322875      180.00000000      0.48597191      0.00000000
20161224000000      30.47000000      268.74700000      0.04164061      180.00000000      0.65792714      180.00000000      0.59184053      180.00000000
20170121000000      30.47000000      268.74700000      0.03669982      180.00000000      0.36437239      180.00000000      1.29082224      180.00000000
20170331000000      30.47000000      268.74700000      0.06174326      0.00000000      0.08191392      0.00000000      2.09304274      180.00000000
20170424000000      30.47000000      268.74700000      0.01457628      0.00000000      0.37598949      0.00000000      2.20530477      180.00000000
20170512000000      30.47000000      268.74700000      0.12924519      0.00000000      0.57968662      0.00000000      2.39023839      180.00000000
20170611000000      30.47000000      268.74700000      0.13942418      0.00000000      0.31953550      0.00000000      2.74373441      180.00000000
20180616000000      30.47000000      268.74700000      0.70999696      0.00000000      0.32757814      180.00000000      0.96984095      0.00000000
20180710000000      30.47000000      268.74700000      0.84569201      0.00000000      0.80754159      180.00000000      0.80269977      0.00000000
20181031000000      30.47000000      268.74700000      0.05714250      180.00000000      0.51934210      180.00000000      2.07249639      180.00000000
20181116000000      30.47000000      268.74700000      0.06097910      0.00000000      0.42232514      180.00000000      1.78657516      180.00000000
20181216000000      30.47000000      268.74700000      0.20335888      0.00000000      0.04685915      0.00000000      3.61289271      180.00000000
20190116000000      30.47000000      268.74700000      0.05893606      0.00000000      0.71542490      0.00000000      5.48474695      180.00000000
20190214000000      30.47000000      268.74700000      0.14648411      0.00000000      1.03135692      0.00000000      5.94105805      180.00000000
20190316000000      30.47000000      268.74700000      0.14657281      0.00000000      1.25651861      0.00000000      6.68909415      180.00000000
20190416000000      30.47000000      268.74700000      0.16902804      0.00000000      1.09612446      0.00000000      4.68670407      180.00000000
20190516000000      30.47000000      268.74700000      0.06485184      0.00000000      1.29535358      0.00000000      5.82850578      180.00000000
20190616000000      30.47000000      268.74700000      0.04555790      180.00000000      0.88001737      0.00000000      5.17189769      180.00000000
20190716000000      30.47000000      268.74700000      0.19393763      0.00000000      0.22282778      0.00000000      4.24200486      180.00000000
20190816000000      30.47000000      268.74700000      0.38927330      0.00000000      0.32587637      180.00000000      0.93657295      180.00000000
20190916000000      30.47000000      268.74700000      0.28130234      0.00000000      0.69282273      180.00000000      0.07735583      0.00000000
20191016000000      30.47000000      268.74700000      0.28830652      0.00000000      0.60405920      180.00000000      1.21903407      180.00000000
20191116000000      30.47000000      268.74700000      0.35824855      0.00000000      0.10639911      180.00000000      2.33186779      180.00000000
20191216000000      30.47000000      268.74700000      0.48762108      0.00000000      0.33292963      0.00000000      2.28128046      180.00000000
20200116000000      30.47000000      268.74700000      0.36359987      0.00000000      0.82090588      0.00000000      4.22749935      180.00000000
20200215000000      30.47000000      268.74700000      0.42714643      0.00000000      1.39092777      0.00000000      5.79658037      180.00000000
20200316000000      30.47000000      268.74700000      0.29860718      0.00000000      1.54166615      0.00000000      5.91351529      180.00000000
20200416000000      30.47000000      268.74700000      0.38414331      0.00000000      1.58778575      0.00000000      5.40599419      180.00000000
20200516000000      30.47000000      268.74700000      0.47240806      0.00000000      1.22970567      0.00000000      4.41483885      180.00000000
20200616000000      30.47000000      268.74700000      0.55330502      0.00000000      0.50249963      0.00000000      4.09740646      180.00000000
20200716000000      30.47000000      268.74700000      0.63939280      0.00000000      0.07811075      180.00000000      2.04218071      180.00000000
20200816000000      30.47000000      268.74700000      0.75221347      0.00000000      0.46040242      180.00000000      1.17869575      180.00000000
20200916000000      30.47000000      268.74700000      0.70800955      0.00000000      0.41788931      180.00000000      1.90868384      180.00000000
20201016000000      30.47000000      268.74700000      0.54681629      0.00000000      0.33746471      180.00000000      2.03442655      180.00000000
20201116000000      30.47000000      268.74700000      0.67929035      0.00000000      0.18574069      180.00000000      2.50512910      180.00000000
20201216000000      30.47000000      268.74700000      0.76221448      0.00000000      0.13827381      180.00000000      1.48420946      180.00000000
20210116000000      30.47000000      268.74700000      0.71318343      0.00000000      0.34412291      0.00000000      2.90978234      180.00000000
20210215000000      30.47000000      268.74700000      0.85896369      0.00000000      0.33145784      0.00000000      2.85089902      180.00000000
20210316000000      30.47000000      268.74700000      0.89044651      0.00000000      0.86269135      0.00000000      4.84420431      180.00000000
20210416000000      30.47000000      268.74700000      0.88902471      0.00000000      0.70889409      0.00000000      4.76106126      180.00000000
20210516000000      30.47000000      268.74700000      0.59656632      0.00000000      0.61974144      0.00000000      4.66991692      180.00000000
20210616000000      30.47000000      268.74700000      0.59782469      0.00000000      0.26133495      0.00000000      4.33813188      180.00000000
20210716000000      30.47000000      268.74700000      0.63288629      0.00000000      0.20905787      180.00000000      3.50307611      180.00000000
20210816000000      30.47000000      268.74700000      0.66534928      0.00000000      0.70323200      180.00000000      2.49662114      180.00000000
20210916000000      30.47000000      268.74700000      0.82434721      0.00000000      0.79923846      180.00000000      2.06769253      180.00000000
20211016000000      30.47000000      268.74700000      0.67062148      0.00000000      0.98876758      180.00000000      2.36416891      180.00000000
20211116000000      30.47000000      268.74700000      0.59731831      0.00000000      0.78848409      180.00000000      1.54021687      180.00000000
20211216000000      30.47000000      268.74700000      0.71394367      0.00000000      0.65935338      180.00000000      1.42952283      180.00000000
20220116000000      30.47000000      268.74700000      0.72208617      0.00000000      0.13328356      180.00000000      2.20691768      180.00000000
20220215000000      30.47000000      268.74700000      0.79601505      0.00000000      0.06277034      180.00000000      2.45483533      180.00000000
20220316000000      30.47000000      268.74700000      0.84116233      0.00000000      0.33616722      0.00000000      3.48895340      180.00000000
20220416000000      30.47000000      268.74700000      0.91160223      0.00000000      0.40606466      0.00000000      3.46219477      180.00000000
20220516000000      30.47000000      268.74700000      0.87158547      0.00000000      0.26019205      0.00000000      2.34493607      180.00000000
20220616000000      30.47000000      268.74700000      0.93805781      0.00000000      0.26125175      180.00000000      0.85477496      180.00000000
20220716000000      30.47000000      268.74700000      1.06112336      0.00000000      1.07430057      180.00000000      0.39308852      0.00000000
20220816000000      30.47000000      268.74700000      0.82760409      0.00000000      1.40726545      180.00000000      1.84795070      0.00000000
