Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.00800000      269.83800000      0.23547538      180.00000000      0.74387611      0.00000000      4.72666978      180.00000000
20160214000000      30.00800000      269.83800000      0.19410809      180.00000000      0.74722442      0.00000000      3.64266814      180.00000000
20160316000000      30.00800000      269.83800000      0.28525920      180.00000000      0.95534915      0.00000000      4.23453498      180.00000000
20160520000000      30.00800000      269.83800000      0.02921644      180.00000000      0.46289562      0.00000000      2.81525637      180.00000000
20160616000000      30.00800000      269.83800000      0.10680503      180.00000000      0.04785069      180.00000000      1.70740559      180.00000000
20160715000000      30.00800000      269.83800000      0.16408814      0.00000000      0.67045685      180.00000000      0.06230708      0.00000000
20160821000000      30.00800000      269.83800000      0.12381859      0.00000000      0.81317512      180.00000000      0.47444729      180.00000000
20161127000000      30.00800000      269.83800000      0.11346460      180.00000000      0.92405335      180.00000000      0.09843243      0.00000000
20161224000000      30.00800000      269.83800000      0.06151113      180.00000000      0.55225792      180.00000000      0.88526548      180.00000000
20170121000000      30.00800000      269.83800000      0.03532612      180.00000000      0.35173869      180.00000000      1.28111661      180.00000000
20170331000000      30.00800000      269.83800000      0.06358066      0.00000000      0.07478657      0.00000000      1.69155958      180.00000000
20170424000000      30.00800000      269.83800000      0.01183171      0.00000000      0.26329420      0.00000000      1.86231304      180.00000000
20170512000000      30.00800000      269.83800000      0.09337742      0.00000000      0.43270353      0.00000000      2.06076006      180.00000000
20170611000000      30.00800000      269.83800000      0.08471881      0.00000000      0.22660360      0.00000000      2.25684135      180.00000000
20180616000000      30.00800000      269.83800000      0.68761161      0.00000000      0.42719954      180.00000000      0.58856913      0.00000000
20180710000000      30.00800000      269.83800000      0.74606453      0.00000000      0.71521558      180.00000000      0.02321655      180.00000000
20181031000000      30.00800000      269.83800000      0.04854193      180.00000000      0.48632856      180.00000000      1.98470908      180.00000000
20181116000000      30.00800000      269.83800000      0.07125838      0.00000000      0.39057262      180.00000000      1.82636680      180.00000000
20181216000000      30.00800000      269.83800000      0.12423442      0.00000000      0.13157412      0.00000000      3.37461354      180.00000000
20190116000000      30.00800000      269.83800000      0.04142533      180.00000000      0.71338690      0.00000000      4.69934739      180.00000000
20190214000000      30.00800000      269.83800000      0.02056026      0.00000000      1.00668173      0.00000000      5.09235584      180.00000000
20190316000000      30.00800000      269.83800000      0.01703451      180.00000000      1.22219950      0.00000000      5.58792633      180.00000000
20190416000000      30.00800000      269.83800000      0.07319618      0.00000000      1.00004766      0.00000000      3.92690721      180.00000000
20190516000000      30.00800000      269.83800000      0.01250195      180.00000000      1.12349674      0.00000000      4.66007389      180.00000000
20190616000000      30.00800000      269.83800000      0.11276681      180.00000000      0.66847724      0.00000000      4.21174644      180.00000000
20190716000000      30.00800000      269.83800000      0.05876506      0.00000000      0.15661841      0.00000000      3.83096486      180.00000000
20190816000000      30.00800000      269.83800000      0.30401348      0.00000000      0.36937820      180.00000000      1.24385469      180.00000000
20190916000000      30.00800000      269.83800000      0.23290017      0.00000000      0.67327458      180.00000000      0.34590720      180.00000000
20191016000000      30.00800000      269.83800000      0.14568145      0.00000000      0.54573056      180.00000000      1.44001530      180.00000000
20191116000000      30.00800000      269.83800000      0.19093364      0.00000000      0.09491883      180.00000000      2.40644428      180.00000000
20191216000000      30.00800000      269.83800000      0.36337349      0.00000000      0.28961864      0.00000000      2.35012002      180.00000000
20200116000000      30.00800000      269.83800000      0.21571909      0.00000000      0.74597341      0.00000000      3.77160710      180.00000000
20200215000000      30.00800000      269.83800000      0.24393537      0.00000000      1.28837646      0.00000000      5.00169080      180.00000000
20200316000000      30.00800000      269.83800000      0.14231700      0.00000000      1.38744924      0.00000000      4.80183801      180.00000000
20200416000000      30.00800000      269.83800000      0.24948095      0.00000000      1.39981939      0.00000000      4.41590519      180.00000000
20200516000000      30.00800000      269.83800000      0.34740641      0.00000000      1.06284023      0.00000000      3.62870322      180.00000000
20200616000000      30.00800000      269.83800000      0.38489709      0.00000000      0.44376964      0.00000000      3.78172901      180.00000000
20200716000000      30.00800000      269.83800000      0.50085960      0.00000000      0.09439237      180.00000000      2.25640440      180.00000000
20200816000000      30.00800000      269.83800000      0.59136648      0.00000000      0.41599362      180.00000000      1.61353445      180.00000000
20200916000000      30.00800000      269.83800000      0.54541344      0.00000000      0.31354849      180.00000000      2.10610241      180.00000000
20201016000000      30.00800000      269.83800000      0.40464701      0.00000000      0.27418074      180.00000000      2.13661986      180.00000000
20201116000000      30.00800000      269.83800000      0.49070873      0.00000000      0.11659099      180.00000000      2.62786396      180.00000000
20201216000000      30.00800000      269.83800000      0.62911242      0.00000000      0.16835467      180.00000000      1.77735630      180.00000000
20210116000000      30.00800000      269.83800000      0.58528241      0.00000000      0.26753909      0.00000000      2.77215693      180.00000000
20210215000000      30.00800000      269.83800000      0.70601978      0.00000000      0.27976369      0.00000000      2.75403735      180.00000000
20210316000000      30.00800000      269.83800000      0.65285580      0.00000000      0.81208263      0.00000000      4.33236650      180.00000000
20210416000000      30.00800000      269.83800000      0.67918596      0.00000000      0.66441887      0.00000000      4.28730021      180.00000000
20210516000000      30.00800000      269.83800000      0.49009746      0.00000000      0.47277041      0.00000000      3.74606227      180.00000000
20210616000000      30.00800000      269.83800000      0.46380110      0.00000000      0.15717224      0.00000000      3.69409959      180.00000000
20210716000000      30.00800000      269.83800000      0.51928337      0.00000000      0.23488444      180.00000000      3.21133976      180.00000000
20210816000000      30.00800000      269.83800000      0.54326167      0.00000000      0.62634751      180.00000000      2.58280321      180.00000000
20210916000000      30.00800000      269.83800000      0.66354591      0.00000000      0.65183126      180.00000000      2.31394620      180.00000000
20211016000000      30.00800000      269.83800000      0.51515381      0.00000000      0.78838497      180.00000000      2.59132419      180.00000000
20211116000000      30.00800000      269.83800000      0.47261270      0.00000000      0.66854085      180.00000000      1.73926126      180.00000000
20211216000000      30.00800000      269.83800000      0.55322299      0.00000000      0.54374013      180.00000000      1.68146379      180.00000000
20220116000000      30.00800000      269.83800000      0.56517715      0.00000000      0.06869858      180.00000000      2.12482047      180.00000000
20220215000000      30.00800000      269.83800000      0.61975671      0.00000000      0.06780019      0.00000000      2.59515558      180.00000000
20220316000000      30.00800000      269.83800000      0.61765795      0.00000000      0.35201486      0.00000000      3.16166571      180.00000000
20220416000000      30.00800000      269.83800000      0.73634036      0.00000000      0.37922032      0.00000000      2.95332691      180.00000000
20220516000000      30.00800000      269.83800000      0.73082242      0.00000000      0.17055876      0.00000000      2.25063493      180.00000000
20220616000000      30.00800000      269.83800000      0.78919341      0.00000000      0.39221273      180.00000000      0.91651794      180.00000000
