Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      31.56100000      268.59500000      0.12437331      180.00000000      0.71232879      0.00000000      7.05043140      180.00000000
20160214000000      31.56100000      268.59500000      0.09188435      180.00000000      0.65646779      0.00000000      5.14709804      180.00000000
20160316000000      31.56100000      268.59500000      0.17748948      180.00000000      0.95922065      0.00000000      7.28453152      180.00000000
20160520000000      31.56100000      268.59500000      0.00865288      0.00000000      0.39011541      0.00000000      4.34331429      180.00000000
20160616000000      31.56100000      268.59500000      0.26294660      180.00000000      0.01618289      180.00000000      2.65280651      180.00000000
20160715000000      31.56100000      268.59500000      0.08828201      0.00000000      0.69608045      180.00000000      0.98469109      0.00000000
20160821000000      31.56100000      268.59500000      0.09568072      0.00000000      1.16462019      180.00000000      1.15234114      0.00000000
20161127000000      31.56100000      268.59500000      0.21386057      180.00000000      1.35411779      180.00000000      2.47724863      0.00000000
20161224000000      31.56100000      268.59500000      0.09795315      180.00000000      0.89380679      180.00000000      0.68994685      0.00000000
20170121000000      31.56100000      268.59500000      0.10083736      180.00000000      0.46211299      180.00000000      1.00326987      180.00000000
20170331000000      31.56100000      268.59500000      0.06018520      0.00000000      0.00398531      0.00000000      2.28819391      180.00000000
20170424000000      31.56100000      268.59500000      0.06399902      180.00000000      0.51175876      0.00000000      3.27771801      180.00000000
20170512000000      31.56100000      268.59500000      0.07643975      0.00000000      0.82883618      0.00000000      3.94401053      180.00000000
20170611000000      31.56100000      268.59500000      0.11733692      0.00000000      0.41934065      0.00000000      4.10391500      180.00000000
20180616000000      31.56100000      268.59500000      0.70446273      0.00000000      0.04633236      180.00000000      0.15117882      0.00000000
20180710000000      31.56100000      268.59500000      0.90039260      0.00000000      0.82022120      180.00000000      1.40834206      0.00000000
20181031000000      31.56100000      268.59500000      0.14399600      180.00000000      0.67685809      180.00000000      1.77587105      180.00000000
20181116000000      31.56100000      268.59500000      0.00077845      0.00000000      0.51435808      180.00000000      1.75666560      180.00000000
20181216000000      31.56100000      268.59500000      0.21228363      0.00000000      0.13896511      180.00000000      4.01114770      180.00000000
20190116000000      31.56100000      268.59500000      0.07439316      0.00000000      0.64939100      0.00000000      7.16646980      180.00000000
20190214000000      31.56100000      268.59500000      0.18774698      0.00000000      1.03791338      0.00000000      8.12677776      180.00000000
20190316000000      31.56100000      268.59500000      0.22234867      0.00000000      1.26402755      0.00000000      9.19244015      180.00000000
20190416000000      31.56100000      268.59500000      0.17645327      0.00000000      1.23933660      0.00000000      7.20856996      180.00000000
20190516000000      31.56100000      268.59500000      0.01630377      0.00000000      1.46806279      0.00000000      8.87063696      180.00000000
20190616000000      31.56100000      268.59500000      0.16864157      180.00000000      1.11027228      0.00000000      7.96039622      180.00000000
20190716000000      31.56100000      268.59500000      0.12168014      0.00000000      0.26468775      0.00000000      5.82665459      180.00000000
20190816000000      31.56100000      268.59500000      0.30438487      0.00000000      0.22538100      180.00000000      1.59277985      180.00000000
20190916000000      31.56100000      268.59500000      0.19245742      0.00000000      0.73803438      180.00000000      0.52063734      0.00000000
20191016000000      31.56100000      268.59500000      0.21089375      0.00000000      0.76549260      180.00000000      0.54175955      180.00000000
20191116000000      31.56100000      268.59500000      0.32164181      0.00000000      0.11520133      180.00000000      2.77692325      180.00000000
20191216000000      31.56100000      268.59500000      0.49769662      0.00000000      0.50650151      0.00000000      3.48952635      180.00000000
