Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.30400000      269.04600000      0.14934466      180.00000000      0.74522399      0.00000000      5.22007298      180.00000000
20160214000000      30.30400000      269.04600000      0.11101507      180.00000000      0.72358681      0.00000000      3.95664333      180.00000000
20160316000000      30.30400000      269.04600000      0.24191027      180.00000000      0.98365648      0.00000000      4.96055761      180.00000000
20160520000000      30.30400000      269.04600000      0.01037125      0.00000000      0.47275814      0.00000000      3.23388299      180.00000000
20160616000000      30.30400000      269.04600000      0.13056992      180.00000000      0.00890361      180.00000000      1.95197301      180.00000000
20160715000000      30.30400000      269.04600000      0.18886429      0.00000000      0.68064707      180.00000000      0.30040520      0.00000000
20160821000000      30.30400000      269.04600000      0.15140041      0.00000000      0.89073511      180.00000000      0.29304496      180.00000000
20161127000000      30.30400000      269.04600000      0.10421885      180.00000000      1.00571973      180.00000000      0.29961495      0.00000000
20161224000000      30.30400000      269.04600000      0.03240563      180.00000000      0.62690059      180.00000000      0.74478740      180.00000000
20170121000000      30.30400000      269.04600000      0.03147572      180.00000000      0.36334747      180.00000000      1.31359838      180.00000000
20170331000000      30.30400000      269.04600000      0.04925699      0.00000000      0.07880300      0.00000000      1.95183212      180.00000000
20170424000000      30.30400000      269.04600000      0.01089729      0.00000000      0.33355042      0.00000000      2.08952511      180.00000000
20170512000000      30.30400000      269.04600000      0.11503769      0.00000000      0.52424377      0.00000000      2.27214906      180.00000000
20170611000000      30.30400000      269.04600000      0.11449861      0.00000000      0.28534882      0.00000000      2.57117887      180.00000000
20180616000000      30.30400000      269.04600000      0.70478154      0.00000000      0.37268587      180.00000000      0.84909918      0.00000000
20180710000000      30.30400000      269.04600000      0.83894120      0.00000000      0.78888463      180.00000000      0.47580120      0.00000000
20181031000000      30.30400000      269.04600000      0.04448059      180.00000000      0.51211614      180.00000000      2.07994068      180.00000000
20181116000000      30.30400000      269.04600000      0.07687672      0.00000000      0.41879708      180.00000000      1.83203944      180.00000000
20181216000000      30.30400000      269.04600000      0.19272506      0.00000000      0.07017326      0.00000000      3.57307707      180.00000000
20190116000000      30.30400000      269.04600000      0.02883214      0.00000000      0.71219282      0.00000000      5.23900742      180.00000000
20190214000000      30.30400000      269.04600000      0.10671772      0.00000000      1.01946884      0.00000000      5.66854794      180.00000000
20190316000000      30.30400000      269.04600000      0.08728518      0.00000000      1.24411783      0.00000000      6.32203051      180.00000000
20190416000000      30.30400000      269.04600000      0.13831288      0.00000000      1.05873240      0.00000000      4.43093718      180.00000000
20190516000000      30.30400000      269.04600000      0.02913322      0.00000000      1.23675328      0.00000000      5.41627321      180.00000000
20190616000000      30.30400000      269.04600000      0.06908031      180.00000000      0.80702988      0.00000000      4.84493734      180.00000000
20190716000000      30.30400000      269.04600000      0.16646738      0.00000000      0.19651720      0.00000000      4.14185320      180.00000000
20190816000000      30.30400000      269.04600000      0.38451759      0.00000000      0.35061521      180.00000000      1.08607968      180.00000000
20190916000000      30.30400000      269.04600000      0.28407245      0.00000000      0.69392532      180.00000000      0.11641174      180.00000000
20191016000000      30.30400000      269.04600000      0.26298831      0.00000000      0.58834492      180.00000000      1.36303819      180.00000000
20191116000000      30.30400000      269.04600000      0.32499069      0.00000000      0.10939415      180.00000000      2.41424740      180.00000000
20191216000000      30.30400000      269.04600000      0.46041112      0.00000000      0.30698108      0.00000000      2.33099642      180.00000000
20200116000000      30.30400000      269.04600000      0.32076117      0.00000000      0.78820249      0.00000000      4.09174662      180.00000000
20200215000000      30.30400000      269.04600000      0.36755229      0.00000000      1.34919920      0.00000000      5.53133676      180.00000000
20200316000000      30.30400000      269.04600000      0.23560767      0.00000000      1.48555645      0.00000000      5.52153839      180.00000000
20200416000000      30.30400000      269.04600000      0.33383617      0.00000000      1.51846158      0.00000000      5.05829345      180.00000000
20200516000000      30.30400000      269.04600000      0.42484637      0.00000000      1.16700448      0.00000000      4.13437929      180.00000000
20200616000000      30.30400000      269.04600000      0.51127720      0.00000000      0.47562363      0.00000000      4.01656956      180.00000000
20200716000000      30.30400000      269.04600000      0.61457479      0.00000000      0.09392707      180.00000000      2.15119522      180.00000000
20200816000000      30.30400000      269.04600000      0.72449508      0.00000000      0.45571545      180.00000000      1.37931432      180.00000000
20200916000000      30.30400000      269.04600000      0.67306584      0.00000000      0.38984106      180.00000000      2.02560807      180.00000000
20201016000000      30.30400000      269.04600000      0.51401451      0.00000000      0.32269140      180.00000000      2.11419094      180.00000000
20201116000000      30.30400000      269.04600000      0.63360934      0.00000000      0.16996565      180.00000000      2.59267342      180.00000000
20201216000000      30.30400000      269.04600000      0.73625842      0.00000000      0.16092829      180.00000000      1.61553455      180.00000000
20210116000000      30.30400000      269.04600000      0.67975188      0.00000000      0.30844395      0.00000000      2.88123506      180.00000000
20210215000000      30.30400000      269.04600000      0.81741373      0.00000000      0.30369282      0.00000000      2.83981028      180.00000000
20210316000000      30.30400000      269.04600000      0.81835299      0.00000000      0.83888551      0.00000000      4.69497718      180.00000000
20210416000000      30.30400000      269.04600000      0.82827391      0.00000000      0.68683485      0.00000000      4.62619712      180.00000000
20210516000000      30.30400000      269.04600000      0.54756478      0.00000000      0.56882897      0.00000000      4.34254594      180.00000000
20210616000000      30.30400000      269.04600000      0.55338161      0.00000000      0.22298260      0.00000000      4.12723913      180.00000000
20210716000000      30.30400000      269.04600000      0.60263113      0.00000000      0.22296827      180.00000000      3.42688752      180.00000000
20210816000000      30.30400000      269.04600000      0.64398306      0.00000000      0.68394618      180.00000000      2.57770077      180.00000000
20210916000000      30.30400000      269.04600000      0.78769912      0.00000000      0.75724711      180.00000000      2.20139178      180.00000000
20211016000000      30.30400000      269.04600000      0.63596796      0.00000000      0.92673476      180.00000000      2.50178074      180.00000000
20211116000000      30.30400000      269.04600000      0.56688574      0.00000000      0.75361786      180.00000000      1.65672204      180.00000000
20211216000000      30.30400000      269.04600000      0.67527432      0.00000000      0.62668185      180.00000000      1.56734721      180.00000000
20220116000000      30.30400000      269.04600000      0.67362806      0.00000000      0.11717672      180.00000000      2.20838766      180.00000000
20220215000000      30.30400000      269.04600000      0.75353792      0.00000000      0.02699171      180.00000000      2.55459698      180.00000000
20220316000000      30.30400000      269.04600000      0.77462588      0.00000000      0.33554865      0.00000000      3.41153034      180.00000000
20220416000000      30.30400000      269.04600000      0.84785948      0.00000000      0.39231252      0.00000000      3.29579739      180.00000000
20220516000000      30.30400000      269.04600000      0.83296666      0.00000000      0.22141035      0.00000000      2.32971331      180.00000000
20220616000000      30.30400000      269.04600000      0.88874496      0.00000000      0.31359388      180.00000000      0.87868514      180.00000000
20220716000000      30.30400000      269.04600000      1.03476471      0.00000000      1.05384635      180.00000000      0.08157437      0.00000000
20220816000000      30.30400000      269.04600000      0.83818262      0.00000000      1.40079526      180.00000000      1.53802374      0.00000000
20220916000000      30.30400000      269.04600000      0.72877222      0.00000000      1.41152756      180.00000000      0.40613485      180.00000000
20221016000000      30.30400000      269.04600000      0.96875076      0.00000000      1.92548691      180.00000000      1.78104827      0.00000000
20221116000000      30.30400000      269.04600000      0.83927925      0.00000000      1.55935445      180.00000000      1.13199450      0.00000000
20221216000000      30.30400000      269.04600000      0.76081223      0.00000000      1.03237240      180.00000000      0.69352984      180.00000000
