Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
10.56m-area1      30.32570000      268.89220000      0.00135702      180.00000000      0.00306376      0.00000000      0.00860129      180.00000000
10.56m-area10      30.32570000      268.89220000      0.00442439      180.00000000      0.00532080      0.00000000      0.01672749      180.00000000
10.56m-area11      30.32570000      268.89220000      0.00507725      180.00000000      0.00538568      0.00000000      0.01789125      180.00000000
10.56m-area12      30.32570000      268.89220000      0.00570341      180.00000000      0.00509874      0.00000000      0.01849858      180.00000000
10.56m-area13      30.32570000      268.89220000      0.00628505      180.00000000      0.00471097      0.00000000      0.01900117      180.00000000
10.56m-area14      30.32570000      268.89220000      0.00690259      180.00000000      0.00412637      0.00000000      0.01944507      180.00000000
10.56m-area15      30.32570000      268.89220000      0.00708857      180.00000000      0.00337062      0.00000000      0.01897402      180.00000000
10.56m-area16      30.32570000      268.89220000      0.00683205      180.00000000      0.00252859      0.00000000      0.01760776      180.00000000
10.56m-area17      30.32570000      268.89220000      0.00745367      180.00000000      0.00214073      0.00000000      0.01874497      180.00000000
10.56m-area18      30.32570000      268.89220000      0.00780522      180.00000000      0.00163233      0.00000000      0.01927897      180.00000000
10.56m-area19      30.32570000      268.89220000      0.00808524      180.00000000      0.00108278      0.00000000      0.01975090      180.00000000
10.56m-area2      30.32570000      268.89220000      0.00150526      180.00000000      0.00329808      0.00000000      0.00920532      180.00000000
10.56m-area20      30.32570000      268.89220000      0.00953947      180.00000000      0.00138812      0.00000000      0.02345071      180.00000000
10.56m-area21      30.32570000      268.89220000      0.01031110      180.00000000      0.00164231      0.00000000      0.02559658      180.00000000
10.56m-area22      30.32570000      268.89220000      0.01233315      180.00000000      0.00243205      0.00000000      0.03115340      180.00000000
10.56m-area23      30.32570000      268.89220000      0.01318091      180.00000000      0.00339790      0.00000000      0.03418839      180.00000000
10.56m-area24      30.32570000      268.89220000      0.01484162      180.00000000      0.00491695      0.00000000      0.03990511      180.00000000
10.56m-area25      30.32570000      268.89220000      0.01724144      180.00000000      0.00647482      0.00000000      0.04799833      180.00000000
10.56m-area26      30.32570000      268.89220000      0.02190916      180.00000000      0.00875766      0.00000000      0.06312669      180.00000000
