Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      32.42800000      266.29500000      0.22215738      0.00000000      0.31082053      0.00000000      8.31758976      180.00000000
20160214000000      32.42800000      266.29500000      0.09383982      0.00000000      0.39233053      0.00000000      6.07910683      180.00000000
20160316000000      32.42800000      266.29500000      0.30986736      0.00000000      0.42529522      0.00000000      8.44425298      180.00000000
20160520000000      32.42800000      266.29500000      0.22969566      0.00000000      0.17725191      0.00000000      5.31267654      180.00000000
20160616000000      32.42800000      266.29500000      0.35156020      180.00000000      0.09433078      180.00000000      4.98475648      180.00000000
20160715000000      32.42800000      266.29500000      0.02529800      0.00000000      0.51364418      180.00000000      0.65191548      0.00000000
20160821000000      32.42800000      266.29500000      0.05308728      180.00000000      0.90828007      180.00000000      1.28053962      0.00000000
20161127000000      32.42800000      266.29500000      0.50039211      180.00000000      0.86844424      180.00000000      2.16390737      0.00000000
20161224000000      32.42800000      266.29500000      0.28484287      180.00000000      0.60356775      180.00000000      0.47973338      0.00000000
20170121000000      32.42800000      266.29500000      0.15258826      180.00000000      0.39453477      180.00000000      1.78034787      180.00000000
20170331000000      32.42800000      266.29500000      0.16365884      0.00000000      0.06398020      180.00000000      2.88013103      180.00000000
20170424000000      32.42800000      266.29500000      0.09934034      0.00000000      0.41121598      0.00000000      4.88437321      180.00000000
20170512000000      32.42800000      266.29500000      0.41625394      0.00000000      0.63681013      0.00000000      5.07541218      180.00000000
20170611000000      32.42800000      266.29500000      0.51015920      0.00000000      0.16353400      0.00000000      4.63322412      180.00000000
20180616000000      32.42800000      266.29500000      1.02394384      0.00000000      0.20031397      180.00000000      0.81504946      0.00000000
20180710000000      32.42800000      266.29500000      0.99664238      0.00000000      0.78318596      180.00000000      3.46667941      0.00000000
20181031000000      32.42800000      266.29500000      0.27556983      180.00000000      0.65725637      180.00000000      3.39796254      180.00000000
20181116000000      32.42800000      266.29500000      0.17596414      180.00000000      0.58521673      180.00000000      3.33687238      180.00000000
20181216000000      32.42800000      266.29500000      0.22994848      0.00000000      0.38460608      180.00000000      4.80228224      180.00000000
20190116000000      32.42800000      266.29500000      0.39896231      0.00000000      0.12745492      0.00000000      8.41889047      180.00000000
20190214000000      32.42800000      266.29500000      0.67447991      0.00000000      0.38912935      0.00000000      8.96803758      180.00000000
20190316000000      32.42800000      266.29500000      0.94168759      0.00000000      0.54311720      0.00000000      9.42800504      180.00000000
20190416000000      32.42800000      266.29500000      0.65238887      0.00000000      0.59724829      0.00000000      8.41591835      180.00000000
20190516000000      32.42800000      266.29500000      0.64984587      0.00000000      0.81249618      0.00000000      10.80257757      180.00000000
20190616000000      32.42800000      266.29500000      0.41051553      0.00000000      0.63510552      0.00000000      10.36602281      180.00000000
20190716000000      32.42800000      266.29500000      0.63857447      0.00000000      0.04950353      180.00000000      6.33535607      180.00000000
20190816000000      32.42800000      266.29500000      0.61496809      0.00000000      0.29486554      180.00000000      1.37523853      180.00000000
20190916000000      32.42800000      266.29500000      0.33610465      0.00000000      0.56171287      180.00000000      0.91322400      0.00000000
20191016000000      32.42800000      266.29500000      0.65832251      0.00000000      0.50691961      180.00000000      0.89487710      0.00000000
20191116000000      32.42800000      266.29500000      0.86981416      0.00000000      0.17613685      180.00000000      1.76219161      180.00000000
20191216000000      32.42800000      266.29500000      0.96387110      0.00000000      0.24873918      0.00000000      2.96618735      180.00000000
20200116000000      32.42800000      266.29500000      1.02491892      0.00000000      0.55039662      0.00000000      6.16557584      180.00000000
20200215000000      32.42800000      266.29500000      1.31915576      0.00000000      0.86809444      0.00000000      8.92298316      180.00000000
20200316000000      32.42800000      266.29500000      1.27436229      0.00000000      1.00717434      0.00000000      9.79498173      180.00000000
20200416000000      32.42800000      266.29500000      1.22704339      0.00000000      1.09772992      0.00000000      10.10900965      180.00000000
20200516000000      32.42800000      266.29500000      1.29607133      0.00000000      0.88302457      0.00000000      7.87496170      180.00000000
20200616000000      32.42800000      266.29500000      1.20376642      0.00000000      0.20767542      0.00000000      5.44904331      180.00000000
20200716000000      32.42800000      266.29500000      1.07585395      0.00000000      0.20332916      180.00000000      2.02500323      180.00000000
20200816000000      32.42800000      266.29500000      1.21837972      0.00000000      0.51374865      180.00000000      0.47210902      0.00000000
20200916000000      32.42800000      266.29500000      1.17186015      0.00000000      0.69107719      180.00000000      0.00980654      0.00000000
20201016000000      32.42800000      266.29500000      1.02539569      0.00000000      0.57936923      180.00000000      0.83495966      180.00000000
20201116000000      32.42800000      266.29500000      1.26116574      0.00000000      0.39701663      180.00000000      1.02602707      180.00000000
20201216000000      32.42800000      266.29500000      1.19534936      0.00000000      0.20276889      180.00000000      1.66380395      180.00000000
20210116000000      32.42800000      266.29500000      1.23699433      0.00000000      0.13422081      0.00000000      4.59485489      180.00000000
20210215000000      32.42800000      266.29500000      1.50056346      0.00000000      0.08510759      0.00000000      3.77019039      180.00000000
20210316000000      32.42800000      266.29500000      1.92791926      0.00000000      0.42169843      0.00000000      5.64945847      180.00000000
20210416000000      32.42800000      266.29500000      1.72001214      0.00000000      0.31670789      0.00000000      5.86166857      180.00000000
20210516000000      32.42800000      266.29500000      1.36744576      0.00000000      0.26075662      0.00000000      7.46122084      180.00000000
20210616000000      32.42800000      266.29500000      1.29384015      0.00000000      0.10589958      180.00000000      6.40680256      180.00000000
20210716000000      32.42800000      266.29500000      1.08743807      0.00000000      0.49136626      180.00000000      4.47506451      180.00000000
20210816000000      32.42800000      266.29500000      0.94032984      0.00000000      0.97183827      180.00000000      1.71102916      180.00000000
20210916000000      32.42800000      266.29500000      1.29322639      0.00000000      1.13229772      180.00000000      0.67009742      0.00000000
20211016000000      32.42800000      266.29500000      0.98931547      0.00000000      1.31347975      180.00000000      0.80499980      0.00000000
20211116000000      32.42800000      266.29500000      0.97821581      0.00000000      0.94884196      180.00000000      0.96869083      0.00000000
20211216000000      32.42800000      266.29500000      1.20087931      0.00000000      0.83133021      180.00000000      1.32630739      0.00000000
