Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.39600000      268.89300000      0.13350128      180.00000000      0.74857697      0.00000000      5.33388600      180.00000000
20160214000000      30.39600000      268.89300000      0.09898798      180.00000000      0.72272309      0.00000000      4.01095418      180.00000000
20160316000000      30.39600000      268.89300000      0.22437020      180.00000000      0.99254429      0.00000000      5.16428879      180.00000000
20160520000000      30.39600000      268.89300000      0.01841406      0.00000000      0.47663919      0.00000000      3.33605081      180.00000000
20160616000000      30.39600000      268.89300000      0.13898949      180.00000000      0.00274063      0.00000000      2.00502731      180.00000000
20160715000000      30.39600000      268.89300000      0.18444392      0.00000000      0.67897602      180.00000000      0.39963414      0.00000000
20160821000000      30.39600000      268.89300000      0.14904408      0.00000000      0.90977995      180.00000000      0.20214985      180.00000000
20161127000000      30.39600000      268.89300000      0.11125967      180.00000000      1.02805634      180.00000000      0.40644925      0.00000000
20161224000000      30.39600000      268.89300000      0.03483027      180.00000000      0.64457512      180.00000000      0.65806131      180.00000000
20170121000000      30.39600000      268.89300000      0.03267823      180.00000000      0.36501689      180.00000000      1.29752830      180.00000000
20170331000000      30.39600000      268.89300000      0.05375146      0.00000000      0.08022420      0.00000000      2.02426520      180.00000000
20170424000000      30.39600000      268.89300000      0.01186054      0.00000000      0.35541102      0.00000000      2.14678122      180.00000000
20170512000000      30.39600000      268.89300000      0.12130269      0.00000000      0.55291626      0.00000000      2.33174857      180.00000000
20170611000000      30.39600000      268.89300000      0.12482191      0.00000000      0.30300870      0.00000000      2.65986199      180.00000000
20180616000000      30.39600000      268.89300000      0.70900920      0.00000000      0.35083077      180.00000000      0.91665431      0.00000000
20180710000000      30.39600000      268.89300000      0.84782248      0.00000000      0.80086607      180.00000000      0.65361283      0.00000000
20181031000000      30.39600000      268.89300000      0.04996832      180.00000000      0.51923240      180.00000000      2.07020891      180.00000000
20181116000000      30.39600000      268.89300000      0.07088036      0.00000000      0.42386597      180.00000000      1.80282724      180.00000000
20181216000000      30.39600000      268.89300000      0.19969293      0.00000000      0.05627524      0.00000000      3.59092421      180.00000000
20190116000000      30.39600000      268.89300000      0.04316063      0.00000000      0.71344984      0.00000000      5.36745306      180.00000000
20190214000000      30.39600000      268.89300000      0.12595705      0.00000000      1.02573088      0.00000000      5.81099634      180.00000000
20190316000000      30.39600000      268.89300000      0.11484856      0.00000000      1.25131384      0.00000000      6.51635319      180.00000000
20190416000000      30.39600000      268.89300000      0.15280020      0.00000000      1.07831879      0.00000000      4.56437940      180.00000000
20190516000000      30.39600000      268.89300000      0.04313660      0.00000000      1.26727607      0.00000000      5.63170595      180.00000000
20190616000000      30.39600000      268.89300000      0.05999990      180.00000000      0.84419817      0.00000000      5.01300610      180.00000000
20190716000000      30.39600000      268.89300000      0.18125631      0.00000000      0.20865710      0.00000000      4.18950555      180.00000000
20190816000000      30.39600000      268.89300000      0.39055329      0.00000000      0.34031793      180.00000000      1.00036629      180.00000000
20190916000000      30.39600000      268.89300000      0.28597968      0.00000000      0.69657895      180.00000000      0.00760511      180.00000000
20191016000000      30.39600000      268.89300000      0.27807658      0.00000000      0.59952319      180.00000000      1.28150332      180.00000000
20191116000000      30.39600000      268.89300000      0.34433516      0.00000000      0.10954413      180.00000000      2.36751912      180.00000000
20191216000000      30.39600000      268.89300000      0.47687184      0.00000000      0.32034584      0.00000000      2.30283319      180.00000000
20200116000000      30.39600000      268.89300000      0.34240570      0.00000000      0.80560429      0.00000000      4.16255922      180.00000000
20200215000000      30.39600000      268.89300000      0.39697786      0.00000000      1.37227053      0.00000000      5.67312037      180.00000000
