Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      32.40000000      268.81700000      0.16715985      180.00000000      0.36338839      0.00000000      7.98256901      180.00000000
20160214000000      32.40000000      268.81700000      0.11115954      180.00000000      0.42652240      0.00000000      5.78451055      180.00000000
20160316000000      32.40000000      268.81700000      0.20007914      180.00000000      0.53430801      0.00000000      8.37062391      180.00000000
20160520000000      32.40000000      268.81700000      0.02593881      180.00000000      0.19379747      0.00000000      4.79118719      180.00000000
20160616000000      32.40000000      268.81700000      0.34714167      180.00000000      0.18598865      180.00000000      2.84721596      180.00000000
20160715000000      32.40000000      268.81700000      0.01571048      0.00000000      0.61513151      180.00000000      1.34731632      0.00000000
20160821000000      32.40000000      268.81700000      0.07136520      0.00000000      0.98364140      180.00000000      2.14149350      0.00000000
20161127000000      32.40000000      268.81700000      0.26366436      180.00000000      1.00422502      180.00000000      3.99157359      0.00000000
20161224000000      32.40000000      268.81700000      0.12276105      180.00000000      0.66975984      180.00000000      1.66784025      0.00000000
20170121000000      32.40000000      268.81700000      0.14465971      180.00000000      0.44086142      180.00000000      0.68571222      180.00000000
20170331000000      32.40000000      268.81700000      0.06614598      0.00000000      0.01313943      180.00000000      2.31766284      180.00000000
20170424000000      32.40000000      268.81700000      0.14330435      180.00000000      0.38039849      0.00000000      3.97457634      180.00000000
20170512000000      32.40000000      268.81700000      0.00222069      180.00000000      0.65171939      0.00000000      5.06538833      180.00000000
20170611000000      32.40000000      268.81700000      0.05919896      0.00000000      0.17396420      0.00000000      4.97134857      180.00000000
20180616000000      32.40000000      268.81700000      0.66058519      0.00000000      0.17894959      180.00000000      0.57717951      180.00000000
20180710000000      32.40000000      268.81700000      0.93761313      0.00000000      0.71921656      180.00000000      1.63865979      0.00000000
20181031000000      32.40000000      268.81700000      0.19993162      180.00000000      0.70429746      180.00000000      1.35516781      180.00000000
20181116000000      32.40000000      268.81700000      0.02317262      180.00000000      0.58669038      180.00000000      1.59657730      180.00000000
20181216000000      32.40000000      268.81700000      0.23161502      0.00000000      0.30593584      180.00000000      4.12621178      180.00000000
20190116000000      32.40000000      268.81700000      0.06797417      0.00000000      0.26216264      0.00000000      8.12285965      180.00000000
20190214000000      32.40000000      268.81700000      0.18741453      0.00000000      0.57404512      0.00000000      9.47786688      180.00000000
20190316000000      32.40000000      268.81700000      0.22466306      0.00000000      0.76569223      0.00000000      10.76110799      180.00000000
20190416000000      32.40000000      268.81700000      0.14576007      0.00000000      0.73795921      0.00000000      8.84909194      180.00000000
20190516000000      32.40000000      268.81700000      0.08896377      180.00000000      0.87022359      0.00000000      10.75540427      180.00000000
20190616000000      32.40000000      268.81700000      0.34299010      180.00000000      0.59074227      0.00000000      9.68867538      180.00000000
20190716000000      32.40000000      268.81700000      0.00528878      180.00000000      0.08517457      180.00000000      6.77103978      180.00000000
20190816000000      32.40000000      268.81700000      0.17902377      0.00000000      0.40158638      180.00000000      2.04203080      180.00000000
20190916000000      32.40000000      268.81700000      0.08187971      0.00000000      0.70890671      180.00000000      0.87685552      0.00000000
20191016000000      32.40000000      268.81700000      0.06579498      0.00000000      0.67159917      180.00000000      0.03856487      0.00000000
20191116000000      32.40000000      268.81700000      0.20891470      0.00000000      0.22236248      180.00000000      3.03748843      180.00000000
20191216000000      32.40000000      268.81700000      0.44582894      0.00000000      0.29839563      0.00000000      4.41494511      180.00000000
20200116000000      32.40000000      268.81700000      0.29003356      0.00000000      0.59498619      0.00000000      7.54096005      180.00000000
20200215000000      32.40000000      268.81700000      0.43054094      0.00000000      1.01782174      0.00000000      10.90848617      180.00000000
20200316000000      32.40000000      268.81700000      0.23963791      0.00000000      1.12098689      0.00000000      11.51175986      180.00000000
20200416000000      32.40000000      268.81700000      0.28142425      0.00000000      1.20126930      0.00000000      11.39056370      180.00000000
20200516000000      32.40000000      268.81700000      0.38948599      0.00000000      0.98308886      0.00000000      9.38633775      180.00000000
20200616000000      32.40000000      268.81700000      0.47247413      0.00000000      0.25382423      0.00000000      7.10506389      180.00000000
20200716000000      32.40000000      268.81700000      0.58620701      0.00000000      0.18497806      180.00000000      3.70597623      180.00000000
20200816000000      32.40000000      268.81700000      0.68234095      0.00000000      0.53890624      180.00000000      1.50770988      180.00000000
20200916000000      32.40000000      268.81700000      0.72475068      0.00000000      0.66500233      180.00000000      1.69361896      180.00000000
20201016000000      32.40000000      268.81700000      0.48538049      0.00000000      0.59948316      180.00000000      2.23564681      180.00000000
20201116000000      32.40000000      268.81700000      0.68397785      0.00000000      0.37148665      180.00000000      2.96488452      180.00000000
20201216000000      32.40000000      268.81700000      0.68658022      0.00000000      0.20791609      180.00000000      3.13710059      180.00000000
20210116000000      32.40000000      268.81700000      0.63184557      0.00000000      0.17344933      0.00000000      5.75635718      180.00000000
20210215000000      32.40000000      268.81700000      0.81331462      0.00000000      0.13644635      0.00000000      5.71708878      180.00000000
20210316000000      32.40000000      268.81700000      0.90042794      0.00000000      0.55568576      0.00000000      8.76074407      180.00000000
20210416000000      32.40000000      268.81700000      0.87002180      0.00000000      0.37694823      0.00000000      8.26343365      180.00000000
20210516000000      32.40000000      268.81700000      0.46595451      0.00000000      0.28909356      0.00000000      8.51042128      180.00000000
20210616000000      32.40000000      268.81700000      0.48620850      0.00000000      0.05987589      180.00000000      7.66246057      180.00000000
20210716000000      32.40000000      268.81700000      0.54312137      0.00000000      0.48617961      180.00000000      5.26071935      180.00000000
20210816000000      32.40000000      268.81700000      0.60282180      0.00000000      0.99924348      180.00000000      2.42890664      180.00000000
20210916000000      32.40000000      268.81700000      0.91470609      0.00000000      1.07953897      180.00000000      1.36589637      180.00000000
20211016000000      32.40000000      268.81700000      0.76799833      0.00000000      1.28310310      180.00000000      0.57250969      180.00000000
20211116000000      32.40000000      268.81700000      0.59814150      0.00000000      0.93870806      180.00000000      0.29081265      180.00000000
20211216000000      32.40000000      268.81700000      0.76538384      0.00000000      0.77368300      180.00000000      0.65792045      180.00000000
20220116000000      32.40000000      268.81700000      0.81127142      0.00000000      0.28110818      180.00000000      2.82119071      180.00000000
20220215000000      32.40000000      268.81700000      0.95866402      0.00000000      0.20967285      180.00000000      2.52993168      180.00000000
20220316000000      32.40000000      268.81700000      0.92445083      0.00000000      0.13348366      0.00000000      5.70344795      180.00000000
20220416000000      32.40000000      268.81700000      0.97330535      0.00000000      0.16678950      0.00000000      6.01641554      180.00000000
20220516000000      32.40000000      268.81700000      0.79404511      0.00000000      0.21910833      0.00000000      5.06472994      180.00000000
20220616000000      32.40000000      268.81700000      0.83884282      0.00000000      0.15467354      180.00000000      3.43993199      180.00000000
20220716000000      32.40000000      268.81700000      1.10450349      0.00000000      0.97181208      180.00000000      1.61143415      0.00000000
20220816000000      32.40000000      268.81700000      0.76868624      0.00000000      1.27421042      180.00000000      3.67357942      0.00000000
20220916000000      32.40000000      268.81700000      0.77505996      0.00000000      1.59199519      180.00000000      1.79589825      0.00000000
20221016000000      32.40000000      268.81700000      1.04867765      0.00000000      1.94045721      180.00000000      6.35189262      0.00000000
20221116000000      32.40000000      268.81700000      0.81520767      0.00000000      1.54411387      180.00000000      3.72048512      0.00000000
20221216000000      32.40000000      268.81700000      0.73113808      0.00000000      1.22537491      180.00000000      1.32618674      0.00000000
