Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      30.52900000      267.91900000      0.01896078      180.00000000      0.76208669      0.00000000      5.57243675      180.00000000
20160214000000      30.52900000      267.91900000      0.03727012      180.00000000      0.71946006      0.00000000      4.11497301      180.00000000
20160316000000      30.52900000      267.91900000      0.05229021      180.00000000      1.01188875      0.00000000      5.61459589      180.00000000
20160520000000      30.52900000      267.91900000      0.11115189      0.00000000      0.50458941      0.00000000      3.58179606      180.00000000
20160616000000      30.52900000      267.91900000      0.14971894      180.00000000      0.08078476      0.00000000      2.28649494      180.00000000
20160715000000      30.52900000      267.91900000      0.14342064      0.00000000      0.64963817      180.00000000      0.56819260      0.00000000
20160821000000      30.52900000      267.91900000      0.11080374      0.00000000      0.92354908      180.00000000      0.06124984      180.00000000
20161127000000      30.52900000      267.91900000      0.17138895      180.00000000      1.02398740      180.00000000      0.49378691      0.00000000
20161224000000      30.52900000      267.91900000      0.08003094      180.00000000      0.65389287      180.00000000      0.55469708      180.00000000
20170121000000      30.52900000      267.91900000      0.04511986      180.00000000      0.33946762      180.00000000      1.35463977      180.00000000
20170331000000      30.52900000      267.91900000      0.11218834      0.00000000      0.09453704      0.00000000      2.22481639      180.00000000
20170424000000      30.52900000      267.91900000      0.05687586      0.00000000      0.42680434      0.00000000      2.33827981      180.00000000
20170512000000      30.52900000      267.91900000      0.19961581      0.00000000      0.62119626      0.00000000      2.45769830      180.00000000
20170611000000      30.52900000      267.91900000      0.23998855      0.00000000      0.34899271      0.00000000      2.82318956      180.00000000
20180616000000      30.52900000      267.91900000      0.73212871      0.00000000      0.32984393      180.00000000      1.15945452      0.00000000
20180710000000      30.52900000      267.91900000      0.81110315      0.00000000      0.86661255      180.00000000      1.20509088      0.00000000
20181031000000      30.52900000      267.91900000      0.08219740      180.00000000      0.48926575      180.00000000      2.22302945      180.00000000
20181116000000      30.52900000      267.91900000      0.00966574      0.00000000      0.40847054      180.00000000      1.87148012      180.00000000
20181216000000      30.52900000      267.91900000      0.20753329      0.00000000      0.03229359      0.00000000      3.64269918      180.00000000
20190116000000      30.52900000      267.91900000      0.14048816      0.00000000      0.71785933      0.00000000      5.65420368      180.00000000
20190214000000      30.52900000      267.91900000      0.25233293      0.00000000      1.02309040      0.00000000      6.07327106      180.00000000
20190316000000      30.52900000      267.91900000      0.31591048      0.00000000      1.24091599      0.00000000      6.83464080      180.00000000
20190416000000      30.52900000      267.91900000      0.26347642      0.00000000      1.10907598      0.00000000      4.81436664      180.00000000
20190516000000      30.52900000      267.91900000      0.22064707      0.00000000      1.35369212      0.00000000      6.10661535      180.00000000
20190616000000      30.52900000      267.91900000      0.09179995      0.00000000      0.97034365      0.00000000      5.44564561      180.00000000
20190716000000      30.52900000      267.91900000      0.29740907      0.00000000      0.26076041      0.00000000      4.25731431      180.00000000
20190816000000      30.52900000      267.91900000      0.41152632      0.00000000      0.30522537      180.00000000      0.77237807      180.00000000
20190916000000      30.52900000      267.91900000      0.28234558      0.00000000      0.67617173      180.00000000      0.20999067      0.00000000
20191016000000      30.52900000      267.91900000      0.37834729      0.00000000      0.59152520      180.00000000      1.06406201      180.00000000
20191116000000      30.52900000      267.91900000      0.45482106      0.00000000      0.10716588      180.00000000      2.18033587      180.00000000
20191216000000      30.52900000      267.91900000      0.55235602      0.00000000      0.31708961      0.00000000      2.13177173      180.00000000
20200116000000      30.52900000      267.91900000      0.49496076      0.00000000      0.82345395      0.00000000      4.21115999      180.00000000
20200215000000      30.52900000      267.91900000      0.59979425      0.00000000      1.38241611      0.00000000      5.81360677      180.00000000
20200316000000      30.52900000      267.91900000      0.51586805      0.00000000      1.55980802      0.00000000      6.05518020      180.00000000
20200416000000      30.52900000      267.91900000      0.56068207      0.00000000      1.61851326      0.00000000      5.54456700      180.00000000
20200516000000      30.52900000      267.91900000      0.64319387      0.00000000      1.25215606      0.00000000      4.49100818      180.00000000
20200616000000      30.52900000      267.91900000      0.67569567      0.00000000      0.50682586      0.00000000      3.99869665      180.00000000
20200716000000      30.52900000      267.91900000      0.69362104      0.00000000      0.09289918      180.00000000      1.81126385      180.00000000
20200816000000      30.52900000      267.91900000      0.81345119      0.00000000      0.48631102      180.00000000      0.86277162      180.00000000
20200916000000      30.52900000      267.91900000      0.78610980      0.00000000      0.45901944      180.00000000      1.67171646      180.00000000
