Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20160116000000      31.33400000      266.13500000      0.21760366      0.00000000      0.73530656      0.00000000      6.64164516      180.00000000
20160214000000      31.33400000      266.13500000      0.10399894      0.00000000      0.68982893      0.00000000      4.87835683      180.00000000
20160316000000      31.33400000      266.13500000      0.25268225      0.00000000      0.90798753      0.00000000      6.78103458      180.00000000
20160520000000      31.33400000      266.13500000      0.24987967      0.00000000      0.46478771      0.00000000      4.35540131      180.00000000
20160616000000      31.33400000      266.13500000      0.24608898      180.00000000      0.25721188      0.00000000      3.74700243      180.00000000
20160715000000      31.33400000      266.13500000      0.10010366      0.00000000      0.54365719      180.00000000      0.62800061      0.00000000
20160821000000      31.33400000      266.13500000      0.04187206      0.00000000      0.99941360      180.00000000      0.35062986      0.00000000
20161127000000      31.33400000      266.13500000      0.32210014      180.00000000      1.05677227      180.00000000      0.83604914      0.00000000
20161224000000      31.33400000      266.13500000      0.17406413      180.00000000      0.70507519      180.00000000      0.34129484      180.00000000
20170121000000      31.33400000      266.13500000      0.09153875      180.00000000      0.31432904      180.00000000      1.72816574      180.00000000
20170331000000      31.33400000      266.13500000      0.17877234      0.00000000      0.04813590      0.00000000      2.59982699      180.00000000
20170424000000      31.33400000      266.13500000      0.13465368      0.00000000      0.62154844      0.00000000      3.37659582      180.00000000
20170512000000      31.33400000      266.13500000      0.38169750      0.00000000      0.81432900      0.00000000      3.30585743      180.00000000
20170611000000      31.33400000      266.13500000      0.47380831      0.00000000      0.39166851      0.00000000      3.36156241      180.00000000
20180616000000      31.33400000      266.13500000      0.89750471      0.00000000      0.22643632      180.00000000      1.49490608      0.00000000
20180710000000      31.33400000      266.13500000      0.87917442      0.00000000      1.02149013      180.00000000      2.56058672      0.00000000
20181031000000      31.33400000      266.13500000      0.19502127      180.00000000      0.45410941      180.00000000      3.11517800      180.00000000
20181116000000      31.33400000      266.13500000      0.14228286      180.00000000      0.36068069      180.00000000      2.82581170      180.00000000
20181216000000      31.33400000      266.13500000      0.20313315      0.00000000      0.10619480      180.00000000      4.31183827      180.00000000
20190116000000      31.33400000      266.13500000      0.30478199      0.00000000      0.59447334      0.00000000      6.89554513      180.00000000
20190214000000      31.33400000      266.13500000      0.50702074      0.00000000      0.86381416      0.00000000      7.20642225      180.00000000
20190316000000      31.33400000      266.13500000      0.72691192      0.00000000      0.99060466      0.00000000      7.69800366      180.00000000
20190416000000      31.33400000      266.13500000      0.49332840      0.00000000      1.09175363      0.00000000      6.17516457      180.00000000
20190516000000      31.33400000      266.13500000      0.54918370      0.00000000      1.42481605      0.00000000      7.92634331      180.00000000
20190616000000      31.33400000      266.13500000      0.37857361      0.00000000      1.18948644      0.00000000      7.37778571      180.00000000
20190716000000      31.33400000      266.13500000      0.58400010      0.00000000      0.26098730      0.00000000      4.86139199      180.00000000
20190816000000      31.33400000      266.13500000      0.57630129      0.00000000      0.23083299      180.00000000      0.66634709      180.00000000
