------------------------------------------------------ 
:: Load Love Number Partial Derivatives 
:: Computed at 11:33PM on March 14, 2024
------------------------------------------------------ 
n = 2 | Normalization: mu,kappa = (R_sc*(L_sc**2)*(T_sc**(-2))); rho = R_sc 
    L_sc = 6371000.0 | R_sc = 5500.0 | T_sc = 934.5127555294843 | pi*G = 1.0
 Radius(km)  Mu[non-dim]  Kappa[non-dim]  Rho[non-dim]  dhl_dmu  dhl_dK  dhl_drho  dll_dmu  dll_dK  dll_drho  dkl_dmu  dkl_dK  dkl_drho 
3508.910990 1.146315 2.553721 1.009450 1.694125 -0.001174 -1.186365 0.124305 -0.008998 0.048176 0.817641 -0.007770 -0.232980
3537.820980 1.143414 2.542752 1.006818 1.639077 0.000060 -1.222682 0.123092 -0.010262 0.050277 0.792077 -0.008177 -0.246168
3566.730970 1.140510 2.531902 1.004192 1.589002 0.001575 -1.259968 0.122380 -0.011574 0.052640 0.768925 -0.008485 -0.259702
3595.640960 1.137604 2.521089 1.001567 1.543355 0.003371 -1.296687 0.122125 -0.012937 0.054882 0.747918 -0.008696 -0.273039
3624.550950 1.134695 2.510348 0.998945 1.501647 0.005448 -1.334415 0.122285 -0.014353 0.057395 0.728817 -0.008812 -0.286735
3653.460940 1.128388 2.490860 0.996324 1.464076 0.007916 -1.371523 0.122910 -0.015909 0.059795 0.711595 -0.008872 -0.300213
3682.370930 1.121323 2.469388 0.993705 1.429810 0.010729 -1.409666 0.123927 -0.017551 0.062477 0.695949 -0.008844 -0.314061
3711.280920 1.114331 2.448262 0.991088 1.398348 0.013865 -1.447154 0.125287 -0.019262 0.065049 0.681667 -0.008717 -0.327678
3740.190910 1.107359 2.427238 0.988472 1.369389 0.017332 -1.485705 0.126967 -0.021045 0.067918 0.668598 -0.008495 -0.341674
3769.100900 1.100452 2.406518 0.985856 1.342638 0.021130 -1.523583 0.128939 -0.022903 0.070679 0.656601 -0.008176 -0.355431
3798.010890 1.093575 2.385942 0.983241 1.317848 0.025266 -1.562554 0.131182 -0.024839 0.073753 0.645553 -0.007761 -0.369576
3826.920880 1.086736 2.365561 0.980627 1.294785 0.029744 -1.600838 0.133675 -0.026855 0.076717 0.635341 -0.007251 -0.383478
3855.830870 1.079942 2.345393 0.978011 1.273237 0.034570 -1.640250 0.136396 -0.028954 0.080013 0.625862 -0.006646 -0.397778
3884.740860 1.073167 2.325316 0.975396 1.253025 0.039751 -1.678961 0.139330 -0.031140 0.083198 0.617026 -0.005947 -0.411828
3913.650850 1.066446 2.305519 0.972779 1.233963 0.045290 -1.718840 0.142455 -0.033414 0.086733 0.608746 -0.005151 -0.426290
3942.560840 1.059740 2.285794 0.970162 1.215912 0.051199 -1.758002 0.145758 -0.035783 0.090159 0.600950 -0.004261 -0.440495
3971.470830 1.053073 2.266266 0.967543 1.198724 0.057480 -1.798376 0.149221 -0.038246 0.093949 0.593569 -0.003274 -0.455126
4000.380820 1.046429 2.246859 0.964923 1.182278 0.064146 -1.838022 0.152831 -0.040809 0.097634 0.586541 -0.002191 -0.469495
4029.290810 1.039805 2.227568 0.962300 1.166461 0.071204 -1.878921 0.156575 -0.043476 0.101695 0.579813 -0.001012 -0.484304
4058.200800 1.033213 2.208447 0.959674 1.151166 0.078660 -1.919084 0.160436 -0.046248 0.105657 0.573332 0.000265 -0.498845
4087.110790 1.026631 2.189384 0.957048 1.136311 0.086529 -1.960543 0.164405 -0.049132 0.110009 0.567057 0.001641 -0.513841
4116.020780 1.020082 2.170505 0.954417 1.121802 0.094814 -2.001259 0.168467 -0.052128 0.114267 0.560943 0.003116 -0.528564
4144.930770 1.013541 2.151680 0.951783 1.107575 0.103532 -2.043320 0.172612 -0.055243 0.118932 0.554959 0.004692 -0.543756
4173.840760 1.007019 2.132967 0.949144 1.093558 0.112691 -2.084622 0.176828 -0.058480 0.123502 0.549068 0.006369 -0.558670
4202.750750 1.000512 2.114349 0.946502 1.079694 0.122303 -2.127324 0.181104 -0.061844 0.128500 0.543243 0.008148 -0.574070
4231.660740 0.994014 2.095796 0.943858 1.065931 0.132382 -2.169251 0.185430 -0.065339 0.133403 0.537459 0.010033 -0.589182
4260.570730 0.987532 2.077354 0.941206 1.052218 0.142937 -2.212636 0.189793 -0.068968 0.138754 0.531689 0.012022 -0.604800
4289.480720 0.981054 2.058945 0.938552 1.038519 0.153987 -2.255233 0.194185 -0.072738 0.144011 0.525917 0.014119 -0.620123
4318.390710 0.974587 2.040634 0.935890 1.024791 0.165540 -2.299342 0.198595 -0.076652 0.149735 0.520120 0.016325 -0.635967
4347.300700 0.968124 2.022365 0.933224 1.011006 0.177616 -2.342655 0.203014 -0.080717 0.155370 0.514285 0.018642 -0.651511
4376.210690 0.961666 2.004156 0.930553 0.997134 0.190228 -2.387527 0.207432 -0.084936 0.161487 0.508396 0.021071 -0.667590
4405.120680 0.955211 1.985997 0.927874 0.983149 0.203392 -2.431604 0.211838 -0.089316 0.167522 0.502442 0.023615 -0.683366
4434.030670 0.948758 1.967862 0.925191 0.969031 0.217128 -2.477283 0.216224 -0.093862 0.174054 0.496410 0.026277 -0.699688
4462.940660 0.942305 1.949790 0.922499 0.954762 0.231448 -2.522170 0.220578 -0.098579 0.180512 0.490291 0.029056 -0.715706
4491.850650 0.935852 1.931732 0.919802 0.940325 0.246376 -2.568712 0.224893 -0.103475 0.187487 0.484077 0.031958 -0.732285
4520.760640 0.929395 1.913709 0.917095 0.925708 0.261929 -2.614449 0.229158 -0.108554 0.194389 0.477762 0.034983 -0.748551
4549.670630 0.922933 1.895702 0.914382 0.910902 0.278128 -2.661906 0.233364 -0.113824 0.201831 0.471340 0.038135 -0.765397
4578.580620 0.916466 1.877712 0.911661 0.895897 0.294994 -2.708539 0.237500 -0.119291 0.209201 0.464805 0.041416 -0.781919
4607.490610 0.909991 1.859736 0.908929 0.880688 0.312549 -2.756960 0.241559 -0.124962 0.217134 0.458155 0.044830 -0.799042
4636.400600 0.903513 1.841764 0.906193 0.865268 0.330818 -2.804541 0.245528 -0.130844 0.224999 0.451384 0.048378 -0.815829
4665.310590 0.897021 1.823795 0.903443 0.849639 0.349823 -2.853978 0.249400 -0.136946 0.233450 0.444494 0.052065 -0.833238
4694.220580 0.890523 1.805825 0.900688 0.833796 0.369592 -2.902569 0.253163 -0.143274 0.241838 0.437480 0.055893 -0.850304
4723.130570 0.884011 1.787849 0.897921 0.817742 0.390149 -2.953065 0.256809 -0.149837 0.250831 0.430344 0.059866 -0.868002
4752.040560 0.877487 1.769864 0.895145 0.801478 0.411524 -3.002718 0.260327 -0.156643 0.259770 0.423085 0.063988 -0.885356
4780.950550 0.870954 1.751871 0.892361 0.785006 0.433744 -3.054328 0.263704 -0.163702 0.269333 0.415702 0.068262 -0.903354
4809.860540 0.864398 1.733853 0.889561 0.768335 0.456843 -3.105100 0.266936 -0.171022 0.278851 0.408199 0.072691 -0.921003
4838.770530 0.857835 1.715825 0.886757 0.751463 0.480849 -3.157883 0.270006 -0.178612 0.289014 0.400575 0.077281 -0.939312
4867.680520 0.851246 1.697757 0.883934 0.734406 0.505802 -3.209826 0.272910 -0.186484 0.299140 0.392834 0.082035 -0.957264
4896.590510 0.844646 1.679673 0.881104 0.717162 0.531731 -3.263848 0.275632 -0.194647 0.309936 0.384977 0.086958 -0.975893
4925.500500 0.838028 1.661560 0.878263 0.699745 0.558674 -3.317013 0.278163 -0.203112 0.320697 0.377008 0.092053 -0.994154
4954.410490 0.831387 1.643408 0.875407 0.682165 0.586675 -3.372334 0.280493 -0.211890 0.332157 0.368930 0.097327 -1.013113
4983.320480 0.824734 1.625234 0.872545 0.664425 0.615765 -3.426781 0.282607 -0.220993 0.343587 0.360745 0.102783 -1.031690
5012.230470 0.818048 1.607000 0.869661 0.646547 0.646002 -3.483461 0.284505 -0.230436 0.355743 0.352460 0.108428 -1.050987
5041.140460 0.811351 1.588748 0.866771 0.628531 0.677412 -3.539260 0.286160 -0.240227 0.367876 0.344076 0.114265 -1.069893
5070.050450 0.804625 1.570438 0.863863 0.610398 0.710060 -3.597357 0.287574 -0.250383 0.380760 0.335600 0.120302 -1.089534
5098.960440 0.797879 1.552089 0.860944 0.592155 0.743985 -3.654575 0.288729 -0.260917 0.393632 0.327034 0.126543 -1.108778
5127.870430 0.791112 1.533696 0.858011 0.573816 0.779241 -3.714151 0.289613 -0.271844 0.407278 0.318385 0.132995 -1.128770
5156.780420 0.784315 1.515242 0.855060 0.555398 0.815891 -3.772855 0.290221 -0.283181 0.420924 0.309657 0.139665 -1.148361
5185.690410 0.777506 1.496766 0.852103 0.536910 0.853970 -3.833977 0.290527 -0.294939 0.435370 0.300855 0.146556 -1.168713
5214.600400 0.770655 1.478201 0.849120 0.518374 0.893579 -3.894236 0.290541 -0.307144 0.449828 0.291987 0.153680 -1.188659
5243.510390 0.763792 1.459612 0.846131 0.499798 0.934740 -3.956985 0.290230 -0.319803 0.465114 0.283056 0.161040 -1.209384
5272.420380 0.756894 1.440959 0.843121 0.481204 0.977546 -4.018860 0.289596 -0.332942 0.480421 0.274069 0.168645 -1.229691
5301.330370 0.749972 1.422253 0.840096 0.462604 1.022060 -4.083310 0.288622 -0.346578 0.496587 0.265031 0.176502 -1.250798
5330.240360 0.743030 1.403503 0.837059 0.444014 1.068351 -4.146877 0.287292 -0.360730 0.512783 0.255948 0.184619 -1.271475
5359.150350 0.736049 1.384676 0.833998 0.425455 1.116523 -4.213104 0.285608 -0.375425 0.529871 0.246827 0.193007 -1.292975
5388.060340 0.729055 1.365824 0.830929 0.406940 1.166617 -4.278443 0.283537 -0.390675 0.547000 0.237673 0.201668 -1.314033
5416.970330 0.722018 1.346884 0.827834 0.388489 1.218777 -4.346524 0.281093 -0.406519 0.565054 0.228493 0.210620 -1.335934
5445.880320 0.714964 1.327909 0.824728 0.370118 1.273048 -4.413723 0.278243 -0.422968 0.583163 0.219292 0.219865 -1.357387
5474.790310 0.707880 1.308871 0.821602 0.351847 1.329558 -4.483737 0.274987 -0.440056 0.602226 0.210076 0.229417 -1.379700
5503.700300 0.700765 1.289774 0.818456 0.333694 1.388406 -4.552880 0.271314 -0.457809 0.621362 0.200852 0.239284 -1.401559
5532.610290 0.693632 1.270642 0.815298 0.315677 1.449677 -4.624915 0.267200 -0.476250 0.641485 0.191625 0.249475 -1.424295
5561.520280 0.686455 1.251431 0.812111 0.297817 1.513543 -4.696092 0.262661 -0.495421 0.661697 0.182401 0.260007 -1.446573
5590.430270 0.679268 1.232200 0.808918 0.280132 1.580055 -4.770246 0.257652 -0.515339 0.682932 0.173188 0.270882 -1.469748
5619.340260 0.662991 1.215747 0.805695 0.265789 1.642842 -4.843505 0.255113 -0.531395 0.704317 0.165890 0.279823 -1.492440
5648.250250 0.642425 1.200737 0.802455 0.253064 1.704100 -4.919656 0.253444 -0.545364 0.726968 0.159514 0.287577 -1.515979
5677.160240 0.622177 1.185705 0.799197 0.240338 1.767031 -4.994768 0.251094 -0.559489 0.749975 0.153085 0.295217 -1.538962
5706.070230 0.483726 0.997969 0.725625 0.234183 2.190536 -5.073035 0.425989 -0.631367 0.775043 0.130270 0.336545 -1.563002
