------------------------------------------------------ 
:: Potential Love Number Partial Derivatives 
:: Computed at 11:33PM on March 14, 2024
------------------------------------------------------ 
n = 4 | Normalization: mu,kappa = (R_sc*(L_sc**2)*(T_sc**(-2))); rho = R_sc 
    L_sc = 6371000.0 | R_sc = 5500.0 | T_sc = 934.5127555294843 | pi*G = 1.0
 Radius(km)  Mu[non-dim]  Kappa[non-dim]  Rho[non-dim]  dhp_dmu  dhp_dK  dhp_drho  dlp_dmu  dlp_dK  dlp_drho  dkp_dmu  dkp_dK  dkp_drho 
3508.910990 1.146315 2.553721 1.009450 -0.337462 -0.017349 0.145097 0.045992 0.001738 0.005237 -0.075533 -0.005277 0.010851
3537.820980 1.143414 2.542752 1.006818 -0.316304 -0.015380 0.151458 0.042730 0.001447 0.004725 -0.070868 -0.004810 0.012175
3566.730970 1.140510 2.531902 1.004192 -0.300096 -0.013572 0.157897 0.040145 0.001182 0.004195 -0.067327 -0.004379 0.013526
3595.640960 1.137604 2.521089 1.001567 -0.288051 -0.011913 0.164361 0.038121 0.000939 0.003686 -0.064730 -0.003981 0.014905
3624.550950 1.134695 2.510348 0.998945 -0.279499 -0.010390 0.170907 0.036562 0.000718 0.003158 -0.062926 -0.003615 0.016315
3653.460940 1.128388 2.490860 0.996324 -0.274080 -0.008990 0.177473 0.035412 0.000515 0.002652 -0.061826 -0.003280 0.017754
3682.370930 1.121323 2.469388 0.993705 -0.271270 -0.007706 0.184127 0.034594 0.000330 0.002126 -0.061316 -0.002973 0.019227
3711.280920 1.114331 2.448262 0.991088 -0.270620 -0.006532 0.190804 0.034041 0.000163 0.001624 -0.061296 -0.002689 0.020734
3740.190910 1.107359 2.427238 0.988472 -0.271781 -0.005459 0.197578 0.033703 0.000011 0.001101 -0.061688 -0.002428 0.022278
3769.100900 1.100452 2.406518 0.985856 -0.274451 -0.004480 0.204384 0.033533 -0.000125 0.000602 -0.062423 -0.002187 0.023859
3798.010890 1.093575 2.385942 0.983241 -0.278376 -0.003590 0.211299 0.033494 -0.000247 0.000081 -0.063444 -0.001966 0.025483
3826.920880 1.086736 2.365561 0.980627 -0.283338 -0.002783 0.218258 0.033554 -0.000355 -0.000417 -0.064701 -0.001762 0.027151
3855.830870 1.079942 2.345393 0.978011 -0.289148 -0.002054 0.225338 0.033682 -0.000451 -0.000937 -0.066152 -0.001574 0.028865
3884.740860 1.073167 2.325316 0.975396 -0.295652 -0.001397 0.232475 0.033855 -0.000534 -0.001435 -0.067763 -0.001402 0.030629
3913.650850 1.066446 2.305519 0.972779 -0.302708 -0.000810 0.239748 0.034052 -0.000606 -0.001956 -0.069502 -0.001243 0.032445
3942.560840 1.059740 2.285794 0.970162 -0.310207 -0.000288 0.247091 0.034254 -0.000666 -0.002454 -0.071344 -0.001098 0.034316
3971.470830 1.053073 2.266266 0.967543 -0.318044 0.000173 0.254587 0.034445 -0.000716 -0.002977 -0.073267 -0.000966 0.036246
4000.380820 1.046429 2.246859 0.964923 -0.326139 0.000574 0.262166 0.034611 -0.000755 -0.003477 -0.075252 -0.000844 0.038237
4029.290810 1.039805 2.227568 0.962300 -0.334420 0.000920 0.269915 0.034740 -0.000785 -0.004003 -0.077284 -0.000734 0.040293
4058.200800 1.033213 2.208447 0.959674 -0.342821 0.001211 0.277762 0.034821 -0.000805 -0.004504 -0.079348 -0.000633 0.042416
4087.110790 1.026631 2.189384 0.957048 -0.351296 0.001451 0.285796 0.034845 -0.000815 -0.005033 -0.081435 -0.000542 0.044611
