------------------------------------------------------ 
:: Shear Love Number Partial Derivatives 
:: Computed at 11:33PM on March 14, 2024
------------------------------------------------------ 
n = 1 | STRESS SOLUTION | Normalization: mu,kappa = (R_sc*(L_sc**2)*(T_sc**(-2))); rho = R_sc 
    L_sc = 6371000.0 | R_sc = 5500.0 | T_sc = 934.5127555294843 | pi*G = 1.0
 Radius(km)  Mu[non-dim]  Kappa[non-dim]  Rho[non-dim]  dhs_dmu  dhs_dK  dhs_drho  dls_dmu  dls_dK  dls_drho  dks_dmu  dks_dK  dks_drho 
3508.910990 1.146315 2.553721 1.009450 -0.101478 0.127497 -0.769594 -0.566247 -0.170438 1.975637 -0.001581 -0.000413 -0.001581
3537.820980 1.143414 2.542752 1.006818 -0.099753 0.131357 -0.785467 -0.559796 -0.175499 2.005936 -0.001579 -0.000419 -0.001579
3566.730970 1.140510 2.531902 1.004192 -0.098094 0.135311 -0.801790 -0.554400 -0.180683 2.036773 -0.001578 -0.000424 -0.001578
3595.640960 1.137604 2.521089 1.001567 -0.096496 0.139365 -0.818184 -0.550000 -0.185999 2.067543 -0.001573 -0.000430 -0.001573
3624.550950 1.134695 2.510348 0.998945 -0.094956 0.143519 -0.835037 -0.546559 -0.191447 2.098818 -0.001571 -0.000436 -0.001571
3653.460940 1.128388 2.490860 0.996324 -0.093893 0.148342 -0.851968 -0.543545 -0.197208 2.130046 -0.001565 -0.000444 -0.001565
3682.370930 1.121323 2.469388 0.993705 -0.092980 0.153451 -0.869371 -0.541293 -0.203180 2.161754 -0.001563 -0.000450 -0.001563
3711.280920 1.114331 2.448262 0.991088 -0.092106 0.158701 -0.886857 -0.539933 -0.209308 2.193410 -0.001559 -0.000457 -0.001559
3740.190910 1.107359 2.427238 0.988472 -0.091279 0.164112 -0.904829 -0.539409 -0.215608 2.225541 -0.001556 -0.000464 -0.001556
3769.100900 1.100452 2.406518 0.985856 -0.090489 0.169673 -0.922885 -0.539722 -0.222071 2.257597 -0.001554 -0.000470 -0.001554
3798.010890 1.093575 2.385942 0.983241 -0.089741 0.175399 -0.941442 -0.540831 -0.228709 2.290140 -0.001551 -0.000478 -0.001551
3826.920880 1.086736 2.365561 0.980627 -0.089031 0.181290 -0.960082 -0.542724 -0.235521 2.322566 -0.001549 -0.000484 -0.001549
3855.830870 1.079942 2.345393 0.978011 -0.088357 0.187346 -0.979241 -0.545385 -0.242509 2.355499 -0.001547 -0.000492 -0.001547
3884.740860 1.073167 2.325316 0.975396 -0.087723 0.193584 -0.998480 -0.548780 -0.249685 2.388276 -0.001545 -0.000499 -0.001545
3913.650850 1.066446 2.305519 0.972779 -0.087120 0.199987 -1.018256 -0.552925 -0.257036 2.421579 -0.001544 -0.000507 -0.001544
3942.560840 1.059740 2.285794 0.970162 -0.086554 0.206582 -1.038113 -0.557774 -0.264582 2.454703 -0.001543 -0.000515 -0.001543
3971.470830 1.053073 2.266266 0.967543 -0.086021 0.213357 -1.058520 -0.563335 -0.272315 2.488338 -0.001543 -0.000522 -0.001543
4000.380820 1.046429 2.246859 0.964923 -0.085522 0.220327 -1.079012 -0.569587 -0.280246 2.521790 -0.001542 -0.000531 -0.001542
