Extension/Epoch  Lat(+N,deg)  Lon(+E,deg)  E-Amp(mm)  E-Pha(deg)  N-Amp(mm)  N-Pha(deg)  U-Amp(mm)  U-Pha(deg) 
20191016000000      45.95500000      236.06900000      0.83428112      180.00000000      2.19860893      180.00000000      6.17700030      0.00000000
20191116000000      45.95500000      236.06900000      0.52547418      180.00000000      1.91107863      180.00000000      5.78072798      0.00000000
20191216000000      45.95500000      236.06900000      0.04768146      0.00000000      1.89187912      180.00000000      3.01318237      0.00000000
20200116000000      45.95500000      236.06900000      0.16827901      0.00000000      1.78289866      180.00000000      0.39568440      180.00000000
20200215000000      45.95500000      236.06900000      0.60191727      0.00000000      1.34390430      180.00000000      1.50075993      180.00000000
20200316000000      45.95500000      236.06900000      0.37022871      0.00000000      1.07299091      180.00000000      0.13594438      180.00000000
20200416000000      45.95500000      236.06900000      0.66551386      0.00000000      0.92605588      180.00000000      0.44949336      180.00000000
20200516000000      45.95500000      236.06900000      0.31218116      0.00000000      1.15466421      180.00000000      0.43740157      0.00000000
20200616000000      45.95500000      236.06900000      0.03015898      180.00000000      1.60749955      180.00000000      0.67851104      0.00000000
20200716000000      45.95500000      236.06900000      0.61819121      180.00000000      1.92916785      180.00000000      2.40775868      0.00000000
20200816000000      45.95500000      236.06900000      1.08486807      180.00000000      2.09970088      180.00000000      5.83453245      0.00000000
20200916000000      45.95500000      236.06900000      1.24400645      180.00000000      1.87454127      180.00000000      8.54830634      0.00000000
20201016000000      45.95500000      236.06900000      1.11367979      180.00000000      1.73032689      180.00000000      5.48609804      0.00000000
20201116000000      45.95500000      236.06900000      0.63674303      180.00000000      1.44782147      180.00000000      4.22855767      0.00000000
20201216000000      45.95500000      236.06900000      0.54571815      180.00000000      1.47037532      180.00000000      1.95446555      0.00000000
20210116000000      45.95500000      236.06900000      0.04852440      180.00000000      1.05592043      180.00000000      0.82980868      0.00000000
20210215000000      45.95500000      236.06900000      0.13158870      0.00000000      1.10342860      180.00000000      0.38401301      0.00000000
20210316000000      45.95500000      236.06900000      0.38067369      0.00000000      0.80620892      180.00000000      1.36232384      180.00000000
20210416000000      45.95500000      236.06900000      0.10895350      0.00000000      0.82884425      180.00000000      0.88733405      180.00000000
20210516000000      45.95500000      236.06900000      0.04095139      180.00000000      0.92323056      180.00000000      0.99748987      0.00000000
20210616000000      45.95500000      236.06900000      0.56154493      180.00000000      1.40676675      180.00000000      2.89845078      0.00000000
20210716000000      45.95500000      236.06900000      1.08062683      180.00000000      1.90792065      180.00000000      5.61313295      0.00000000
20210816000000      45.95500000      236.06900000      1.63939728      180.00000000      2.29679451      180.00000000      7.84147235      0.00000000
20210916000000      45.95500000      236.06900000      1.64467329      180.00000000      2.11171260      180.00000000      7.10893346      0.00000000
